# Run exit points.  Columns are r (AU), th (rad), ph (rad), ek (GeV), s (s).  Made with Strauss code. 
1.40348557e+02,8.26384306e-01,1.49706376e+00,1.88509062e-01,1.91076440e+07
1.44153046e+02,3.13591290e+00,1.74646568e+00,3.72424185e-01,1.66777680e+07
1.42032944e+02,3.14113855e+00,6.05967760e+00,4.44986999e-01,1.21336720e+07
1.40069382e+02,2.40885329e+00,1.84115648e+00,4.76767123e-01,1.93425160e+07
1.40004395e+02,2.95007396e+00,4.70655394e+00,2.85576165e-01,7.95497350e+06
1.52699295e+02,3.13468289e+00,5.50718546e+00,1.23278236e+00,1.51178160e+07
1.45104630e+02,8.61198921e-03,1.67867661e-01,6.67473733e-01,9.73670800e+06
1.40084564e+02,1.83012933e-01,5.88889122e+00,2.93030888e-01,1.26965420e+07
1.41069885e+02,4.09076475e-02,3.82090569e+00,3.73994648e-01,7.31543400e+06
1.40860031e+02,1.95303466e-02,1.09518743e+00,6.72201157e-01,3.85021480e+07
1.41107162e+02,6.81507587e-03,1.61278486e+00,6.78294063e-01,8.75084500e+06
1.52779495e+02,3.13742638e+00,2.25822735e+00,5.95364332e-01,2.29082300e+07
1.40881790e+02,2.01062430e-02,6.17560911e+00,1.55611366e-01,9.01040100e+06
1.48953735e+02,3.13279605e+00,4.88482237e+00,1.38854659e+00,2.90874520e+07
1.40468323e+02,3.13339424e+00,4.27168131e+00,6.63827777e-01,3.41080240e+07
1.41631744e+02,3.13907337e+00,1.50839376e+00,3.74843836e-01,4.95512200e+06
1.40578796e+02,7.21609918e-03,2.84787893e+00,5.23939967e-01,2.50815420e+07
1.57828094e+02,3.14104605e+00,2.43409157e-01,5.74162126e-01,7.80125950e+06
1.42575485e+02,4.42031352e-03,1.48164988e+00,8.47850919e-01,9.52577200e+06
1.61184601e+02,3.13840246e+00,2.50083447e+00,8.58766496e-01,1.73191780e+07
1.44115723e+02,3.40407295e-03,1.78203630e+00,2.47658625e-01,9.66864000e+06
1.44989166e+02,3.13328958e+00,5.83764267e+00,2.76570231e-01,5.60625550e+06
1.51135864e+02,3.13584089e+00,5.79653025e+00,5.88843942e-01,2.37590780e+07
1.41722977e+02,1.54352412e-02,5.65825844e+00,2.25000158e-01,5.28723350e+06
1.67669769e+02,1.30369153e-03,3.21491146e+00,7.54932940e-01,1.85477660e+07
1.46359314e+02,4.05884208e-03,4.78082418e+00,6.53447330e-01,8.74560900e+06
1.43346100e+02,3.13150883e+00,6.96246624e-01,7.23061144e-01,2.82220160e+07
1.41467590e+02,1.07569201e-02,3.32923436e+00,3.62810642e-01,5.48358350e+06
1.41678238e+02,3.13083243e+00,3.77792072e+00,3.28295738e-01,5.08901400e+06
1.42444107e+02,3.13562036e+00,3.07297230e+00,4.54701453e-01,2.75375980e+07
1.40112564e+02,4.88069514e-03,8.03215504e-01,9.72835720e-01,4.56732160e+07
1.42406693e+02,3.13024282e+00,3.11409664e+00,6.88454032e-01,9.48351000e+06
1.45516037e+02,3.08757066e-03,2.20631695e+00,9.22234774e-01,1.14058690e+07
1.41067917e+02,6.38678716e-03,6.21575773e-01,3.55130494e-01,7.10188000e+06
1.42082214e+02,3.13834000e+00,5.45236015e+00,5.52486658e-01,5.59727950e+06
1.52141083e+02,3.13767123e+00,5.10363054e+00,8.34118485e-01,1.07640850e+07
1.40580658e+02,3.47001944e-03,5.18002319e+00,4.82133955e-01,6.88271650e+06
1.40770584e+02,7.11622834e-03,1.82069039e+00,6.59327388e-01,1.11253690e+07
1.44895950e+02,3.61270900e-03,2.15141249e+00,5.42045832e-01,2.21725720e+07
1.40831573e+02,9.72606428e-03,3.43967056e+00,3.23980212e-01,1.14485050e+07
1.44782501e+02,3.13950372e+00,4.37484074e+00,6.79405630e-01,2.17682780e+07
1.43080856e+02,3.13599849e+00,3.36347938e+00,4.94971573e-01,8.89894900e+06
1.41318527e+02,3.12727857e+00,2.33472729e+00,6.10569835e-01,8.18535750e+06
1.40941132e+02,7.30311964e-03,9.85980630e-01,5.08568764e-01,1.98612540e+07
1.48145554e+02,3.57454945e-03,4.33533955e+00,5.37162721e-01,1.97965520e+07
1.52233841e+02,6.56497851e-02,2.22964382e+00,4.31808859e-01,1.24755080e+07
1.40232330e+02,2.53768158e+00,9.64422375e-02,3.17950726e-01,2.16669240e+07
1.41668137e+02,1.74867157e-02,5.60493469e+00,4.12271380e-01,1.20293260e+07
1.40634262e+02,3.13479161e+00,2.98382092e+00,7.78145730e-01,3.69646320e+07
1.40352219e+02,3.13089991e+00,3.47527456e+00,5.43776691e-01,1.89868420e+07
1.40014648e+02,3.10893774e+00,4.17292690e+00,2.77861655e-01,8.97524500e+06
1.42195526e+02,1.49882678e-02,2.37368250e+00,2.70668089e-01,1.28296860e+07
1.45884628e+02,4.85331751e-03,5.18211269e+00,6.43215537e-01,2.24957080e+07
1.40970108e+02,7.13646319e-03,5.72403145e+00,3.16459209e-01,1.06601130e+07
1.40585480e+02,3.12713861e+00,5.39666128e+00,4.06003982e-01,2.64058740e+07
1.42973236e+02,9.68030468e-03,6.23261738e+00,2.86320806e-01,5.27526550e+06
1.41252823e+02,8.90854839e-03,5.92590809e+00,4.39412683e-01,1.49195960e+07
1.43151001e+02,3.13361239e+00,4.60329056e-02,3.95186454e-01,1.24799960e+07
1.40865616e+02,1.56534277e-02,5.52454853e+00,5.40669620e-01,9.26247600e+06
1.40075851e+02,3.44025791e-01,5.47683811e+00,2.78974891e-01,2.16586960e+07
1.40075134e+02,2.76510976e-02,4.54089546e+00,4.82018739e-01,1.14817910e+07
1.40065018e+02,3.28801095e-01,6.09871531e+00,4.74214405e-01,2.77365660e+07
1.42140656e+02,3.13764405e+00,4.23410034e+00,7.45579779e-01,3.31689100e+07
1.41274689e+02,3.13314271e+00,2.47790337e+00,7.49432206e-01,9.29987600e+06
1.67424133e+02,3.12945724e+00,8.24689865e-02,1.13128841e+00,2.86386520e+07
1.40195633e+02,1.23747098e+00,6.00340080e+00,3.17783773e-01,3.05295960e+07
1.40008011e+02,7.83276737e-01,4.86200714e+00,2.36187100e-01,1.90694960e+07
1.40918945e+02,3.13398242e+00,2.19666529e+00,7.16080546e-01,1.77836860e+07
1.40889481e+02,5.56363433e-04,5.38327456e+00,7.45328128e-01,2.37616960e+07
1.40184708e+02,3.78814526e-03,1.58983660e+00,2.54392147e-01,1.04697470e+07
