# Run exit points.  Columns are r (AU), th (rad), ph (rad), ek (GeV), s (s).  Made with Strauss code. 
1.41623718e+02,5.22656925e-03,1.63604832e+00,1.18089187e+00,6.05879500e+05
1.65698761e+02,3.13466501e+00,6.27086687e+00,1.24134791e+00,2.83117781e+05
1.81238678e+02,6.22706953e-03,8.27380180e-01,1.67550135e+00,5.39457150e+06
1.51905197e+02,3.13559198e+00,6.13491011e+00,1.33391678e+00,1.12798312e+06
1.50873245e+02,3.14128017e+00,4.78644705e+00,1.14573884e+00,3.32485719e+05
1.50930847e+02,3.13133574e+00,5.69478083e+00,1.80788171e+00,2.58433800e+06
1.42739243e+02,8.57302081e-03,6.35363579e-01,1.35037327e+00,2.06036438e+06
1.50413681e+02,3.13658404e+00,4.83359337e-01,1.34822690e+00,1.60333675e+06
1.40357178e+02,3.12381077e+00,5.08559704e+00,1.21506250e+00,8.33271312e+05
1.65139786e+02,8.81708693e-04,2.40851498e+00,1.16622305e+00,7.61463375e+05
1.68627075e+02,3.13911557e+00,4.80566645e+00,1.28450680e+00,4.22619656e+05
1.45355453e+02,3.53866955e-03,5.26625299e+00,1.17582738e+00,5.18737562e+05
1.53084625e+02,3.13791776e+00,8.56886864e-01,1.56176007e+00,1.91375650e+06
1.66146027e+02,3.13985419e+00,6.69280052e-01,1.40758979e+00,1.48739675e+06
1.41955429e+02,4.62505547e-03,5.85382652e+00,1.32676387e+00,1.37033488e+06
1.41471512e+02,1.66800898e-02,3.05008197e+00,1.33732474e+00,6.05131500e+05
1.47807404e+02,3.07615733e+00,1.97735500e+00,1.18384123e+00,6.11863500e+05
1.52425583e+02,3.14058638e+00,4.20004559e+00,1.16254687e+00,2.33749812e+05
1.57772766e+02,1.57667580e-03,5.90415621e+00,1.26396561e+00,4.97045594e+05
1.44666046e+02,5.99020766e-03,4.58806467e+00,1.19358957e+00,4.83581594e+05
1.49071014e+02,5.63023146e-03,3.10533810e+00,1.28276932e+00,1.25065500e+06
1.56133804e+02,3.99769144e-03,5.81768847e+00,1.17141664e+00,4.03919656e+05
1.40266785e+02,3.11334874e-03,2.37799931e+00,1.29448068e+00,1.08497312e+06
1.52625626e+02,3.08065319e+00,5.68683481e+00,1.23618972e+00,4.64133625e+05
1.60365662e+02,3.14153028e+00,1.35473919e+00,1.33429074e+00,4.80215594e+05
1.69119293e+02,3.74376657e-03,5.24399757e-01,1.36118627e+00,6.84045438e+05
1.72868713e+02,2.91308830e-03,3.27063656e+00,1.32389843e+00,1.65981062e+06
1.43196854e+02,8.96465685e-03,4.42534447e-01,1.14465952e+00,4.03545656e+05
1.42866226e+02,9.52874683e-03,5.65553713e+00,1.19406044e+00,9.23031250e+05
1.67139297e+02,9.93662397e-04,4.75696421e+00,1.33978868e+00,1.39202688e+06
1.43833786e+02,3.13699746e+00,3.75001812e+00,1.22750258e+00,7.38275375e+05
1.54307785e+02,3.65284947e-03,3.87131596e+00,1.31624925e+00,1.30899888e+06
1.41594055e+02,1.72822247e-03,6.21865273e-01,1.22607780e+00,5.11257594e+05
1.56203781e+02,7.53041450e-03,3.86506557e+00,1.44918168e+00,1.76378250e+06
1.63074982e+02,3.13721633e+00,2.72938061e+00,1.53569043e+00,1.23644300e+06
1.54711700e+02,3.13992834e+00,4.56104183e+00,1.27457666e+00,1.50796675e+06
1.41236893e+02,3.13862491e+00,3.25975895e+00,1.29911089e+00,6.65719438e+05
1.61654755e+02,6.86507439e-03,2.61198711e+00,1.20365036e+00,7.61837375e+05
1.92512619e+02,2.29783519e-03,3.09230709e+00,1.29352188e+00,5.81943500e+05
1.40448486e+02,4.69856570e-03,3.13862801e-01,1.87784636e+00,1.51656875e+06
1.60834595e+02,1.49388434e-02,9.91515160e-01,1.68286383e+00,1.52479675e+06
1.54800125e+02,3.21796024e-03,2.47870731e+00,1.18181956e+00,6.00269500e+05
1.41628448e+02,7.53141753e-03,6.00599289e-01,1.56319785e+00,9.79505188e+05
1.53459305e+02,3.13863373e+00,2.83394527e+00,1.24147773e+00,9.18543250e+05
1.86922333e+02,3.14049578e+00,5.81591463e+00,1.43059921e+00,1.01279119e+06
1.40142303e+02,3.13428736e+00,4.86843681e+00,1.30943370e+00,1.12386912e+06
1.60446640e+02,4.71976632e-03,3.07739925e+00,1.20792902e+00,6.04383500e+05
1.69530121e+02,3.14145112e+00,6.11895990e+00,1.21242750e+00,3.95691688e+05
1.51407364e+02,3.48857581e-03,6.27462816e+00,1.32336402e+00,1.21437700e+06
1.49266525e+02,3.14103580e+00,5.48883295e+00,1.28537762e+00,7.65203375e+05
1.58680099e+02,3.13825965e+00,1.07927322e-02,1.50910592e+00,1.54237475e+06
1.77037216e+02,7.68070109e-03,2.60023022e+00,1.30031621e+00,8.00359375e+05
1.47052750e+02,5.02845505e-03,3.75078773e+00,1.47913480e+00,1.01802719e+06
1.93227173e+02,3.13452172e+00,1.87479305e+00,1.39089882e+00,1.67364862e+06
1.42775696e+02,2.97146779e-03,1.64840031e+00,1.25849831e+00,1.44176888e+06
1.55905853e+02,1.09303128e-02,5.89656496e+00,1.27003157e+00,4.23367656e+05
1.46710022e+02,3.23886983e-03,6.13032341e-01,1.20958865e+00,8.77403312e+05
1.59519348e+02,3.14151192e+00,5.99332857e+00,1.42179513e+00,8.61695312e+05
1.62078186e+02,3.12631631e+00,4.63654566e+00,1.10861957e+00,1.75031859e+05
1.68110565e+02,1.79467708e-04,4.34634876e+00,1.15571356e+00,2.76011781e+05
1.86526199e+02,7.00290408e-03,3.23490047e+00,1.37806630e+00,1.58538475e+06
1.53183563e+02,5.81829867e-04,4.34097195e+00,1.11591351e+00,3.29493719e+05
1.64103516e+02,7.25704757e-03,4.12090969e+00,1.29026449e+00,4.21497656e+05
1.53171158e+02,7.70261046e-03,2.69350147e+00,1.13726795e+00,1.86999844e+05
1.50667221e+02,6.99615479e-03,3.36523342e+00,1.25649035e+00,6.61231438e+05
1.58126587e+02,3.56977209e-02,2.62430668e+00,1.34513974e+00,6.70207438e+05
1.44534103e+02,3.13456368e+00,5.34603262e+00,1.27733576e+00,6.73573438e+05
1.46864929e+02,5.81980683e-03,2.98667908e+00,1.13520563e+00,3.36973719e+05
1.43029465e+02,6.33286405e-03,1.39692020e+00,1.27962387e+00,5.46787562e+05
1.70756683e+02,3.13866758e+00,2.01637936e+00,1.55591202e+00,3.54215100e+06
1.68481873e+02,4.31560009e-04,9.99087334e-01,1.12187648e+00,6.19343500e+05
1.59145615e+02,3.14136314e+00,2.33048153e+00,1.12030888e+00,3.71381688e+05
1.46459335e+02,3.13849449e+00,5.35826683e-01,1.29288769e+00,1.31012088e+06
1.40272690e+02,3.13356757e+00,5.53212833e+00,1.47082472e+00,3.25940725e+06
2.14633835e+02,1.75477672e+00,8.24422836e-02,1.68900430e+00,3.92288275e+06
1.68488495e+02,3.14038968e+00,5.59835291e+00,1.11918044e+00,1.91113844e+05
1.43787277e+02,5.99331968e-03,2.59767628e+00,1.24447703e+00,5.47535562e+05
1.58756866e+02,5.76789910e-03,3.93675900e+00,1.37640953e+00,1.80155650e+06
1.54732574e+02,3.13614416e+00,3.30121136e+00,1.38364434e+00,6.04383500e+05
1.40136398e+02,3.13877797e+00,2.42113400e+00,1.48596442e+00,2.08018625e+06
1.46401596e+02,3.13358831e+00,9.30252552e-01,1.13980091e+00,3.78861688e+05
1.45280807e+02,5.58402296e-03,8.40217590e-01,1.33159006e+00,7.12095438e+05
1.46414948e+02,3.13879061e+00,4.40031528e+00,1.34395516e+00,6.32059500e+05
1.45621780e+02,1.32630975e-03,5.60417223e+00,1.26570177e+00,5.71845562e+05
1.68268127e+02,3.42747220e-03,3.12362957e+00,1.22890723e+00,8.79273312e+05
1.46903976e+02,6.03107689e-03,4.99813843e+00,1.32017517e+00,8.89745250e+05
1.55748138e+02,1.02965732e-03,2.33351803e+00,1.18065596e+00,3.99057688e+05
1.74194565e+02,3.13852954e+00,1.52102184e+00,1.28341603e+00,7.51365375e+05
1.75618546e+02,2.27292739e-02,5.98950624e+00,1.35632336e+00,1.43466288e+06
1.64110703e+02,5.13075909e-04,7.46123314e-01,2.03478861e+00,6.25551900e+06
1.51440033e+02,3.13782811e+00,1.05142117e+00,1.59246457e+00,9.07323250e+05
1.85740631e+02,3.13684034e+00,4.10096645e+00,1.52932274e+00,8.00733375e+05
1.54629562e+02,3.13932085e+00,1.50617123e+00,1.21165323e+00,3.66893688e+05
1.59031570e+02,8.10410455e-03,1.88382244e+00,1.21530199e+00,4.00553688e+05
1.40148773e+02,3.13772058e+00,3.03079319e+00,1.11233437e+00,2.76385781e+05
1.55394791e+02,3.13878775e+00,3.84045124e+00,1.26448762e+00,5.60251562e+05
1.65694977e+02,6.33100048e-04,4.09394360e+00,1.43688655e+00,2.04727438e+06
1.66007294e+02,3.14032793e+00,5.14983177e-01,1.15044332e+00,3.73251688e+05
1.45295654e+02,3.13823104e+00,4.95250559e+00,1.37513053e+00,1.22746700e+06
1.42473526e+02,1.15752232e-03,3.13006496e+00,1.57273149e+00,5.95781500e+05
1.42349365e+02,2.66328338e-03,5.77081823e+00,1.31623840e+00,6.48889500e+05
1.45670502e+02,3.42223234e-03,4.75136042e+00,1.18595171e+00,6.95639438e+05
1.72580490e+02,4.79296362e-03,2.46047497e+00,1.56692588e+00,3.81442300e+06
1.46772552e+02,3.13904548e+00,6.23175859e+00,1.53713048e+00,1.58239275e+06
1.76743515e+02,8.86870432e-04,2.01517773e+00,1.47711766e+00,2.76123975e+06
1.94510956e+02,3.13587809e+00,1.40570736e+00,1.35166621e+00,9.36869250e+05
1.86249390e+02,2.23434367e-03,1.87981701e+00,1.31523609e+00,9.09193250e+05
1.53341049e+02,3.14086270e+00,9.79453087e-01,1.34095156e+00,2.24848625e+06
1.59283386e+02,3.13885212e+00,2.88561535e+00,1.35771179e+00,1.11601512e+06
1.68027145e+02,3.13885379e+00,5.48226357e-01,1.16152692e+00,6.09245500e+05
1.72040375e+02,3.14085841e+00,2.09215832e+00,1.31175554e+00,1.01466119e+06
1.40007584e+02,3.13052940e+00,3.00257325e+00,1.24475729e+00,3.46697719e+05
1.51147003e+02,3.13750005e+00,6.04269075e+00,1.40306830e+00,1.34078888e+06
1.52255798e+02,4.20157658e-03,4.14649868e+00,1.43516052e+00,8.41873312e+05
1.40992950e+02,9.90352873e-03,5.02272797e+00,1.31780660e+00,1.23831300e+06
1.46993195e+02,3.14123797e+00,2.53034496e+00,1.44348574e+00,1.69309662e+06
1.44842072e+02,8.12410284e-03,1.42039299e+00,1.08995724e+00,2.15049828e+05
1.47359818e+02,3.92376026e-03,4.81020403e+00,1.16642833e+00,4.26359656e+05
1.70616974e+02,3.17641115e-03,5.84658623e-01,1.39624417e+00,6.99005438e+05
1.56987686e+02,7.21716415e-03,8.16756248e-01,1.24626613e+00,7.99237375e+05
1.40454956e+02,8.58972594e-03,5.00595284e+00,1.50235498e+00,1.12386912e+06
1.61272644e+02,3.13732123e+00,4.43237209e+00,1.18627810e+00,4.02797656e+05
1.57048416e+02,3.12811685e+00,4.07115841e+00,1.51165724e+00,1.56892875e+06
1.63908432e+02,1.27912881e-02,1.38809490e+00,1.42105448e+00,7.36779375e+05
1.47836258e+02,3.13660455e+00,2.69449520e+00,1.15837848e+00,7.23689438e+05
1.49290176e+02,9.14151873e-03,2.43445110e+00,1.43612337e+00,1.17959500e+06
1.40247299e+02,1.38833169e-02,2.08589029e+00,1.10196459e+00,1.64185859e+05
1.86353333e+02,2.12581875e-03,3.66857052e+00,1.17834342e+00,4.17757656e+05
1.41971710e+02,3.13323092e+00,5.53494406e+00,1.22479713e+00,5.54641562e+05
1.46302933e+02,6.20819721e-03,4.03774929e+00,1.17266309e+00,4.67873625e+05
1.84421753e+02,3.12605953e+00,2.79142666e+00,1.24218500e+00,6.69833438e+05
1.40888626e+02,3.12710667e+00,5.31144142e+00,1.31565619e+00,8.18685312e+05
1.51302612e+02,3.13365388e+00,3.38540173e+00,1.49457097e+00,5.03029594e+05
1.60149338e+02,3.13883257e+00,5.00409937e+00,1.70432270e+00,2.41903000e+06
1.48422668e+02,3.14155912e+00,4.72778559e+00,1.44840062e+00,7.38275375e+05
1.56289993e+02,3.13903928e+00,2.12881565e+00,1.42305696e+00,9.48837250e+05
1.42665283e+02,3.14009643e+00,3.61793041e+00,1.31796348e+00,1.06365512e+06
1.64387009e+02,3.13573027e+00,4.93180275e-01,1.32271731e+00,1.81015850e+06
1.43769333e+02,3.67620634e-03,3.05199623e+00,1.34076893e+00,6.69833438e+05
1.45927582e+02,3.14094901e+00,6.51051521e-01,1.30785286e+00,1.01166919e+06
1.46542191e+02,5.12349140e-03,5.19622850e+00,1.16779411e+00,3.57169719e+05
1.48050552e+02,3.07034922e+00,6.36801720e-01,1.46358573e+00,1.74508262e+06
1.41403549e+02,2.04942599e-02,4.14691639e+00,1.16868567e+00,1.18894500e+06
1.46985733e+02,2.43782904e-03,3.77358532e+00,1.38233435e+00,1.10853512e+06
1.46814407e+02,3.43985343e-03,5.04867935e+00,1.40151811e+00,1.09955912e+06
1.54614975e+02,4.45085391e-03,4.76628733e+00,1.24427319e+00,9.22657250e+05
1.40720566e+02,3.02197691e-03,4.61301184e+00,1.18316460e+00,3.86715688e+05
1.78331406e+02,3.99918528e-03,3.12285423e-01,1.13025486e+00,4.62637625e+05
1.56737534e+02,3.11771297e+00,3.65667248e+00,1.25417256e+00,6.81427438e+05
1.98160172e+02,2.75749844e-02,4.30913448e+00,1.55811799e+00,9.73147188e+05
1.47944656e+02,9.03742295e-03,2.43070412e+00,1.21797645e+00,1.68935662e+06
1.51010818e+02,3.13562918e+00,5.87363863e+00,1.38389373e+00,9.09193250e+05
1.44055954e+02,6.00660825e-03,5.67133379e+00,1.26050818e+00,4.83581594e+05
1.48819214e+02,3.13404512e+00,5.73881960e+00,1.76774347e+00,1.53639075e+06
1.46055710e+02,3.12644911e+00,5.35227251e+00,1.29568899e+00,7.46129375e+05
1.43795639e+02,3.13924789e+00,5.14255571e+00,1.19768429e+00,1.10292512e+06
1.52739944e+02,3.13945484e+00,3.51093578e+00,1.16633677e+00,3.73251688e+05
1.42655075e+02,3.13528872e+00,3.85195756e+00,1.61868608e+00,5.11033200e+06
1.43961777e+02,3.08656693e+00,4.98460627e+00,1.57385421e+00,3.07764350e+06
1.57985367e+02,3.13365388e+00,4.24502277e+00,1.20482242e+00,3.65023688e+05
1.47270554e+02,8.09634291e-03,3.16233158e+00,1.23993146e+00,6.43653500e+05
1.57399963e+02,3.44097894e-03,2.34923840e+00,1.50448430e+00,2.01922438e+06
1.53919495e+02,3.13909984e+00,3.31231213e+00,1.32829523e+00,6.79557438e+05
1.83746979e+02,1.78683794e-03,4.51412487e+00,1.32435715e+00,8.21303312e+05
1.58901016e+02,4.55766823e-03,1.29993534e+00,1.25821936e+00,6.06627500e+05
1.58856384e+02,6.52142009e-03,4.38989544e+00,1.14662492e+00,3.25005750e+05
1.65114273e+02,3.13939333e+00,4.10399151e+00,1.60439372e+00,2.65614575e+06
1.65792328e+02,3.12463760e+00,5.47645426e+00,1.29764760e+00,7.82781375e+05
1.42918030e+02,2.64354656e-03,5.14031935e+00,1.18160295e+00,4.03919656e+05
1.46084015e+02,1.79895794e-03,8.14166069e-01,1.27567315e+00,5.84561500e+05
1.74831604e+02,2.72093061e-03,5.63172770e+00,1.25329530e+00,9.97083188e+05
1.47046463e+02,3.13512659e+00,5.80703545e+00,1.42380548e+00,2.31393600e+06
1.58542252e+02,3.14114761e+00,2.01534557e+00,1.22200918e+00,4.27107656e+05
1.46079575e+02,2.64820782e-03,2.35522270e+00,1.16376328e+00,2.46839797e+05
1.45956573e+02,3.14031219e+00,2.45070553e+00,1.53071833e+00,3.40489325e+06
1.70892471e+02,3.33826989e-03,5.33408594e+00,1.36188507e+00,6.30563500e+05
1.57822784e+02,3.13692498e+00,3.60727978e+00,1.40497077e+00,2.68980575e+06
