# Run exit points.  Columns are r (AU), th (rad), ph (rad), ek (GeV), s (s).  Made with Strauss code. 
1.40449783e+02,3.12952971e+00,1.80406463e+00,4.31047976e-01,5.50082480e+07
1.40023788e+02,1.38038909e+00,3.92636269e-01,1.59729809e-01,7.64245920e+07
1.40079498e+02,3.08207989e-01,2.21582627e+00,5.19199893e-02,1.42321840e+07
1.47648987e+02,3.13584161e+00,1.78593349e+00,7.05643952e-01,3.63239720e+07
1.42038361e+02,3.13509703e+00,6.18625164e-01,4.60452586e-01,2.97067960e+07
1.41431061e+02,3.13264155e+00,4.26765633e+00,4.71590638e-01,2.96686480e+07
1.40480331e+02,6.53417170e-01,3.84447169e+00,6.83486611e-02,3.14425280e+07
1.40249725e+02,7.37636387e-01,1.46935415e+00,8.82696435e-02,5.14118680e+07
1.40141617e+02,2.59351206e+00,4.14709330e+00,3.10744196e-01,7.69863440e+07
1.40001419e+02,2.51662064e+00,5.76302767e-01,6.10297993e-02,1.79561000e+07
1.41141403e+02,8.33238941e-03,3.09041238e+00,5.92773914e-01,8.52416400e+07
1.40182617e+02,2.43956149e-02,5.97563314e+00,2.97240883e-01,2.80196840e+07
1.40369888e+02,6.04283065e-03,5.66622496e+00,4.47462291e-01,5.92759600e+07
1.43111923e+02,3.14111781e+00,3.34289837e+00,7.43044019e-01,1.08302456e+08
1.43466537e+02,3.13478255e+00,3.65378094e+00,8.20323467e-01,3.79976200e+07
1.40377258e+02,1.00867040e-01,1.97434795e+00,3.86787146e-01,6.05468120e+07
1.40274368e+02,2.84605908e+00,1.85466874e+00,1.72039106e-01,3.10101840e+07
1.43056946e+02,5.48866857e-03,5.76208544e+00,5.94967902e-01,2.17581800e+07
1.43220001e+02,3.13629246e+00,3.56690216e+00,3.30118060e-01,3.07921420e+07
1.40003220e+02,3.05778933e+00,3.48987770e+00,1.50824830e-01,6.04204000e+07
1.41989899e+02,3.12799549e+00,1.53455925e+00,1.24761844e+00,5.10760160e+07
1.40375504e+02,2.05077100e+00,4.68535995e+00,2.31346950e-01,4.12525400e+07
1.75113663e+02,2.84403167e-03,7.67049789e-02,8.58583212e-01,4.39172880e+07
1.41009766e+02,3.13310218e+00,3.96532154e+00,3.11802953e-01,8.36917840e+07
1.50883118e+02,3.13944316e+00,1.14389515e+00,8.77620518e-01,5.35384320e+07
1.40862427e+02,7.43689435e-03,8.46649170e-01,3.82247448e-01,6.53272760e+07
1.41112213e+02,3.12845922e+00,1.48273337e+00,4.35838968e-01,6.39947120e+07
1.40400085e+02,2.92787004e+00,4.12924528e+00,2.68772751e-01,7.98698800e+07
1.40677887e+02,3.13576627e+00,2.90903354e+00,4.13900167e-01,5.10262760e+07
1.40461334e+02,3.13754702e+00,3.43598557e+00,7.32930541e-01,3.18707580e+07
1.40135162e+02,2.79403210e-01,5.32571197e-01,3.80577862e-01,3.91177520e+07
1.40326035e+02,5.80600463e-03,1.46054342e-01,4.93893325e-01,4.22855280e+07
1.52620697e+02,3.80126238e-02,3.43160629e+00,3.91201884e-01,2.18827220e+07
1.40804428e+02,3.10591221e+00,3.49171352e+00,3.63024116e-01,9.37957600e+07
1.66138275e+02,3.13510370e+00,3.71144390e+00,1.13892138e+00,4.24586880e+07
1.40583450e+02,3.13477850e+00,1.38819671e+00,4.43380535e-01,6.54465800e+07
1.64153427e+02,3.14641697e-03,5.66194773e+00,1.18489909e+00,4.05116480e+07
1.40772766e+02,3.69308889e-03,3.82163143e+00,6.15440011e-01,3.36472560e+07
1.40105850e+02,2.41572881e+00,5.27335024e+00,5.75768173e-01,9.63355920e+07
1.46514877e+02,7.26623321e-03,1.10276461e+00,1.07881880e+00,5.58703200e+07
1.40078232e+02,2.78509784e+00,5.46548748e+00,2.11558565e-01,3.03900940e+07
1.43906403e+02,3.13288164e+00,3.27606916e-01,5.95720828e-01,4.38185520e+07
1.40867264e+02,2.70539057e-03,5.49235392e+00,4.02310878e-01,3.08089720e+07
1.47819305e+02,3.13461828e+00,3.35576916e+00,7.91251540e-01,3.96712680e+07
1.40317261e+02,1.30086946e+00,4.79029942e+00,2.08433583e-01,4.43817960e+07
1.44910904e+02,3.14023924e+00,4.81630373e+00,8.95816684e-01,3.78046360e+07
1.40268692e+02,1.11970460e+00,2.92414498e+00,1.01461165e-01,3.49517680e+07
1.46796524e+02,4.22280002e-03,3.13835526e+00,7.80690491e-01,3.51006200e+07
1.40127258e+02,3.72182399e-01,1.94571555e+00,1.11653484e-01,3.56919120e+07
1.62221313e+02,4.98895627e-03,4.51382542e+00,7.47810066e-01,6.56062800e+07
1.50043365e+02,2.48444011e-03,4.00705624e+00,8.18041265e-01,3.41087720e+07
1.43974197e+02,3.13675141e+00,2.41629863e+00,7.54249692e-01,5.83798560e+07
1.40114853e+02,1.90985894e+00,5.30137444e+00,4.15120535e-02,2.70850580e+07
1.40109070e+02,8.03874791e-01,6.06675911e+00,2.85917744e-02,1.89513120e+07
1.45507538e+02,5.73830260e-03,1.41761923e+00,8.88066411e-01,3.83865800e+07
1.40297974e+02,2.81289530e+00,4.15691376e+00,2.50012100e-01,5.52651880e+07
1.40149551e+02,1.02876527e-02,3.83416462e+00,2.26145551e-01,3.91050360e+07
1.40205734e+02,2.87588739e+00,2.44263387e+00,5.26325218e-02,2.62461760e+07
1.50286163e+02,3.13848662e+00,5.66604090e+00,1.19758618e+00,4.67080720e+07
1.40183090e+02,3.04832339e+00,5.36355925e+00,2.62400676e-02,1.56889130e+07
1.41320175e+02,5.38368709e-03,4.67858601e+00,5.86913407e-01,5.66209360e+07
1.48244843e+02,3.13720036e+00,5.26057577e+00,6.69624805e-01,1.93529880e+07
1.40255447e+02,1.15063536e+00,4.70129251e+00,1.05359517e-01,2.45257780e+07
1.40168045e+02,2.31647944e+00,2.10497880e+00,3.03536374e-02,2.44053500e+07
1.40006561e+02,1.97559023e+00,4.34352875e+00,2.34322384e-01,5.03377400e+07
1.40215302e+02,2.02865720e+00,3.80473924e+00,2.56278634e-01,4.97198920e+07
1.47552536e+02,3.13498902e+00,3.67838383e-01,6.13941073e-01,3.52580720e+07
1.42906006e+02,1.14143286e-02,4.81070805e+00,7.24938989e-01,4.78005280e+07
1.69828613e+02,5.99273480e-03,4.10910606e-01,7.73163319e-01,7.01342960e+07
