# Run exit points.  Columns are r (AU), th (rad), ph (rad), ek (GeV), s (s).  Made with Strauss code. 
1.45428253e+02,3.13607216e+00,2.85234356e+00,1.18229377e+00,1.05707270e+07
1.40322952e+02,7.37240911e-03,1.21866234e-01,4.46609557e-01,1.46084275e+06
1.42113541e+02,3.13277435e+00,1.58288896e-01,5.48571885e-01,1.24167900e+06
1.40608017e+02,1.47869242e-02,3.70271969e+00,3.82713705e-01,1.52255275e+06
1.44657822e+02,3.13406491e+00,2.19956875e+00,5.30917108e-01,1.90141450e+06
1.41057037e+02,1.03834756e-02,5.99761677e+00,4.78673249e-01,1.05467912e+06
1.46469223e+02,3.14016318e+00,2.49301624e+00,1.03558791e+00,5.19597800e+06
1.42148621e+02,3.13470149e+00,6.10583591e+00,8.97967398e-01,5.75735150e+06
1.46521301e+02,3.14032888e+00,5.75070047e+00,5.56777954e-01,2.45119400e+06
1.48965240e+02,1.66276889e-03,2.23790646e+00,1.21063995e+00,4.42927850e+06
1.46881760e+02,3.13280106e+00,6.15384817e+00,5.79071641e-01,2.14862825e+06
1.50404831e+02,4.68533253e-03,4.46525288e+00,1.12424767e+00,7.85062750e+06
1.42824142e+02,5.14911348e-03,3.58384252e+00,4.28008467e-01,4.45770250e+06
1.42185638e+02,2.52631470e-03,5.33566713e+00,1.21712649e+00,5.24272750e+06
1.52586105e+02,3.13882041e+00,2.74285412e+00,4.32009518e-01,1.41558888e+06
1.46115952e+02,3.13842392e+00,1.31737709e-01,6.74883604e-01,5.66534750e+06
1.54659058e+02,3.13977146e+00,5.70091105e+00,1.07002985e+00,4.31259050e+06
1.52572037e+02,2.32580234e-03,4.86428690e+00,7.59114146e-01,3.46622925e+06
1.44097305e+02,2.49481667e-03,3.78448677e+00,6.20976865e-01,5.36726950e+06
1.46061493e+02,4.74214274e-03,3.16502953e+00,8.02655935e-01,2.05475440e+07
1.40691422e+02,3.13201237e+00,2.83019280e+00,4.87932056e-01,2.79415175e+06
1.54107651e+02,3.13610458e+00,2.18054867e+00,7.31006145e-01,3.50325525e+06
1.54898163e+02,3.13566351e+00,9.76151466e-01,6.49506688e-01,4.62039200e+06
1.40403320e+02,3.13660121e+00,1.09977841e+00,4.07655597e-01,1.35687088e+06
1.42165436e+02,8.49697087e-03,3.76115704e+00,7.18334377e-01,5.11332400e+06
1.40072372e+02,3.12871981e+00,9.67875123e-01,5.40349662e-01,2.17630425e+06
1.40850967e+02,9.58572701e-03,3.04070926e+00,5.52864492e-01,4.80365200e+06
1.50099121e+02,2.12832098e-03,1.55011845e+00,6.13701284e-01,2.92355550e+06
1.57662033e+02,3.14026284e+00,2.85733128e+00,7.62464166e-01,4.51716850e+06
1.44862686e+02,1.69626193e-03,4.09770966e+00,1.14249337e+00,9.61366200e+06
1.49834396e+02,2.98089557e-03,2.43553257e+00,5.39208233e-01,2.13591225e+06
1.61711792e+02,4.23512422e-04,3.42485714e+00,7.30826616e-01,3.39890925e+06
1.44474640e+02,3.93752428e-03,7.92808533e-02,8.23450267e-01,6.54162850e+06
1.47005997e+02,3.14144588e+00,3.86582851e+00,8.51648927e-01,4.58000050e+06
1.40298416e+02,1.28971052e+00,2.36669111e+00,8.37155342e-01,2.22458760e+07
1.40043167e+02,3.12814856e+00,2.73696542e+00,8.63904059e-01,8.97898500e+06
1.41218842e+02,3.13885474e+00,3.21289349e+00,7.81526268e-01,3.43556125e+06
1.47537613e+02,3.14820814e-03,4.18603039e+00,7.37879515e-01,2.66175575e+06
1.47107635e+02,3.13343287e+00,4.17341232e+00,5.83366275e-01,3.87650675e+06
1.42546555e+02,4.25662473e-03,9.13964272e-01,9.46232200e-01,9.84105400e+06
1.47048935e+02,4.29516705e-03,1.22489929e+00,7.28780210e-01,1.76378250e+06
1.42215820e+02,1.02805076e-02,4.37137651e+00,7.26980746e-01,4.74568200e+06
1.54383881e+02,6.17920363e-04,5.25932074e+00,6.19632721e-01,5.47011950e+06
1.48518890e+02,3.13737583e+00,5.52036381e+00,5.86739182e-01,3.50026325e+06
1.52168610e+02,3.71142291e-03,4.26651669e+00,5.33962429e-01,8.63041700e+06
1.47238190e+02,3.13171315e+00,2.99179268e+00,7.10956514e-01,3.56384300e+06
1.40389648e+02,1.17455106e-02,4.42939281e+00,3.79180431e-01,1.75705062e+06
1.40249817e+02,2.62928400e-02,5.89209938e+00,4.31471765e-01,1.43952488e+06
1.53269775e+02,1.85538945e-03,5.87918901e+00,7.69813836e-01,7.89363750e+06
1.40527145e+02,7.62371114e-03,4.15455437e+00,4.14982110e-01,1.33218688e+06
1.46426620e+02,2.04970012e-03,1.88548565e+00,7.52469003e-01,2.82556775e+06
1.40346756e+02,1.29636470e-02,1.09640360e+00,5.63797653e-01,3.07352950e+06
1.44200836e+02,6.91026682e-03,3.71008062e+00,4.53062236e-01,2.19313425e+06
1.47088715e+02,1.56631181e-03,2.94848251e+00,5.89055836e-01,3.10980750e+06
1.41730331e+02,7.80296000e-03,2.83975792e+00,9.34927404e-01,9.27332200e+06
1.50130173e+02,3.13708544e+00,5.22970057e+00,9.30338204e-01,6.16239300e+06
1.52010773e+02,3.13759661e+00,5.27490807e+00,8.00194204e-01,5.82242700e+06
1.40262131e+02,2.03794932e+00,4.81530428e+00,1.28927696e+00,2.71097420e+07
1.45847305e+02,3.13800430e+00,1.76591873e-02,6.06578767e-01,3.94794075e+06
1.49103546e+02,3.93482717e-03,4.39801407e+00,4.52469051e-01,1.15865100e+06
1.42462540e+02,3.12952828e+00,4.29506826e+00,4.17653203e-01,1.06402912e+06
1.42297577e+02,1.38417725e-02,3.45381379e+00,6.58893704e-01,3.34654925e+06
1.48537903e+02,5.90870949e-03,4.72511053e+00,7.47807503e-01,2.20136225e+06
1.48445831e+02,3.12938190e+00,1.39772654e+00,4.57091361e-01,1.48702275e+06
1.40031052e+02,1.25185195e-02,4.64943218e+00,6.67530477e-01,3.14346750e+06
1.61922119e+02,3.13429189e+00,2.43618298e+00,1.23893905e+00,4.68771200e+06
1.40576721e+02,7.36419624e-03,5.45409060e+00,7.09692717e-01,2.93701950e+06
1.45709946e+02,3.14030194e+00,5.28499651e+00,6.02080643e-01,3.12813350e+06
1.41957474e+02,3.12724352e+00,9.31480899e-02,5.97050905e-01,2.05438038e+06
1.46752304e+02,3.13448477e+00,2.21892452e+00,7.91050017e-01,7.01735650e+06
1.43627365e+02,3.17312288e-03,4.35705709e+00,4.94102120e-01,2.39659000e+06
1.45493759e+02,3.13744473e+00,5.83324099e+00,6.21677160e-01,5.74239150e+06
1.44926697e+02,4.61171009e-03,1.91427517e+00,9.09345448e-01,4.49472850e+06
1.47627151e+02,3.13767529e+00,9.75292206e-01,9.11439836e-01,3.56571300e+06
1.43953247e+02,1.85250258e-03,1.98634148e-01,1.11541402e+00,3.73289100e+06
