# Run exit points.  Columns are r (AU), th (rad), ph (rad), ek (GeV), s (s).
# First line contains initial point of trajectory:
1.0,1.5707963267948966,0,0.9,0.0
1.82905136e+02,2.89255707e-03,2.19632626e+00,1.31590044e+00,1.35761888e+06
1.41065796e+02,3.86816246e-04,3.21940899e-01,1.06373823e+00,4.40197656e+05
1.44791183e+02,1.24073653e-02,3.93620157e+00,1.08203661e+00,4.52539625e+05
1.45731689e+02,8.77947640e-03,5.37062883e+00,1.14218438e+00,3.49315719e+05
1.50933960e+02,3.13864279e+00,2.28865910e+00,1.34772170e+00,1.84157450e+06
1.44980743e+02,8.68659094e-03,5.91963482e+00,1.08410275e+00,9.55195250e+05
1.57615601e+02,3.12954998e+00,5.70649147e-01,1.03813410e+00,4.01675688e+05
1.44002701e+02,3.13173938e+00,4.64736223e+00,1.02338564e+00,6.10741500e+05
1.46037552e+02,5.55515895e-03,5.46182680e+00,1.07253850e+00,3.73251688e+05
1.56653748e+02,3.13527083e+00,6.15412760e+00,1.50245619e+00,3.11915750e+06
1.71478149e+02,3.13430238e+00,5.77094316e+00,1.51217520e+00,1.65083462e+06
1.58374985e+02,3.14002752e+00,4.78800821e+00,1.20809400e+00,6.44401500e+05
1.44090805e+02,3.13777471e+00,2.44273949e+00,1.01580954e+00,2.71897781e+05
1.60097305e+02,5.20711765e-03,4.21454525e+00,1.21245885e+00,8.43743312e+05
1.76889389e+02,3.14098144e+00,3.67053890e+00,1.13599479e+00,7.63707375e+05
1.41045319e+02,3.13683009e+00,1.75266457e+00,1.14577317e+00,4.76849625e+05
1.61370224e+02,3.13999653e+00,3.69357109e-01,1.12399113e+00,6.65719438e+05
1.41922134e+02,2.95631494e-03,3.16676617e+00,1.13153207e+00,5.68479562e+05
1.71980637e+02,5.67770097e-03,8.80267143e-01,1.11672556e+00,8.44117312e+05
1.45555893e+02,1.88327208e-03,5.25932598e+00,1.29168952e+00,8.71793312e+05
1.65579330e+02,1.41525897e-03,3.04576969e+00,1.01226497e+00,2.10187828e+05
1.67010208e+02,1.98133802e-03,1.21379375e+00,1.34256124e+00,1.10666512e+06
1.81337830e+02,1.55432808e-05,5.30019617e+00,1.27427638e+00,2.10038225e+06
1.50314377e+02,6.24017604e-03,3.15533733e+00,1.17170382e+00,1.18782300e+06
1.73075943e+02,3.61216662e-04,2.21538448e+00,1.16101265e+00,8.78899312e+05
1.46030396e+02,7.30497809e-03,4.43265629e+00,1.28062356e+00,1.31161688e+06
1.45866379e+02,3.14000463e+00,3.29017925e+00,1.05862319e+00,5.83065500e+05
1.61723373e+02,3.13715053e+00,6.09705019e+00,1.01988852e+00,2.16545828e+05
1.80313461e+02,7.37645430e-03,3.31109142e+00,1.18884242e+00,1.06290712e+06
1.50412628e+02,3.13402820e+00,4.73975182e-01,1.12767863e+00,4.04667656e+05
1.55403366e+02,3.13856483e+00,9.51401711e-01,1.23211455e+00,9.29389250e+05
1.73542236e+02,1.63322885e-03,5.42420435e+00,1.28708816e+00,1.84681050e+06
1.41571777e+02,3.13641381e+00,1.77118397e+00,1.02260423e+00,3.28745719e+05
1.66963608e+02,3.13869023e+00,3.99371052e+00,1.36253083e+00,1.18221300e+06
1.75022522e+02,3.13852024e+00,3.21340466e+00,1.04063618e+00,3.10045750e+05
1.60121170e+02,2.98574357e-03,1.13458920e+00,1.27248991e+00,7.10599438e+05
1.53472809e+02,3.14065933e+00,5.65166712e+00,1.67958653e+00,1.61941862e+06
1.42137543e+02,3.13718629e+00,1.88296318e-01,1.34586120e+00,1.14780512e+06
1.47487991e+02,3.13524628e+00,5.70065928e+00,1.48506403e+00,3.67118100e+06
1.93628693e+02,3.13791609e+00,9.04494286e-01,1.26513541e+00,9.70529188e+05
1.48379776e+02,3.13874483e+00,3.77646542e+00,1.76402187e+00,2.31618000e+06
1.51103851e+02,8.69020063e-04,5.54909706e-01,1.21262705e+00,8.18311312e+05
1.56240555e+02,3.14094329e+00,3.39001751e+00,1.39026392e+00,1.79968650e+06
1.68496246e+02,3.13910198e+00,2.72245407e-02,1.03885341e+00,4.20375656e+05
