# Run exit points.  Columns are r (AU), th (rad), ph (rad), ek (GeV), s (s).
# First line contains initial point of trajectory:
0.000000,0.000000,0.000000,0.000000,0.000000142.015874,3.138921,5.797970,1.379859,642419.250336
144.064000,3.135341,2.260375,1.750281,1184756.186305
145.014493,0.000137,2.142286,1.310503,583551.700704
140.799365,0.001518,6.113768,1.780257,1144663.420609
140.768139,0.006865,3.532583,1.179011,215797.815360
140.280329,3.138407,1.771893,1.424190,1170768.598273
140.129151,3.135457,0.711353,1.236941,540429.537600
143.932806,0.000087,1.197943,1.494774,1287045.098785
140.572248,0.003733,4.367569,1.319990,674957.222496
141.509423,3.139702,3.948765,1.429345,751851.556704
140.683352,3.134706,2.688533,1.205519,283716.157248
140.353860,3.132440,3.770024,1.332898,1294001.492833
143.142938,3.139192,5.969593,1.726518,1380619.818721
140.078010,3.137078,4.746267,1.254938,690291.209376
142.107152,3.136268,2.675771,1.323513,1486386.928225
141.799003,0.003501,1.736670,1.584514,1219725.156385
140.124570,0.001557,2.894500,1.201400,481599.387936
140.414295,0.001060,6.211991,1.358752,765053.745408
140.707492,3.139350,5.058453,1.319020,1306193.882401
140.722443,3.140565,3.181689,1.306877,828932.890752
141.368826,3.136077,4.192414,1.594763,1386005.414113
140.002752,0.004222,2.216278,1.669267,1316890.273249
140.829545,0.004704,6.262786,1.186214,365809.087008
142.574796,3.138722,1.034561,1.679602,1631162.204353
140.635125,0.003861,3.640868,1.331412,1190029.581793
141.105141,0.002949,4.142644,1.266959,676752.420960
140.699731,3.136513,0.170170,1.211812,309372.535296
144.512074,0.003694,4.331444,1.446393,1085721.071041
142.365165,0.003781,2.148493,1.332434,1039045.910977
141.260741,3.135872,5.666463,1.462152,797180.317920
143.502695,3.138908,2.370071,1.296723,480776.588640
140.240163,3.140002,3.803647,1.336697,444797.819424
140.829894,0.006292,2.851150,1.234650,647543.045952
142.801966,3.138007,0.357713,1.219503,328072.519296
141.216634,0.005081,0.908198,1.357988,898160.231520
142.174278,0.003451,0.708329,1.591635,2657155.526495
143.486353,3.141023,5.514581,1.238062,703942.197696
144.979222,3.095945,4.250564,1.231655,379908.874944
142.880759,3.141441,3.552126,1.275758,428753.233152
143.131821,3.137562,1.597525,1.358068,613172.475360
142.304743,0.000712,5.769617,1.355163,456092.609760
140.549471,3.139751,1.266293,1.593072,1287568.698337
143.020145,0.001445,3.311544,1.410215,1514511.704161
141.145437,0.005817,0.530844,1.241899,640437.052032
142.576254,3.138325,5.739948,1.270057,418543.041888
140.033226,3.130986,5.169978,1.322792,609208.078752
140.520451,3.131282,5.617781,1.260226,793178.521344
144.324272,0.002934,2.946438,1.388599,493529.977728
142.994590,3.139549,6.181323,1.189615,308512.336032
140.802200,0.006669,1.831091,1.413355,931147.003296
143.018742,3.138181,3.253582,1.222643,367230.285792
141.112265,0.000521,5.393426,1.477322,1545217.077889
142.559349,3.138291,5.817106,1.305645,585047.699424
141.297082,3.136486,0.662694,1.196100,214002.616896
140.138606,3.136379,1.920211,1.233774,362330.889984
142.920057,3.137852,1.591622,1.536616,2149787.560608
143.233364,0.002315,0.695163,1.244660,950632.386624
142.167695,0.002016,6.105746,1.291974,481374.988128
141.994753,3.137762,2.047731,1.416876,1253160.727777
142.711098,3.138711,4.828652,1.328558,1658202.381217
143.827643,3.139383,3.499624,1.393588,510285.163392
140.747607,0.005288,5.856298,1.478362,1434064.372993
141.917229,3.134965,1.695986,1.496156,1136472.827617
142.042765,0.004298,2.440342,1.260414,340302.308832
142.086053,0.003344,5.614262,1.239213,369062.884224
143.743819,0.002142,4.110795,1.279442,405565.252992
140.753749,0.007988,0.157335,1.321177,540878.337216
141.531877,3.138414,3.484131,1.310191,1143017.822017
143.415240,3.093626,6.213451,1.239995,292280.749920
141.501735,3.136627,1.075524,1.369773,601877.685024
140.088722,3.135119,2.837154,1.307346,728887.976352
140.150715,3.135657,1.957645,1.280365,468546.799104
143.352567,0.003106,0.280170,1.364266,1198332.374689
140.053291,0.002139,0.776814,1.267126,504525.568320
140.173783,0.011567,2.903256,1.784897,3113135.936350
141.923056,3.136188,0.811986,1.492280,1270476.912961
144.025443,3.140518,3.160249,1.237146,642456.650304
141.327045,0.003746,2.133205,1.389085,1119156.642433
143.072806,0.004350,3.395535,1.236697,371980.081728
143.882484,0.002238,3.485357,1.392319,1050378.101281
142.509587,3.136350,6.156812,1.544981,1230346.747297
141.892398,0.002057,4.663852,1.197657,334467.913824
140.914899,0.008087,2.402473,1.330978,600493.886208
140.775203,3.133462,5.265178,1.411105,1008228.337344
146.210154,0.000573,5.881349,1.534034,1980926.705088
142.244650,3.141042,5.556427,1.882756,1485003.129409
141.656756,3.136877,1.378018,1.470762,1009724.336064
141.558827,3.137869,4.609026,1.383156,1146907.418689
141.245412,3.138029,6.023871,1.389819,740631.566304
144.312192,0.001359,0.765574,1.656124,1076782.478689
141.516127,0.006708,0.318322,1.254846,487358.983008
141.245172,0.002876,3.762170,1.333261,397486.859904
141.064773,0.001620,4.866149,2.172075,2506732.855199
145.461819,3.139181,4.457079,1.506533,920114.012736
143.186005,3.137297,5.689254,1.235208,515147.159232
141.135187,3.139410,0.865114,1.435687,1833271.631425
140.371077,0.004836,2.050021,1.590702,1599447.031489
141.847115,0.005495,2.397363,1.474432,2254956.270624
140.334121,3.135251,3.609111,1.568030,1238125.940641
143.341811,0.002154,2.760590,1.749589,2344865.793696
144.043690,0.001885,3.275472,1.296571,859563.464544
142.757648,3.136118,4.584880,1.955558,3688160.444348
144.425766,3.139779,3.999090,1.364283,632096.859168
141.121564,3.137017,1.902873,1.374948,498242.373696
140.389375,0.007332,0.644078,1.195966,472211.995968
142.351281,0.003658,3.092339,1.211761,284912.956224
142.180674,3.139705,3.937021,1.348874,600007.686624
140.808433,3.134753,3.608517,1.695292,2333907.603072
140.400953,3.134796,0.196795,1.332155,490388.380416
140.111512,0.001534,4.258800,1.350357,537848.939808
142.622575,3.136843,4.317005,1.441117,844042.477824
144.801452,0.002899,2.585836,1.745189,4027789.553756
142.520130,0.002092,4.367028,1.602474,2852794.759102
140.609092,0.005057,1.034089,1.443358,917196.815232
143.188060,0.001637,2.341609,1.343273,696275.204256
144.623590,0.001529,1.515979,1.416947,759555.950112
143.275968,3.137806,6.055600,1.263440,585346.899168
142.329877,3.136245,3.591440,1.305070,970304.769792
142.565516,3.140051,5.267791,1.311081,1169609.199265
140.675651,3.132909,0.946668,1.312086,1176266.393569
142.554812,0.006301,5.594321,1.839394,3421910.072157
140.610653,0.003834,0.663437,1.187619,189243.838080
142.301873,3.137964,1.293182,1.389592,623831.466240
141.738086,3.140503,2.676115,1.625090,1705475.940769
143.502468,3.136870,5.441393,1.564238,1250617.529953
141.871444,0.006143,3.973069,1.466559,866744.258400
141.622153,0.006359,3.671797,1.401635,708168.394080
142.476217,0.002491,3.768887,1.239233,340900.708320
140.957323,0.006052,1.361461,1.282037,272234.367072
141.924469,0.005439,4.986399,1.242228,285960.155328
140.436606,0.015659,4.377187,1.259902,383013.072288
142.989819,3.138004,5.334076,1.527593,994577.349024
146.179139,0.002159,6.073665,1.837224,2369474.972639
140.769084,3.136995,5.989718,1.404027,739846.166976
143.199132,3.137566,3.457594,1.494576,1584561.844225
141.831246,0.003331,3.423486,1.311669,714376.788768
140.780854,3.134551,6.224976,1.294359,1070050.484449
140.294381,0.005243,1.442421,1.413898,1069564.284865
142.336911,0.004578,5.418236,1.437939,796095.718848
142.699366,0.003505,0.429346,1.223616,335627.312832
140.080098,3.134450,5.191907,1.775694,4574726.685786
141.331287,3.136461,2.405502,1.545189,1652667.185953
140.305572,3.138126,3.277129,1.323884,899731.030176
143.991583,3.138682,2.763636,1.265649,392961.463776
143.282044,0.001078,1.835477,1.445302,971838.168480
143.562343,0.002236,3.754243,1.625360,939711.595968
140.546478,0.009025,5.825971,1.422212,1245157.134625
143.492407,3.140316,3.328427,1.289017,409754.049408
140.693763,0.004652,1.497158,1.201220,481075.788384
140.269693,3.138021,0.782416,1.418993,593088.692544
145.535069,0.002604,1.693324,1.327678,801331.714368
140.756161,0.001845,3.347771,1.324091,532201.544640
144.434270,0.002291,5.786040,1.380782,1220173.956001
140.015103,0.005871,3.689532,1.306615,975054.565728
141.803387,3.140248,5.867619,1.619668,1095594.662593
140.666135,3.136662,6.051113,1.343417,877926.848832
148.130967,3.141153,3.896163,1.615213,2489154.870239
141.617802,0.002825,4.785762,1.402992,512416.961568
142.774271,0.000859,4.008565,1.371098,920675.012256
140.944051,0.003678,1.850388,1.537170,1540317.682081
140.319823,3.135386,5.060360,1.316798,1174471.195105
142.730478,3.138399,1.108102,1.365864,472959.995328
142.073232,3.139108,5.466874,1.256067,532799.944128
143.241921,0.002301,2.826939,1.209047,486124.784064
142.160750,3.139330,1.338087,1.225792,328259.519136
144.675947,3.140706,4.144699,1.171739,219537.812160
141.687231,3.138274,0.499574,1.232238,732702.773088
143.527442,3.140217,4.042028,1.686953,3369849.316701
141.026002,3.137444,2.881028,1.322721,877889.448864
144.231189,0.002135,5.471677,1.327725,1102139.656993
143.285311,0.000079,1.394657,1.478260,972960.167520
142.590654,0.003148,5.739536,1.505364,1597090.833505
143.297154,0.001579,5.946828,1.309941,1218004.757857
140.056119,3.138697,2.406382,1.197739,408856.450176
143.919393,3.137557,5.219300,1.456892,640998.051552
140.444965,0.008652,1.757564,1.236782,600718.286016
142.142799,3.136037,2.063885,1.374831,601915.084992
142.514108,0.001978,1.048885,1.450528,1333196.659297
142.063062,0.002156,2.592048,1.151236,448911.815904
140.504220,0.005526,2.604471,1.484782,2209889.309184
141.291830,0.004090,1.257784,1.533229,1140437.224225
142.788822,0.001833,0.778695,1.339213,708691.993632
142.044532,3.137263,1.636143,1.504093,1248747.531553
145.273849,3.138186,2.531942,1.250168,528498.947808
142.798679,3.139606,0.285807,1.338577,507180.966048
140.794203,3.134616,6.108506,1.219365,572443.910208
140.021221,3.136567,2.305362,1.581757,4143243.254971
145.810222,3.138912,3.528874,1.336023,755067.953952
141.081120,3.134098,4.231827,1.217892,341199.908064
145.351056,3.140865,3.216768,1.532703,1190478.381409
143.916701,3.139155,1.146531,1.183614,445396.218912
143.046612,3.141454,4.847710,1.266737,515408.959008
143.094103,0.003488,2.679822,1.631904,934288.600608
143.411177,0.000427,3.322119,1.374251,1005909.539328
143.491054,0.002771,3.164084,1.859828,2112200.592768
141.762575,0.000862,0.516303,1.367123,604383.482880
140.266752,0.005208,4.830476,1.321454,1423517.582017
143.282419,0.001842,1.618330,1.432280,716994.786528
146.110451,0.001456,1.305328,1.333724,514660.959648
141.017617,0.001383,3.185735,1.493404,1337796.855361
142.445135,3.135815,0.143304,1.183226,598436.887968
142.283338,0.008727,2.727975,1.309479,737340.369120
141.278556,3.139869,0.827389,1.419447,731244.174336
140.133246,3.136192,3.554269,1.524527,669683.827008
140.073836,3.137529,1.041256,1.417163,823285.495584
140.617571,3.134935,4.388436,1.538188,946630.590048
142.009509,0.003148,0.869437,1.496566,650722.043232
141.617887,0.005050,5.357593,1.330832,775563.136416
142.341889,0.004188,2.071341,1.264435,630226.860768
140.282756,0.012910,4.801780,1.312182,500074.972128
144.012153,3.136570,4.432927,1.643886,1911026.164897
141.542472,0.003394,1.342620,1.223371,403583.054688
140.740927,3.140219,0.960678,1.479534,1347146.847361
142.049726,3.138737,6.281813,1.366636,1241267.537953
141.238077,3.135641,2.896551,1.583125,1049630.101921
140.291088,3.132793,2.831889,1.555043,1577306.250433
143.439881,0.005307,4.292411,1.311475,605168.882208
140.370350,0.001099,0.155344,1.457729,989752.753152
140.235104,3.137061,2.857617,1.299296,420674.840064
143.052936,3.137858,1.121940,1.323652,790597.923552
140.474118,0.004142,0.390377,1.421353,1216284.359329
141.940216,3.138771,5.988379,2.302908,1799910.859969
142.992751,3.140055,1.042216,1.318970,972735.767712
142.585219,3.134678,4.553727,1.230483,607038.880608
140.035846,0.001790,5.879354,1.428001,3034857.803326
141.852897,3.133076,0.058135,1.357830,1290411.095905
140.315885,0.000805,3.148434,1.442453,2778481.022687
142.222028,3.138944,5.019077,1.436045,962413.376544
143.753598,3.138366,0.000049,1.344600,539382.338496
142.474634,0.001552,3.060408,1.269491,389969.466336
141.433864,0.006758,1.627119,1.189964,417682.842624
141.090916,3.137526,0.492409,1.422247,796282.718688
142.307377,0.001549,3.881796,1.384162,1383424.816321
140.036612,0.002655,5.725396,1.298543,472660.795584
142.280603,3.140867,0.875478,1.457728,852981.070176
142.054881,3.132885,3.784380,1.499996,1223203.353409
141.669618,0.003641,3.880795,1.263913,553182.926688
142.023345,0.001878,0.364911,2.376797,2216322.103680
143.007633,3.138413,1.547763,1.617048,1496185.719842
144.772231,3.139382,1.351166,1.362285,571209.711264
142.967121,0.003142,5.599902,2.133243,1226868.550273
140.253673,3.138713,3.234167,1.561556,1297778.889601
141.471740,3.134644,1.367041,1.344059,681801.416640
141.419858,0.003658,2.623362,1.192581,418617.841824
141.155440,3.138637,5.985452,1.529014,2021019.470784
140.331445,0.003992,0.024543,1.203312,429426.432576
140.098899,0.002723,1.255518,1.264508,589797.495360
144.803841,3.140173,5.466339,1.327293,915139.816992
140.405429,0.003211,2.251188,1.292813,1831326.833089
140.041098,0.010107,3.799821,1.277935,855299.868192
140.285418,3.138216,2.503814,1.529642,998130.345984
