# Run exit points.  Columns are r (AU), th (rad), ph (rad), ek (GeV), s (s).
# First line contains initial point of trajectory:
0.000000,0.000000,0.000000,0.000000,0.000000142.086464,0.003362,2.428925,1.193622,223614.408672
144.117212,3.139521,2.013349,1.575980,1176902.193025
141.264213,0.003626,6.143708,1.469658,1146009.819457
145.061428,0.002328,4.815781,1.421968,397711.259712
141.837958,0.005266,1.674399,1.484939,943152.393024
141.266766,3.136560,5.422700,1.557459,865285.659648
143.681539,0.002728,0.348930,1.503258,1029097.519489
142.764283,3.136391,5.797212,1.454006,841162.680288
145.321179,0.001879,5.024763,1.393825,797105.517984
141.225580,3.138844,2.456514,1.397047,665008.831008
143.438756,0.004420,2.090216,1.403738,2287980.442368
140.528155,3.131608,5.063025,1.577816,1111863.648673
140.309972,3.139609,2.722022,1.568621,947116.789632
140.597648,0.005574,1.352009,1.434928,1081868.874337
140.825820,3.139158,4.385685,1.325787,544506.134112
140.948462,3.138679,3.379853,1.449121,799873.115616
140.513122,3.138166,3.821295,1.520318,903957.226560
143.313349,3.140619,4.307716,1.264740,252487.183968
140.428674,0.005069,5.959346,1.253702,370072.683360
141.137185,3.136983,1.622940,1.459180,1389595.811041
144.053875,3.139044,2.241067,1.300685,721968.982272
143.101048,3.138899,5.964962,1.405034,540205.137792
146.117799,3.138319,2.676125,1.663927,2458748.696255
141.510587,0.006379,3.531249,1.399465,610143.077952
141.013420,3.136398,0.645402,1.379776,900479.029536
144.314532,0.001389,3.245924,1.248691,585907.898688
140.137902,3.139430,3.104709,1.330061,525170.350656
143.710159,3.140134,3.818681,1.206805,275974.363872
141.989808,0.004193,1.660297,1.212652,309559.535136
145.637445,0.002444,2.187050,1.335854,1076819.878657
141.113663,3.134870,1.087583,1.676481,2422246.327487
140.981181,3.135698,5.790562,1.329739,384022.871424
140.965769,0.004447,2.490080,1.383402,537474.940128
140.062860,0.006764,1.519799,1.289132,370783.282752
141.861620,3.135464,4.050197,1.226890,629179.661664
141.839532,3.139549,4.953811,1.357520,927145.206720
143.108438,3.136652,5.284090,1.732367,1870222.799809
143.097279,0.004448,0.320813,1.441899,897636.631968
141.837815,3.138106,3.941691,1.193389,355561.495776
141.888123,0.004368,5.543217,1.400753,2007667.682208
141.966607,0.002360,4.296316,1.382574,1178734.791457
147.052577,3.138710,4.975339,1.206514,374037.079968
140.996147,3.140485,1.991243,1.207713,279377.760960
141.929829,0.001134,3.639453,1.320789,627421.863168
143.087864,0.004465,3.998465,1.491671,701137.200096
142.697540,0.003015,4.965175,1.364560,2000973.087936
142.422217,0.004776,6.157888,1.753392,2343407.194944
141.044512,0.000925,0.153998,1.389481,507143.566080
140.525137,3.132934,1.984754,1.517948,644551.048512
140.321210,3.128208,1.577873,1.436362,923218.210080
146.145726,0.002077,3.694271,1.289658,334467.913824
144.157830,0.003563,5.180514,1.456304,528536.347776
143.533935,3.137024,0.536918,1.459595,579175.904448
141.851887,3.138769,4.033772,1.323139,816665.701248
140.090413,3.140174,0.111677,1.559122,1283828.701537
143.044525,3.137926,3.214049,1.704393,4638157.031514
143.974151,0.000223,0.377971,1.687259,983619.158400
140.733672,0.007945,2.092338,1.176876,376355.877984
141.380134,0.004667,0.176551,1.199635,614930.273856
142.402641,3.138566,1.270533,1.243473,890568.038016
140.822908,0.001649,2.987714,1.294449,477597.591360
141.782840,3.136274,3.697350,1.506958,1007555.137920
144.215114,3.141093,4.457642,1.207379,243847.791360
140.231348,0.006173,0.878533,1.336463,846847.475424
142.453188,0.000696,5.274015,1.412011,488555.781984
140.118861,0.005292,2.880902,1.304298,685578.813408
140.308387,3.138320,3.085235,1.337381,702520.998912
143.819981,0.002429,5.470725,1.342766,805819.710528
142.630296,3.138731,4.953085,1.530036,1395841.605697
141.383054,0.003802,0.830215,1.655470,1869437.400481
140.595135,3.138338,0.321597,1.261287,471950.196192
140.136022,3.136185,2.851996,1.337916,815730.702048
140.203275,0.001176,3.839159,1.344377,1073042.481889
141.791548,3.139604,3.065916,1.373523,742127.565024
141.793020,3.138778,1.844198,1.405446,912185.219520
140.752383,3.134921,4.628459,1.387442,904518.226080
141.312793,3.136711,2.091441,1.460153,911811.219840
141.088352,3.140033,1.968588,1.312995,617810.071392
142.369374,3.136511,3.134574,1.454454,673610.823648
140.455102,3.137547,3.918647,1.393589,3185056.074814
143.715162,3.139425,1.298781,1.178348,345575.704320
143.604359,3.138536,4.920476,1.383899,1321153.869601
142.975277,0.001623,0.096680,1.249558,392961.463776
141.609951,0.000547,5.357600,1.264412,574313.908608
140.669169,3.139028,2.260050,1.531238,1405079.397793
142.310109,0.005432,2.305346,1.408829,1022776.924897
141.423739,0.005703,4.086456,1.285387,330428.717280
141.839724,0.004082,0.728138,1.359557,637594.654464
141.001872,0.005145,5.111112,1.334940,1588900.240513
143.328896,3.138989,0.268104,1.611555,924265.409184
142.706121,3.135285,5.764463,1.273852,413531.446176
142.593375,0.003474,3.499191,1.415177,2266662.460608
145.189798,0.001527,6.266035,1.403305,1210823.964001
142.765163,0.006232,3.711859,1.249437,868165.457184
141.150562,3.137476,3.476089,1.416502,1558381.866625
140.400496,3.131920,1.065339,1.741612,2707720.283231
140.670365,0.005903,1.005831,1.442572,767970.942912
145.148206,3.139106,2.286962,1.656438,1813973.247937
147.062118,3.138457,1.809553,1.727459,1952128.729728
143.622323,3.139523,5.075702,1.308417,787755.525984
140.878353,0.002198,1.684803,1.463802,1108796.851297
141.449325,0.003354,1.850467,1.617818,2453325.700895
140.287600,3.137220,2.490481,1.374579,601466.285376
142.629175,3.138956,4.583051,1.295546,789438.524544
141.582128,0.004914,1.573427,1.315702,522066.153312
141.875896,0.005519,3.192212,1.359302,869661.455904
141.611511,0.002024,0.786383,1.400769,1523637.296353
140.573370,0.005215,4.370537,1.213145,312813.332352
142.769027,3.139439,1.574712,1.584269,1843033.023073
141.076742,0.002168,3.211383,1.589605,1319545.670977
142.746125,3.139451,3.403352,1.495848,2391054.754175
143.006210,3.137435,2.737242,1.281914,455980.409856
141.325571,3.135957,3.789952,1.348625,651058.642944
140.921270,0.003599,0.851590,1.667081,1488182.126689
140.373235,0.006527,3.158062,1.247654,401825.256192
142.965223,0.001793,2.293160,1.296675,455756.010048
142.046831,0.004237,1.152660,1.149930,258845.178528
140.389228,3.137299,0.222450,1.284931,671591.225376
142.907019,0.001761,2.777303,1.277175,668561.827968
141.610725,0.001896,3.269392,1.399482,1502020.114849
140.601568,3.138056,5.141116,1.329249,799312.116096
140.119088,3.131823,5.143979,1.384776,1591069.438657
140.435175,3.139611,4.360572,1.641657,2799649.404574
144.650763,0.000893,2.186654,1.340596,851223.271680
