# Run exit points.  Columns are r (AU), th (rad), ph (rad), ek (GeV), s (s).
# First line contains initial point of trajectory:
0.000000,0.000000,0.000000,0.000000,0.000000140.622012,0.007241,5.964186,1.268787,933278.801472
140.492795,3.139672,2.988225,1.193800,578427.905088
140.445404,3.126351,1.631453,1.529646,1349390.845441
141.384698,0.003664,0.745206,1.348709,806492.909952
142.507885,0.003110,4.646187,1.475905,1429239.777121
143.382867,3.136742,4.412090,1.509379,1683335.159713
143.025202,3.136931,3.801022,1.354402,1298190.289249
142.636952,0.002444,2.628849,1.314912,692684.807328
144.708318,3.139506,5.491444,1.476267,641222.451360
145.760998,3.137088,5.274691,1.409974,862518.062016
142.044278,3.139044,4.082635,1.418082,1165121.203105
145.223766,0.001391,3.416790,1.384445,1448986.960225
140.498505,3.132503,2.818718,1.343954,590732.494560
143.858542,0.002810,2.673484,1.304990,826053.093216
141.896853,0.002732,0.932658,1.399698,1635201.400897
140.597155,3.139023,6.085935,1.193733,273655.565856
141.633212,3.139799,4.112383,1.533266,1237714.540993
141.044794,3.135418,5.873309,1.896030,3516644.191101
142.433646,0.002103,5.066489,1.323624,702745.398720
140.411457,0.004899,1.294086,1.452547,1006470.538848
140.162473,3.137566,1.178195,1.409806,579437.704224
142.062374,0.005408,2.975860,1.240805,373289.080608
142.225992,0.003391,2.333343,1.212706,272234.367072
143.601048,0.002103,2.013872,1.516708,684606.414240
143.376831,3.138115,0.180085,1.237341,282257.558496
140.381310,3.138336,2.974365,1.356142,1282220.502913
142.457868,0.001836,1.147069,1.305147,1562869.862785
141.767523,0.003765,5.351848,1.222186,317974.527936
140.906865,0.004535,2.547862,1.290415,337908.710880
143.240481,3.138760,3.357506,1.192753,570798.311616
142.794348,3.141253,4.809388,1.214808,523337.752224
141.632545,0.001723,3.277641,1.550355,1213628.961601
143.864164,3.138881,2.159519,1.148154,201698.027424
140.059781,0.000496,1.529067,1.375225,831176.888832
142.271606,0.002160,1.327066,1.196458,373999.680000
141.361207,0.004311,4.516961,1.175325,303201.540576
140.948327,3.136998,0.196828,1.356963,450183.414816
143.068495,3.136460,3.505293,1.330184,740220.166656
140.460049,0.002487,4.836675,1.431916,1225783.951201
141.836230,3.139859,1.822949,1.305483,978383.162880
142.899433,0.001855,1.386954,1.687712,8202112.182130
140.261540,3.140725,2.102027,1.386719,1869624.400321
145.786213,0.005173,6.066243,1.548713,936607.398624
141.658468,0.003618,2.998948,1.708547,3187187.872990
140.423220,3.139855,3.186312,1.256121,318722.527296
140.476686,0.004871,4.097164,1.352745,573977.308896
141.498611,3.139627,4.242081,1.368043,935111.399904
141.946986,0.005995,2.477578,1.427524,1977635.507904
141.896906,3.135566,5.141066,1.392076,1127309.835457
140.037757,3.137037,4.056516,1.228800,193731.834240
144.041419,3.139516,0.120194,1.259050,585646.098912
140.260475,3.139668,1.275385,1.195077,473034.795264
142.704738,0.000946,2.388327,1.333288,989902.353024
141.173747,3.139759,2.788328,1.215085,390044.266272
140.667173,3.135360,0.065610,1.350061,654162.840288
144.088809,0.001415,4.640723,1.471033,563019.118272
143.210937,3.139914,5.307711,1.303138,947677.789152
141.786855,0.002785,1.458242,1.225235,494577.176832
141.826036,0.004782,3.725848,1.295693,342321.907104
141.205706,0.004155,1.242429,1.651204,1403957.398753
141.193077,0.002353,1.158854,1.354276,671740.825248
140.407473,3.129561,5.951094,1.602182,1350475.444513
140.203195,3.136337,1.398862,1.286337,659137.036032
140.117240,0.005649,1.736479,1.608360,2802940.601758
140.731484,3.138626,6.272576,1.231034,325267.521696
142.297132,0.003277,5.841653,1.416326,706036.595904
144.059446,3.138984,5.244402,1.352399,540018.137952
143.187304,3.136709,6.126393,1.391622,1203979.769857
142.971660,3.139937,4.461169,1.257509,519111.555840
143.975282,0.001529,4.453484,1.333238,597352.288896
141.404118,3.136128,2.774372,1.391004,595931.090112
141.244319,3.138197,2.355283,1.419640,2122335.984096
140.244573,3.135536,2.633783,1.251410,573004.909728
145.804008,3.139233,4.645495,1.297179,583963.100352
143.581668,0.004979,0.757907,1.558458,1562084.463457
140.510938,3.138687,5.129703,1.373832,665943.830208
140.648870,0.005991,5.903623,1.523622,1254656.726497
141.184779,0.007009,3.090382,1.351510,637781.654304
142.762401,3.140967,0.339716,1.447375,810756.506304
142.337981,3.140705,2.736260,1.508218,1051200.900577
142.211432,3.134315,5.237348,1.275502,445658.018688
141.964569,3.136320,2.440994,1.626255,3638231.487069
143.038999,3.137803,3.578461,1.182891,275637.764160
140.214439,3.137936,4.547845,1.629433,4110555.682939
140.908524,0.007021,5.269054,1.306097,665046.230976
140.022490,3.137344,5.904154,1.196398,664111.231776
