# Run exit points.  Columns are r (AU), th (rad), ph (rad), ek (GeV), s (s).
# First line contains initial point of trajectory:
1.0,1.5707963267948966,0,1.67,0.0
183.978422,0.001377,1.411938,2.120776,757723.351680
143.492775,0.004528,1.843899,2.021096,411773.647680
166.248227,0.008799,0.514764,1.815956,197471.831040
147.040776,3.134692,3.199376,1.953398,455157.610560
160.358316,0.003544,5.476357,1.846495,364275.688320
160.926149,0.003707,1.998589,1.864037,342957.706560
150.477180,3.135471,5.660850,2.230236,718079.385600
145.012056,0.005068,2.297239,1.976484,677687.420160
190.582018,0.001059,0.804227,1.849732,225521.807040
204.940422,0.001599,0.789315,1.802835,220659.811200
206.144742,3.137849,5.866174,2.033901,1104047.055360
154.740372,0.005057,4.278299,2.000741,380731.674240
165.580693,3.137716,2.913281,1.868267,210935.819520
151.029668,3.137705,0.653040,1.893432,690029.409600
147.979765,0.003322,0.519727,2.096262,1437280.770240
165.509632,0.000826,2.383451,1.797555,119679.897600
156.659938,0.000995,5.771016,2.011813,1221856.954560
167.734030,3.136189,3.746003,2.058625,798489.316800
206.985742,0.004718,2.068425,2.090642,815319.302400
163.211012,0.006459,3.774902,1.964375,895729.233600
228.920778,3.130541,5.107912,2.149287,1387164.813120
203.001399,0.006395,1.801896,2.109709,924153.209280
141.199403,0.008967,5.863897,2.029545,899095.230720
140.165128,3.137715,4.074590,1.982426,308549.736000
215.908253,0.005090,0.495422,1.968533,525469.550400
208.110940,0.000332,4.470685,1.923789,571845.510720
146.262715,0.004086,1.264453,2.117285,868801.256640
168.610949,0.008449,4.930344,1.871954,289101.752640
184.681657,3.134059,5.633291,1.897175,365023.687680
153.988164,3.139879,0.667076,1.983699,1186700.984640
152.867711,3.139522,1.553373,2.183788,1690478.553600
233.228893,3.130695,5.047441,2.332047,1249906.930560
172.414473,3.134893,5.031635,1.992093,360161.691840
143.756086,3.120563,4.838720,2.061832,332859.715200
141.391061,0.001237,2.909311,2.101299,578951.504640
145.694113,0.001557,3.618222,1.896944,412147.647360
180.385068,3.138790,4.953832,1.951934,434961.627840
142.749275,3.140096,5.640811,2.102360,925275.208320
155.719722,3.134558,5.681528,2.188498,1900666.373760
140.095982,3.102721,5.917199,1.866550,309671.735040
146.605204,0.006785,4.745380,2.284838,1994914.293120
204.330607,0.000331,4.905084,2.145765,658239.436800
156.110897,3.101534,3.976391,2.137428,654125.440320
200.012757,3.138737,6.072643,2.061937,622335.467520
157.671618,3.141038,2.769517,2.114063,1104795.054720
154.001696,3.137416,0.542687,2.123402,1789588.468800
149.286617,0.008428,5.092309,1.872168,316403.729280
159.940868,3.139225,4.496419,1.865073,254693.782080
184.322237,3.136916,1.077972,1.849956,397187.660160
149.646616,0.001969,1.982538,2.013646,747251.360640
146.513248,0.001178,2.699318,1.819510,135013.884480
185.910106,0.000303,0.554760,1.842429,232627.800960
143.263603,0.003991,3.994318,1.805778,97239.916800
144.596600,0.002706,3.522506,1.979857,321265.725120
167.365032,2.858724,3.653629,2.179372,1641110.595840
168.491736,0.000642,4.608204,1.868948,420375.640320
144.049319,3.137533,5.046373,2.106521,655621.439040
192.035476,3.133314,3.273762,1.986938,987359.155200
154.820125,3.136943,5.124594,1.851009,200463.828480
175.696897,3.137468,2.311648,2.025880,953325.184320
150.689165,3.139665,1.401460,1.866673,189991.837440
141.660806,0.008940,3.681698,2.071597,3609096.912000
179.657190,3.139043,2.301355,1.891694,231879.801600
150.675992,3.138780,0.891779,2.138173,1038597.111360
172.664338,0.009094,0.830736,1.854766,346323.703680
208.684376,0.002210,1.075695,1.770017,171291.853440
156.015644,3.134415,4.684436,2.110319,1337048.856000
152.215400,3.137942,0.399133,2.165701,768195.342720
196.391943,3.136309,4.837237,1.964815,643279.449600
212.012100,3.139583,3.009421,1.941351,964171.175040
144.118080,0.011736,0.319931,2.047981,849353.273280
140.013575,3.102324,2.863294,2.016802,986237.156160
146.498067,0.003847,0.930107,1.845444,285361.755840
160.597245,0.010776,1.080113,2.022618,924153.209280
195.130813,0.005300,1.729141,2.067530,1167627.000960
150.926759,3.134503,2.924254,1.845792,257685.779520
154.149694,3.138834,3.771235,2.037619,957813.180480
192.358419,3.132398,5.592287,2.113744,1558830.666240
140.612274,3.116762,4.452186,2.105784,742763.364480
145.670205,3.131156,1.715282,1.749933,147729.873600
148.073923,0.002170,1.506508,2.115562,1280948.904000
156.568638,3.136635,4.910872,2.257276,723315.381120
194.385157,3.135551,2.083687,1.968848,554641.525440
210.139473,0.000655,1.886235,2.221988,1521804.697920
175.409913,0.000892,4.436803,1.947931,833271.287040
208.109154,0.019418,5.267801,2.090305,526217.549760
150.130430,3.139190,1.674683,1.836550,274515.765120
140.010616,0.003508,3.161347,1.934848,434961.627840
143.799729,0.004011,3.011990,1.931829,556511.523840
170.176796,3.141437,0.899723,1.907408,338469.710400
188.220460,3.141443,2.460517,2.035833,533323.543680
190.669315,3.133823,0.329115,1.774254,222529.809600
165.199145,3.135150,3.218187,2.248573,1008303.137280
164.539638,0.003587,3.888663,1.934124,209065.821120
147.665987,3.139054,3.740952,1.832597,203829.825600
156.859533,3.138697,1.860129,2.039645,405789.652800
148.470221,0.001067,4.771319,1.804214,181389.844800
171.343388,0.007330,3.092505,1.823292,226269.806400
156.571941,3.138452,3.808787,2.070008,616351.472640
218.937298,3.140608,5.197027,2.163403,1065151.088640
161.957740,0.007549,3.326237,1.863600,328745.718720
146.463038,3.136070,6.058798,1.857110,271149.768000
148.022923,3.137561,0.651510,2.034787,1224848.952000
193.594881,3.137738,5.813959,1.813931,246839.788800
180.353021,3.139848,0.585268,2.123655,851597.271360
144.717693,0.007852,5.250898,2.079584,508265.565120
162.528169,0.017213,5.253907,2.044524,477597.591360
143.325049,0.011864,4.211776,1.878667,476101.592640
172.217077,0.003848,4.522445,1.828634,267035.771520
143.259225,0.012275,3.649101,1.816991,143241.877440
162.582697,3.136704,5.876595,1.899968,552771.527040
148.483447,3.141068,2.603925,2.092601,1325454.865920
147.259706,3.136562,1.459681,2.210965,1605580.626240
194.643353,0.001140,1.059929,1.839691,271897.767360
145.992172,0.006177,1.628977,1.956703,700127.400960
171.537324,3.141503,5.055405,2.081640,307801.736640
185.971877,3.141048,1.716123,1.883600,176527.848960
179.381461,0.003747,0.155346,2.070120,552397.527360
166.910779,3.135745,3.732068,2.329091,581943.502080
214.354842,0.005746,4.038011,1.828970,156331.866240
183.329750,3.139294,1.945088,2.541265,2266438.060800
189.903304,3.137342,4.118786,1.962926,308175.736320
189.880324,3.135861,2.134619,2.068560,777545.334720
140.293673,0.015824,2.416970,1.813754,368015.685120
210.062214,3.123870,1.630507,2.096515,668711.427840
171.185374,3.128631,4.233929,1.868882,283491.757440
230.363605,3.115443,6.014619,1.781310,223277.808960
142.215586,3.135615,2.047320,1.885944,219163.812480
229.273133,0.011488,4.614208,2.274524,1207644.966720
140.406273,0.011979,4.013241,2.108501,515745.558720
162.760028,0.001603,2.554052,2.393194,1829232.434880
145.111801,3.135021,4.112131,1.851220,226643.806080
150.925496,3.141491,5.682320,1.907953,629815.461120
144.306735,0.006486,2.868781,2.273369,666841.429440
157.426259,0.000210,1.966497,2.054484,574837.508160
178.907889,0.005465,0.598040,1.799461,187373.839680
178.937258,3.138264,2.062320,1.957397,602887.484160
142.676152,3.136056,6.202846,1.796860,240481.794240
173.563784,3.136835,5.222287,2.015890,1365098.832000
199.749506,0.000656,0.424259,1.891980,360909.691200
149.713652,3.136245,5.035879,1.876246,193731.834240
191.520781,3.132983,0.444963,2.175524,611489.476800
146.253787,0.001895,3.419637,2.067481,477223.591680
158.490941,3.113749,2.320190,1.795761,145859.875200
160.361009,0.003922,4.304133,1.855759,385967.669760
142.608238,3.138603,1.441887,1.891839,285361.755840
149.706388,3.140279,5.198489,1.893060,368763.684480
147.781129,0.007437,5.744556,1.778879,140623.879680
207.224386,3.135925,6.203186,1.770940,166429.857600
147.109648,0.007641,5.542155,2.039101,587927.496960
201.731703,3.134881,4.888822,2.067159,2792655.610560
143.241675,3.138658,5.980358,1.892045,381105.673920
198.294849,3.136710,4.895433,1.814303,152965.869120
202.980897,0.007244,0.014535,2.167745,2334132.002880
186.046707,0.005901,2.850777,2.280615,540429.537600
154.114308,0.008973,3.860722,2.215492,857207.266560
163.833816,0.001834,0.788204,2.087884,1583140.645440
211.304013,3.125895,0.707771,1.780058,116313.900480
220.414418,3.122473,2.173814,1.756766,160445.862720
144.019892,0.010049,2.230241,1.748386,105467.909760
140.178759,0.004455,3.344103,2.219363,1214002.961280
149.187372,3.132317,5.679054,1.857030,463385.603520
158.327102,0.005409,2.589638,2.060754,712843.390080
218.186321,3.131933,5.295333,2.136304,1722268.526400
183.048027,3.135022,2.454038,1.843832,297329.745600
140.545242,0.014804,3.954288,2.104543,1167253.001280
160.124892,0.006998,0.102453,1.841872,307053.737280
178.513145,3.133566,1.528949,1.965584,341461.707840
145.674023,3.141078,5.811518,2.127487,921535.211520
160.075765,0.026353,0.773111,1.892863,211683.818880
156.362069,3.137951,2.158774,1.853652,302565.741120
143.287105,0.005432,0.673201,1.894015,479093.590080
152.818841,0.008323,5.016307,1.984982,383349.672000
201.556158,3.136058,4.719831,2.314725,1088339.068800
150.288095,3.140437,3.241493,1.868170,308175.736320
188.921783,3.140918,2.717029,2.036978,838881.282240
161.202084,3.138325,5.231221,1.924909,340713.708480
150.037270,0.005120,0.766495,1.830251,118931.898240
221.086502,3.130278,4.045778,2.092247,608497.479360
211.380610,0.011975,1.471190,1.949865,488069.582400
140.526779,0.003258,4.810485,1.909407,529957.546560
165.104706,0.003664,1.096892,1.856491,200837.828160
167.193300,0.008123,0.681770,1.901215,325753.721280
141.733823,0.002650,5.166424,1.935354,641035.451520
151.395604,3.141113,5.477806,1.907834,764829.345600
202.189642,0.005089,1.874026,1.980182,647019.446400
146.109180,3.138524,0.539631,1.946022,428977.632960
145.167957,3.136431,1.225878,1.943346,500785.571520
156.382870,3.139756,5.253063,1.966838,544917.533760
186.800661,3.129630,4.485165,1.901477,496671.575040
140.624186,3.094343,2.381833,2.176479,786521.327040
152.145822,0.007639,4.265033,1.990273,774927.336960
173.831502,0.007742,2.740792,1.931332,432717.629760
187.161336,3.136650,5.763442,1.961272,417757.642560
184.876573,0.006321,0.115115,2.312178,3079887.364800
144.591765,0.000782,1.164390,1.874610,132769.886400
145.467107,0.001935,2.153333,1.891584,365023.687680
176.529786,3.138973,5.244063,1.785007,249457.786560
140.394060,0.001976,0.815683,1.803549,142867.877760
148.308554,3.139767,6.138199,1.889720,262921.775040
228.846733,0.006545,0.315654,2.327416,917421.215040
168.485074,0.002125,1.850851,1.887653,453287.612160
157.099292,0.005343,4.048949,2.036212,417009.643200
163.816379,3.139344,3.427058,1.936254,684045.414720
184.692986,3.137535,0.417081,2.067383,750617.357760
143.275987,3.128276,2.653609,1.898517,435709.627200
153.947491,3.134821,6.256593,1.885593,385593.670080
168.712113,0.005757,4.798539,1.996262,670955.425920
