# Initial point: r = 1.0 AU, th = 1.5707963268 rad, ph = 0.0 rad, ek = 0.0774, s = 0.0 s
1.0,1.5707963267948966,0.0,0.0774,0.0
156.996797,0.003416,0.818298,0.821537,12810985.038724
142.882804,0.010803,2.401963,0.612524,8965520.328962
150.954982,3.136523,2.827180,0.771695,22278038.938542
142.315055,3.128943,3.025689,0.441808,11585388.087366
141.089032,0.000828,3.374449,0.654298,41094710.838780
142.462328,3.133398,1.979512,0.423663,14249761.807681
140.093000,1.866256,2.516892,0.210505,16104800.220476
140.068793,0.022028,1.092524,0.275685,13582546.378562
142.242695,0.011700,3.670940,0.332816,21821385.329263
143.878723,3.136267,0.767572,0.294631,11647846.033926
140.579449,3.132891,3.025046,0.629927,43385832.878471
145.236252,3.137168,3.679139,0.334247,9818239.599363
144.448853,3.133371,1.165978,0.498393,24495109.041581
140.114368,0.392125,3.427360,0.489630,48282236.689054
163.359387,0.000652,0.623450,1.323313,54846679.072446
140.019146,0.012427,1.579561,0.446458,18958043.779190
148.527699,0.003173,1.959412,0.498092,7683823.425601
152.950706,0.003251,2.422403,0.603303,31207281.298573
140.096359,0.562752,4.412852,0.232704,26025141.732468
141.477953,0.002079,0.226296,0.511832,9191416.135683
158.834503,3.140815,1.219222,1.172995,12188275.571526
142.114896,0.004195,3.646558,0.455492,12153119.601606
143.363635,0.004920,1.253138,0.738016,46964635.816408
140.998858,0.001101,2.159405,0.193208,10382231.116804
144.976237,0.004050,1.971129,0.602819,12251107.517765
141.788826,3.120302,3.402267,0.493128,20171298.741107
140.423097,3.134306,0.272383,0.702783,16276466.073596
140.101431,3.136876,2.946647,0.593877,25120810.506224
143.277236,3.134358,1.029005,0.726939,9707535.694083
141.979857,3.134270,1.638142,0.704339,13601994.361922
145.700485,3.139704,3.344250,0.426374,19574395.251828
153.094517,0.002537,1.276710,0.435323,17260085.231994
140.227910,0.655378,0.521571,0.183783,12260831.509445
146.175160,0.010640,2.939737,0.858452,15114075.068159
147.382744,3.138856,0.342694,0.399036,13122526.772163
140.032646,2.488723,3.132131,0.297447,23912791.539818
