# Initial point: r = 1.0 AU, th = 1.5707963268 rad, ph = 0.0 rad, ek = 0.0199, s = 0.0 s
1.0,1.5707963267948966,0.0,0.0199,0.0
140.022470,0.889990,0.711284,0.088891,35320155.779552
147.848257,3.140283,2.375304,0.433577,23799095.637098
144.109658,3.139827,3.434479,0.614926,43465120.810631
160.122250,3.139493,1.374424,0.740469,22972182.344620
150.133823,0.003043,3.024856,0.323148,28733647.415041
144.358731,0.004163,3.316974,0.463531,50329136.937704
157.039100,3.137699,1.864102,1.184459,24817122.766062
146.016972,0.009287,2.351972,0.359553,24211991.283819
140.308981,3.132719,2.097672,0.458099,54090077.719802
151.197469,3.139261,0.036911,0.647985,46592880.134486
140.160122,1.763682,3.472292,0.149707,61231601.609436
143.748972,0.004678,5.991004,0.620466,54690347.206205
141.391205,3.133240,3.526552,0.525133,52174451.358833
140.413027,2.944840,4.611383,0.062239,26189701.591669
140.996989,3.120153,5.864414,0.255874,26642989.203831
140.928093,0.017640,3.174130,0.531619,61521077.361758
141.675075,3.135273,4.621145,0.400639,36539768.736038
142.982872,0.004311,4.745842,0.343911,18272502.365751
140.879558,3.132640,4.722161,0.641152,22246248.965742
140.811211,3.110510,2.754848,0.285737,33902322.992666
140.815548,3.129573,2.721581,0.409957,20792886.209265
141.111115,0.010263,2.332432,0.493667,22714870.564781
140.390690,1.388624,3.278237,0.139631,39383288.303092
159.570803,0.004033,4.465149,0.894556,46851687.913048
150.155226,0.002325,4.030897,0.432155,45316793.226320
142.661854,0.003428,3.084615,0.630884,31889830.714576
142.048554,3.133476,3.150530,0.541614,12766479.076804
144.552321,0.005067,2.034857,0.564321,20961186.065265
140.116368,1.102605,4.939833,0.271630,28202193.869759
140.096651,0.629847,0.858601,0.065118,33044741.726422
143.521997,3.132965,3.816377,0.406677,36261138.974437
143.632792,0.008943,2.439502,0.644501,78062709.208557
140.132608,0.394074,1.542852,0.109897,24244903.255660
141.190424,0.007549,1.030637,0.293046,23169654.175660
140.765175,3.117896,0.743531,0.113391,30032174.304007
144.491317,3.131641,1.606392,0.165436,6941434.060800
140.246742,0.949694,0.639349,0.063615,20219544.699827
150.039375,3.140561,5.490015,0.490160,34780100.241630
141.392606,0.004407,3.369952,0.990389,35574849.561634
145.060949,3.136288,5.302936,0.751018,60387484.331672
143.926967,3.139299,5.961513,0.847151,38380221.161327
140.147625,0.007674,3.013387,0.357648,30228150.136328
141.209400,0.010435,2.966844,0.647050,31178109.323533
140.779731,3.134723,4.240050,0.638774,36135849.081636
141.727906,0.006890,1.111124,0.556227,37579861.846123
140.069594,0.620564,1.133535,0.094421,28941965.236802
158.217738,0.004280,2.665465,0.883318,30368026.016649
142.393087,3.134665,1.291005,0.390351,39508204.196212
144.735363,3.136923,1.406796,0.393875,31632892.934415
140.011718,0.007242,2.062347,0.349511,33959170.944026
140.342996,0.037279,2.632895,0.077946,13989084.030721
141.659400,3.134823,1.497277,0.432964,39964857.805495
141.383772,3.137828,3.544198,0.353915,14450973.635520
140.431667,0.003699,5.395873,0.403688,42753025.419908
140.623357,0.019154,4.658385,0.546463,29069873.127363
145.207657,0.001393,1.723330,0.511068,37927681.548525
141.895140,3.131589,5.452179,0.515273,18834997.884470
143.612666,3.135533,5.512224,0.552142,33041375.729302
157.441631,0.002153,2.950488,0.585538,51972117.531952
141.023759,0.016220,1.816207,0.322685,38244459.277486
144.331093,3.134615,4.476811,0.457675,24632366.924141
153.717658,0.000701,4.662427,0.584814,57837928.513100
140.540732,1.024868,1.673150,0.155025,33778155.098905
149.862033,0.003616,5.129546,0.540932,38511121.049328
146.205942,3.137643,5.980357,0.396918,25322022.334065
142.150888,3.137781,2.218046,1.161223,75418905.470624
140.086893,0.010256,1.833463,0.581576,60406558.315352
140.255991,3.127957,4.013964,0.652724,18769547.940470
140.978498,0.004210,3.049969,0.481537,24043691.427819
142.507661,3.136953,5.258188,1.098920,72386890.064849
140.021224,1.448479,1.012551,0.186974,36972860.365480
145.659870,0.004080,5.401361,0.578309,26349025.455350
140.823957,2.284851,3.136569,0.069432,17998360.600312
140.231056,1.344007,2.378074,0.277255,61439919.431197
140.230154,0.014729,5.368957,0.266039,21116395.932465
140.444409,0.015059,3.819482,0.657420,82433269.469057
140.024554,2.165490,2.669526,0.200893,36768656.540199
144.030351,0.011083,4.852497,0.294731,23018558.304940
160.777685,3.136132,1.831388,0.632726,38848842.760369
145.059536,3.138374,4.185991,0.741610,42106005.973505
141.124241,0.004089,2.686149,0.334494,62951252.138084
141.759152,0.007294,0.668916,0.477783,16904411.536315
164.970381,0.197093,2.735854,0.747299,16211390.129276
