# Initial point: r = 1.0 AU, th = 1.5707963268 rad, ph = 0.0 rad, ek = 3.59, s = 0.0 s
193.142446,0.001536,3.207923,3.933354,270775.768320
245.969777,3.138702,3.178586,3.741775,91255.921920
160.314519,0.066198,4.563019,4.093177,292093.750080
189.692683,0.000520,0.232013,4.212801,982123.159680
156.286956,0.002432,4.216461,4.132196,1537886.684160
262.743481,3.130841,5.299220,4.157084,787643.326080
201.816667,0.004202,4.845283,3.941301,256937.780160
215.209398,3.126294,0.668369,3.793116,284987.756160
149.319948,3.138920,0.650836,3.787575,110329.905600
148.720299,0.032656,4.172172,3.832230,196723.831680
204.877258,0.003405,2.773008,4.053650,693395.406720
171.534861,0.001750,5.146931,3.898448,142493.878080
183.844438,0.014482,2.086488,4.156789,744633.362880
142.596114,0.002130,5.512589,3.993114,375495.678720
150.477247,0.000401,2.469722,4.134295,865809.259200
277.641866,0.007046,1.032917,4.145141,776423.335680
140.503494,0.010149,5.798580,3.705234,76669.934400
186.826775,3.139597,1.605762,3.727954,162315.861120
167.864901,3.135632,2.439829,3.984985,717705.385920
216.865798,3.140346,3.870901,3.827196,255441.781440
174.436420,3.141285,0.905924,3.770026,143241.877440
146.818887,3.139856,6.053517,4.247355,700127.400960
298.813586,2.942801,2.348009,3.801111,84897.927360
219.328431,0.010303,1.256409,3.754836,172039.852800
179.088355,0.007636,1.946649,3.930744,250953.785280
233.448638,3.138922,3.145530,4.068233,338469.710400
181.424910,3.132832,4.460775,4.054420,351185.699520
140.614649,3.141519,3.401797,3.766244,94621.919040
156.749482,3.141001,5.863595,3.880876,269279.769600
168.289243,3.132529,0.557943,3.769708,225895.806720
172.376422,3.135123,4.338258,4.019257,409529.649600
259.165694,3.141053,1.581163,3.851636,408407.650560
162.669910,0.003906,3.939551,3.793053,127159.891200
265.664721,0.008341,2.083108,3.926235,143989.876800
155.482932,3.114419,3.021104,3.838083,120427.896960
148.585604,0.008794,6.080350,4.516619,1896178.377600
143.358186,0.006624,0.053856,3.675547,70685.939520
222.347673,3.132619,0.695148,3.821681,207195.822720
262.219616,0.006940,4.004083,3.911245,172787.852160
184.448087,0.007941,2.922335,3.827535,198967.829760
150.553218,0.007358,2.607247,3.873490,254319.782400
264.859020,0.069140,4.651972,3.894687,667215.429120
183.279470,0.002761,0.843220,3.922457,517241.557440
145.131157,0.003648,2.902725,3.903977,115565.901120
153.703527,0.008195,4.296288,4.449375,477597.591360
142.027549,3.138318,0.118864,4.189350,739397.367360
210.830517,3.138616,1.688540,4.043709,289475.752320
241.861390,3.137733,3.546483,3.823066,89011.923840
190.281726,0.005625,1.821844,3.682399,44131.962240
145.702211,0.003849,1.954106,3.772848,116313.900480
253.210294,0.009957,5.791650,3.829215,306679.737600
177.080774,3.139145,1.296462,3.718082,88263.924480
263.285805,0.001304,1.308022,4.042675,290971.751040
201.178437,3.136375,3.551046,3.855080,208317.821760
155.187686,3.133571,2.432789,3.949748,268157.770560
144.195380,3.133255,0.879951,3.755079,117809.899200
140.603510,0.000147,1.949585,3.833473,180641.845440
147.420048,3.136200,0.322940,3.831066,167925.856320
179.773040,0.005566,4.505786,3.980083,399805.657920
169.289918,0.002681,1.127298,3.684867,98361.915840
150.650825,0.006147,5.735740,3.931828,214301.816640
147.914383,3.140703,1.858310,3.843216,224025.808320
176.678643,0.064239,0.580950,3.861323,330989.716800
171.336881,3.141434,1.179747,3.869478,536315.541120
146.033884,0.001977,4.501533,4.012938,348941.701440
153.410971,0.967096,0.856007,3.932276,692647.407360
161.830601,0.008093,1.790306,3.857936,291719.750400
271.058299,0.023528,1.889170,4.081360,255441.781440
254.804145,3.134252,4.247036,3.855619,339591.709440
260.113005,0.007346,4.836569,3.981812,348567.701760
193.830615,0.004370,4.295319,3.733187,150347.871360
164.126034,3.141446,2.991950,3.885193,315655.729920
202.874451,0.008435,1.249380,3.702751,64701.944640
256.713594,3.095979,3.820896,4.017809,198593.830080
258.785484,0.009677,2.237782,3.901445,346697.703360
146.263610,3.138133,4.405311,3.812214,171665.853120
233.334406,0.007597,3.770980,3.910405,774179.337600
140.546916,3.060858,3.104307,3.908207,847857.274560
157.530676,0.064471,2.859282,3.852929,292093.750080
163.848778,3.137635,4.786397,3.840919,166803.857280
145.391726,0.012273,2.500069,3.831732,140997.879360
165.175455,3.139972,0.943073,4.376085,1536390.685440
232.032878,3.068068,3.772072,4.238942,1405864.797120
157.533324,3.122063,5.780277,3.957836,310419.734400
219.017345,0.005151,6.139797,3.819020,206447.823360
