# Initial point: r = 1.0 AU, th = 1.5707963268 rad, ph = 0.0 rad, ek = 1.29, s = 0.0 s
183.940808,3.135285,3.618645,1.497303,267783.770880
161.064473,3.137484,1.336911,1.483850,341461.707840
175.645235,3.136867,4.802211,1.531058,549405.529920
145.402955,0.005741,5.246220,1.592235,620091.469440
142.359100,0.003907,0.704743,1.591000,713217.389760
141.773086,3.140704,0.165459,1.548154,439449.624000
146.757948,3.135916,4.716735,1.689456,929389.204800
167.262433,0.000523,2.039517,1.687224,1202034.971520
145.355790,0.002146,2.480509,1.694582,529957.546560
140.230368,0.002212,2.348871,1.588167,658987.436160
160.151634,0.002829,6.119473,1.568144,307053.737280
196.749858,3.140616,2.358487,1.916853,1144065.021120
146.701637,0.002491,0.755828,1.608553,634677.456960
147.842847,3.136220,4.383091,1.898949,1439150.768640
156.411878,0.007978,3.239127,1.477291,265539.772800
159.539817,3.137296,4.510542,1.549687,547535.531520
152.006421,0.000887,1.579738,1.391235,181389.844800
153.066028,3.136007,3.975708,1.528719,407285.651520
146.320316,3.134941,3.712609,1.437060,218041.813440
184.147743,3.133453,4.312716,1.775284,1930586.348160
151.786805,3.136336,1.213438,1.727609,535567.541760
152.082476,0.011641,5.016489,1.462181,316403.729280
155.298444,3.140774,4.240425,1.574395,502655.569920
187.250181,0.004765,5.598125,1.520016,1328820.863040
141.455286,3.137117,1.943175,1.559327,538933.538880
162.878710,0.004891,0.254979,1.648651,771187.340160
164.443549,3.140683,5.917708,1.460586,327997.719360
142.123565,3.141238,5.036666,1.630862,471239.596800
145.001441,0.004048,2.258860,2.141985,1108161.051840
147.664083,3.141547,1.876009,1.887746,1725260.523840
150.841887,3.137681,3.540864,1.753364,975391.165440
147.778588,0.003600,0.425809,1.582288,801855.313920
184.647373,0.002374,3.489060,1.714606,833645.286720
151.146194,3.139507,6.013215,1.677613,1136585.027520
143.509876,0.005936,3.528448,1.569028,663475.432320
176.026159,0.005933,2.090990,1.621420,442067.621760
145.131120,0.008942,2.333426,1.609106,480589.588800
142.440662,0.000305,3.264076,1.415104,224773.807680
155.175456,0.004967,0.070442,1.901612,1850550.416640
176.929265,3.137682,2.730769,1.479426,529957.546560
148.055077,0.000970,4.842754,1.678244,3347671.135680
159.384910,0.002552,4.191526,1.413040,319395.726720
165.243375,3.139685,0.695385,1.422594,382601.672640
157.120009,0.001311,4.085232,1.427634,260677.776960
157.947349,0.002103,2.777452,1.730209,2009874.280320
140.935971,0.018117,4.682463,1.563347,1372952.825280
140.968253,3.128935,3.452732,1.482498,718827.384960
