# Initial point: r = 1.0 AU, th = 1.5707963268 rad, ph = 0.0 rad, ek = 0.0144, s = 0.0 s
140.199792,3.123898,1.288705,0.387469,19742695.107828
140.947184,0.000528,2.828183,0.213867,38346187.190447
146.057730,0.006465,6.263879,0.505965,20460400.493746
142.176702,0.001058,3.282573,0.432394,25269288.379185
140.397112,1.602101,2.082354,0.128052,68746751.179392
140.090126,0.939171,2.765090,0.410073,51575677.871150
142.529601,3.137270,1.717583,0.429699,28232487.843839
140.861376,0.009858,3.075749,0.604114,52822966.803956
143.146126,0.009594,5.335436,0.603472,52501327.079155
140.167162,2.842922,1.387496,0.036916,12723469.113604
140.793466,0.020883,3.273731,0.404300,72131448.283408
140.074275,0.041392,5.369779,0.039414,14985793.177919
140.161462,2.264511,5.409048,0.125483,36847944.472360
140.384834,3.134058,1.495375,0.353235,53279994.412918
140.328445,1.996873,3.296411,0.181473,46571188.153046
141.942885,0.014548,3.146409,0.497803,50481354.807465
141.545388,3.129913,5.216468,0.510007,83076548.918661
146.431331,3.133964,5.192535,0.263482,56828877.376455
146.955595,3.135817,0.340597,0.634969,31602224.960655
140.083697,0.004055,5.353336,1.512817,38610604.964208
140.080879,2.612742,6.170202,0.516698,58348438.076302
140.437334,3.077479,5.243380,0.178393,31357255.170254
141.103701,3.137912,1.881002,0.538279,44927833.559118
140.883870,3.135831,0.559009,0.578141,31008687.468492
153.517804,3.132703,1.032536,0.495886,27800144.213757
147.981857,0.000873,3.030283,0.610064,19231063.545589
140.169759,0.814829,2.471128,0.274087,75889771.067746
155.891677,0.003506,5.214120,0.644527,18516724.156791
143.346261,0.002287,2.149550,0.912472,70130175.995719
140.100495,1.384982,3.587545,0.438767,75440971.451744
154.466486,3.133520,6.146427,1.155598,40415153.420217
141.890736,0.010125,1.656543,0.406106,46093590.561684
140.214237,2.379844,5.611047,0.793354,49544485.609060
148.667777,0.003739,2.828618,0.405061,52807632.817076
159.016060,3.140007,4.245479,0.888800,82390633.505537
140.441350,0.498264,1.372630,0.190782,33810319.071385
141.168081,3.134318,3.544335,0.164238,18482316.186231
140.029674,2.110048,1.767683,0.082965,30840387.612491
146.479963,3.131725,4.011638,0.726104,80878926.798970
143.189184,0.001471,5.432852,0.630915,61947436.996960
140.843169,0.030448,4.351524,0.169517,44376558.030796
145.159647,0.008034,4.039846,0.434517,46433182.271126
140.760954,3.127178,3.628442,0.534850,35362043.743713
140.035423,2.112022,6.059452,0.196818,49396755.735460
172.357172,0.000561,4.357308,1.806022,24924460.674223
140.027242,1.192828,4.596752,0.070359,34188806.747547
143.586707,0.004422,3.567100,0.453127,36154175.065956
145.754398,3.138169,2.703003,0.688052,37236156.140202
143.778159,0.005892,5.536315,0.873909,33493915.342104
140.298145,0.213854,4.357287,0.162771,34654436.349149
140.590035,3.133676,0.690190,0.336611,21910397.253103
140.051109,0.100688,2.065631,0.183053,22726464.554861
143.569150,3.139371,5.370690,0.359430,55805240.252290
166.737712,0.001147,1.088844,0.973318,30194490.165128
141.310477,0.002413,0.133620,0.472199,51836729.647791
143.109292,3.137783,2.590881,0.432640,25200846.437744
140.045163,0.549780,0.957081,0.224793,65427878.019056
140.022859,0.478670,3.573548,0.035183,13855192.145282
140.300453,3.022819,4.813830,0.267017,52071601.446832
140.216953,0.028260,0.120988,0.250735,36306766.935397
164.928284,0.000688,5.798144,0.866774,52707026.903156
140.047680,0.001201,4.902565,0.302333,34946530.099231
153.619022,3.138823,0.328855,0.682452,40912572.994619
140.914847,0.003712,5.964481,0.496272,22065607.120302
140.255250,0.659179,1.567489,0.115486,34919228.122591
140.170335,0.971850,4.190355,0.707786,43119919.105990
150.709377,3.138870,3.078413,0.509170,34700438.309790
140.220796,1.046669,4.705065,0.077712,25191122.446064
143.534724,0.010343,2.924218,0.344255,66470589.126901
140.016767,1.401517,2.855539,0.068514,30490697.911689
145.164464,3.140857,5.445581,1.005604,34568042.423069
140.065550,2.523870,2.697250,0.097444,20639172.340786
173.706295,0.005097,2.707607,1.215312,75895007.063266
151.221507,0.002256,3.743657,0.402815,48576200.437536
142.729871,0.019011,6.083349,0.281786,27238770.694074
140.000848,2.251294,3.034367,0.093680,31563702.993615
149.193996,0.005278,3.248535,0.790807,33359275.457303
142.767451,3.139400,5.215864,0.507230,42337885.775106
140.950190,3.139593,3.883242,0.607276,24459953.071661
140.133479,2.431885,1.040755,0.193004,38799100.802929
140.060645,1.352361,4.269081,0.124705,59307747.255507
140.293328,1.562028,3.729183,0.174241,22900000.406381
147.924826,3.129979,3.467534,1.558307,39733726.003254
140.207394,1.700741,1.217365,0.132227,30475363.924809
142.408973,3.135093,2.201841,0.475810,64832096.528813
140.484067,3.084848,5.466582,0.299434,58254190.156942
143.282938,0.013326,0.520961,0.700308,26259265.532149
142.796119,3.139129,2.560585,0.473787,45742030.862482
140.557980,0.003255,2.515250,0.531463,45264433.271120
143.498716,0.001735,6.147211,0.306260,13976742.041281
140.021344,3.134963,3.042519,0.302409,15510514.728958
141.559128,3.133546,2.684355,0.632483,22952360.361580
163.458401,0.014813,3.198110,0.692948,67654298.114107
155.412611,0.004527,1.612181,0.620747,25715469.997427
140.489103,3.135966,1.926971,0.914357,29029107.162242
141.870812,0.001513,1.103417,0.574370,37371918.024042
143.893149,3.139841,4.797247,0.399787,64418452.882731
140.150745,0.405204,3.600059,0.075238,28115799.943678
140.080599,0.725949,2.220754,0.374088,45931648.700243
148.904910,0.005042,1.852664,0.913958,81910043.916735
140.122161,2.823146,3.191655,0.226079,24666026.895342
147.323496,0.003237,4.856552,0.451147,34077728.842587
143.496792,3.137190,5.062395,1.227804,45737542.866322
140.188881,0.821337,2.908405,0.327919,50693786.625706
140.843625,0.002430,1.571039,0.786533,48681294.347616
144.518247,3.134207,5.849163,0.433341,15426738.800638
148.556160,3.136306,2.849090,0.467983,41584276.419902
140.029410,0.492781,5.795082,0.295067,37147144.216361
140.169502,2.578745,4.750495,0.073085,22115349.077742
140.139464,3.141183,4.822877,0.702160,36380444.872358
141.896078,0.019774,1.968783,0.370357,71518836.807565
146.440448,3.138916,2.974848,0.563881,18694000.005110
144.021703,3.134070,1.304891,0.629397,78557510.785199
157.237938,0.007331,2.401789,0.845852,84875861.379149
153.009169,3.136211,0.629737,0.614784,12718981.117444
145.891926,0.004915,5.566036,0.769750,86681905.833878
140.012044,1.136935,6.051369,0.088378,40482099.362937
140.727622,3.130844,1.548142,0.498973,43531692.753672
146.554202,3.138802,0.787278,0.847493,51576425.870510
140.129174,1.123133,4.791635,0.361584,60427876.297112
140.027637,1.051255,1.519331,0.045269,23484561.906219
141.042222,0.020408,6.054874,0.277675,68823421.113792
140.178383,0.007662,4.155154,0.361447,57891410.467340
140.053115,0.099826,2.924990,0.231403,58541047.911503
140.151260,0.660245,1.068422,0.047042,24285669.220780
141.161267,3.141519,2.628414,0.955582,29903518.414087
140.094497,0.282660,1.399521,0.187400,34519422.464669
140.229272,0.146219,0.454537,0.259848,34292404.658908
144.025761,0.005126,2.642976,0.770246,28215283.858559
143.225870,0.003556,0.990951,0.595129,38508877.051248
140.134475,2.121043,3.232791,0.156471,51372596.044909
140.043126,2.395341,2.571553,0.442422,39002182.629170
140.135727,2.694006,3.018212,0.052793,14020874.003521
163.759550,3.134289,3.042961,1.191038,27140782.777913
140.136287,2.254768,4.180731,0.081998,39927831.837174
167.290433,3.138269,4.951646,1.033631,26433175.383350
142.082999,0.008118,3.934846,0.343449,26113031.657269
145.685086,0.009085,2.203668,0.468428,17350593.154553
140.174071,1.634437,0.989513,0.033773,11903287.815366
146.044848,0.002129,2.977813,0.530839,59167871.375186
145.173336,3.135423,1.393472,0.739216,31443275.096654
145.058964,0.005900,1.115408,0.629172,31902546.703696
140.306035,0.718045,4.722050,0.154363,28229495.846399
140.180036,0.588741,4.996887,0.222548,28935607.242242
146.725761,3.139118,3.560349,0.475432,17102257.367034
140.842223,0.015909,0.689170,0.348621,24778600.799022
140.031922,1.171740,2.302974,0.111604,50104737.129703
141.077243,0.001923,1.326301,0.277268,33298313.509463
183.598808,0.003182,3.109576,1.807280,38897462.718770
141.539306,3.128812,3.547448,0.470200,36483294.784358
146.245448,3.134836,0.282413,0.792478,40054617.728695
140.177613,2.712682,0.608457,0.145308,41492646.498302
140.158395,0.016513,2.252979,0.337793,59913626.737110
140.042625,2.906105,0.902011,1.005040,47065989.729689
140.258424,0.582703,2.788183,0.264812,35642917.503394
