# Initial point: r = 1.0 AU, th = 1.5707963268 rad, ph = 0.0 rad, ek = 0.0225, s = 0.0 s
160.023533,0.008170,3.928102,0.781405,27747410.258876
146.987714,3.139617,0.287657,0.736305,33066059.708182
140.089920,1.784917,5.902097,0.221401,24843676.743342
153.266551,3.140940,5.777864,0.490660,64158149.105450
140.255912,2.770146,4.735683,0.078790,27640072.350716
140.132336,2.385286,4.017329,0.432782,28150207.914238
156.143412,0.000782,4.663204,0.887892,49949527.262502
140.186740,0.007585,0.277416,0.498132,38181253.331566
153.316915,3.141083,4.004111,0.663226,57575006.738059
152.311017,0.008461,1.219998,0.682679,21909275.254063
149.803576,0.000078,6.016569,0.975477,29204513.012163
140.320226,0.582497,3.332121,0.291509,23747857.680939
140.075601,0.343170,1.733798,0.246257,25939869.805428
142.914634,3.133849,3.882194,0.434927,51786239.690991
143.161193,3.134392,1.923074,0.852796,33973008.932186
153.068098,3.138204,4.576404,0.702929,49837327.358502
155.014700,3.134577,6.144362,0.621581,17187529.294074
140.988201,0.005284,2.557877,0.427445,28263155.817599
140.030150,1.362378,4.436605,0.456234,53745624.014520
149.643031,3.133451,3.156084,0.618918,46842337.921048
140.239226,3.115087,4.136296,0.172087,37693931.748524
146.285204,0.045620,3.722517,0.364398,31779874.808656
148.648173,3.140519,0.930030,0.669350,34435272.536668
144.947542,0.003435,5.368535,0.277541,23203314.146860
141.568909,3.141234,5.560696,0.844317,66421221.169141
145.827300,3.140461,2.115642,0.679936,44582257.854797
140.056103,3.137457,5.752579,0.556897,26926480.961272
140.316331,0.014042,0.100302,0.536923,24366079.151980
150.272213,3.138587,0.045991,0.913659,24026861.442219
163.608488,0.002512,4.378757,1.115081,26981084.914553
140.644576,3.129215,0.236887,0.630674,28175265.892798
143.605230,3.132706,2.472168,0.490923,26039353.720308
159.339612,3.120548,1.872166,0.784424,35061722.000671
150.092893,0.003282,4.562301,0.697090,56343051.792133
152.782591,0.007103,3.088150,0.722729,43591906.702152
149.199175,0.006419,4.634139,0.655563,19821983.039988
143.489392,0.006759,4.511935,0.523504,17864842.714552
148.386653,3.137670,2.354062,0.727402,31016541.461772
144.790953,0.007641,2.953563,0.684741,45468637.096401
140.051890,2.653664,1.907012,0.252376,38388449.154287
140.006330,0.400962,5.054220,0.292731,47896643.018973
140.277837,1.331805,1.247148,0.049291,14032467.993601
146.410690,3.135322,4.454919,0.233816,38480079.075888
150.293389,0.004381,3.925675,0.718256,50087159.144743
141.731099,3.126989,0.644611,0.583746,21941439.226543
140.849437,0.012117,1.967861,0.798427,41775764.256063
141.436651,0.005060,3.300185,0.231291,42391741.729026
140.005764,0.759473,2.920307,0.248149,35299585.797152
149.404304,3.135449,3.187407,0.491616,26373335.434550
142.762375,0.005459,2.994330,0.523488,19307733.479989
140.491986,1.659326,0.308028,0.281858,47917587.001053
140.033898,0.006097,3.267814,0.431655,21385301.702384
152.719699,3.138962,3.507274,0.661330,75789539.153506
143.519061,3.136255,5.396710,0.504166,33065311.708822
140.219489,3.000400,4.071933,0.049917,17189399.292474
140.491552,3.044217,0.494651,0.100609,15707986.559997
150.939634,3.137759,1.578921,0.965624,28888483.282562
149.309366,3.136954,5.730229,0.588260,22403702.831022
143.548155,0.010588,4.030877,0.487849,30114454.233608
142.106063,3.134001,0.364139,1.049879,40586445.273658
140.443224,0.308703,3.936143,0.170899,37842783.621165
152.312523,0.005331,4.222676,0.732925,55754002.296130
140.194135,0.008354,5.602732,0.902588,82642335.290178
142.112335,0.001473,2.153117,0.365478,41938828.116544
140.341448,0.563467,2.033547,0.369588,47459437.393050
145.613639,0.003460,5.151547,0.455329,26101063.667508
140.338525,1.608097,2.206347,0.117926,35976525.217956
141.423136,0.008170,2.128324,0.275470,31359125.168654
141.510730,0.005539,1.977213,0.591231,39286422.385971
140.316252,0.959952,1.134045,0.297712,57754152.584780
140.160799,0.008741,5.567277,0.355807,12589951.227845
166.205225,0.015510,4.056464,0.635602,16696093.714555
140.051673,2.943921,0.125591,0.141646,23719433.705259
140.722176,0.007582,3.582010,0.492967,13343934.582723
142.411753,0.000775,0.278492,0.695577,39307366.368052
140.087875,2.218156,5.577870,0.230015,50508282.784425
140.191630,0.007869,1.369528,0.431615,52428771.141234
140.027616,2.963188,1.512799,0.124825,20912192.107185
140.943965,3.127276,6.016140,0.287702,26221491.564469
144.747086,0.008800,5.036297,0.725728,49928583.280422
151.824550,0.003319,2.835701,0.882192,28769551.384321
142.316570,0.005606,0.494945,0.291559,27984152.056317
140.277552,0.016199,1.821742,0.410705,28463245.646400
143.198618,3.127765,4.289764,0.795567,26666177.183991
168.886574,3.132323,3.940290,0.925322,39861259.894134
140.544877,3.134490,5.623076,0.323810,22006515.170863
140.092683,1.111059,1.567312,0.132931,37292630.091882
142.847479,0.005067,2.550995,0.632360,15644032.614717
142.685260,0.008008,1.838930,0.586094,56286951.840133
140.008242,0.039142,3.107141,0.571053,61844213.085279
140.358334,1.265855,0.823885,0.075963,25578960.114226
145.117478,3.137568,2.445720,0.765272,40323523.498616
140.127674,3.026474,3.808696,0.177438,32843529.898581
140.168149,3.136139,4.665334,0.273472,28463245.646400
144.046796,3.133033,4.359365,0.405387,72903009.623252
146.359414,3.135707,4.718243,0.269664,32763493.967060
140.629469,0.549408,5.372917,0.160879,26775759.090232
140.146784,0.305977,5.231299,0.088243,20437586.513266
140.281311,2.086708,1.147767,0.218963,27742922.262716
140.090548,0.973180,5.786615,0.042504,10834022.730245
140.172289,2.669278,5.129200,0.164368,36543134.733158
142.813368,3.134013,3.413539,0.672232,16713671.699515
161.173883,0.004990,5.005192,0.719961,21475809.624944
140.178290,1.911782,0.999978,0.240853,55368034.626368
141.961025,3.130589,3.919633,0.625215,33079149.696982
140.745483,3.136172,3.190387,0.595602,25762219.957427
140.481878,0.009064,3.232078,0.800977,81168028.551611
140.156201,2.914548,6.263829,0.063552,26626533.217911
140.841017,0.003244,1.038280,0.598554,63674941.518888
143.240052,0.003913,2.758626,0.398252,50259572.997224
140.741266,0.008376,5.846321,0.270102,48257552.710174
141.150980,0.008089,6.240825,0.632719,63794247.416808
140.077423,1.412123,0.929116,0.235954,36423080.835878
141.061062,0.005452,1.183784,0.310962,12831555.021124
140.253702,0.578399,1.554158,0.083015,18230988.401271
170.352705,0.009428,4.009713,1.028463,45382617.170001
140.923542,0.000485,2.750774,0.373173,33299435.508503
140.190856,0.015482,0.373741,0.074799,11691229.996806
140.927341,0.005701,0.751775,0.697132,25439458.233585
144.893842,3.135527,0.568500,0.850197,23392183.985259
140.237018,2.410859,3.539306,0.155325,53210430.472438
140.049176,2.560556,3.981471,0.081851,31963134.651856
140.074404,0.343064,3.411908,0.036607,11965371.762246
140.328211,2.341063,6.152237,0.054446,13532430.421442
143.050282,3.137280,3.407384,0.704097,30276396.095048
140.082604,1.685889,3.128573,0.086215,38867916.744049
140.446716,0.017211,1.362472,0.784430,58025302.352781
176.573922,3.141446,3.457831,0.922561,36419340.839078
169.295096,3.140874,3.001561,0.939534,23928873.526058
162.705512,0.001584,0.985625,0.864349,32699540.021780
141.704999,0.007468,1.015013,0.799516,26816525.055352
142.728607,0.005860,0.369134,0.463661,28343939.748479
140.051172,0.167074,1.164237,0.147450,16650091.753915
140.358073,1.420011,3.806152,0.252266,42194269.897985
140.248556,1.054913,1.261449,0.089506,21693103.439023
140.744328,0.010165,4.227872,0.281591,10448429.060164
142.467025,0.003832,1.916164,0.273884,17631092.914553
149.331272,3.135204,3.787416,1.288127,73174533.390933
143.818989,0.005583,0.312099,0.802601,52500205.080115
157.243934,0.002416,3.988399,0.654643,44951021.539278
141.341514,0.007334,4.269241,0.454052,74511956.246620
143.003452,0.004566,1.019137,0.698994,54398253.456124
147.390366,3.137710,2.187716,0.792935,60338864.373272
152.533630,3.138177,5.035668,0.617103,34338032.619868
140.042208,3.129281,6.281728,0.558753,24743444.829102
145.558037,0.008999,0.630500,0.517006,31795956.794896
150.425083,3.140380,4.968167,0.722222,57975186.395661
140.888849,3.128604,0.814782,0.241506,38167041.343726
144.421964,3.139609,6.271036,0.516284,20959316.066865
140.055715,1.121452,0.286108,0.234923,62349860.652642
143.780431,0.003445,0.525041,0.308888,16750697.667835
146.144548,0.031192,3.119207,0.507184,40116701.675575
141.396243,3.136111,0.575341,0.771922,27677472.318716
140.160021,2.025053,2.114431,0.163244,35981387.213796
140.276895,3.112356,3.595486,0.445139,24284921.221420
142.793000,0.009671,4.897375,0.689731,46679274.060567
141.296351,0.005082,0.632604,0.610908,18783759.928310
140.017095,0.864075,4.689349,0.216088,34446118.527388
145.798663,3.139438,1.143595,0.607539,36597738.686439
152.443631,3.136150,0.121007,0.924565,80230785.353527
144.356583,3.133428,0.308871,0.343548,44591981.846477
140.892227,3.135391,0.633690,0.345199,20436838.513906
141.853121,0.009265,3.946562,0.732836,21838963.314223
147.603405,3.135526,4.051524,0.519071,53320760.378038
142.156301,3.139737,2.368170,0.552489,37471401.938923
140.273432,2.561369,0.416633,0.241137,39148790.503731
140.268825,2.327729,2.425933,0.102241,23824527.615338
148.634466,0.002139,3.857147,0.672040,34601328.394589
164.141737,0.005659,1.748409,1.150532,26414101.399670
140.459286,3.006022,4.721503,0.105211,11686742.000646
141.513679,0.004922,5.810976,0.353484,47577621.291931
140.157267,2.116016,5.836797,0.115478,23461747.925739
140.157563,0.083993,2.619344,0.164261,28716443.429761
140.071607,0.050194,5.928900,0.848267,80813102.855290
147.020831,0.001561,2.749927,1.056429,51788483.689071
158.322604,0.001384,0.754114,0.602812,85734938.644113
140.667701,3.135482,1.948516,0.869794,40868441.032379
140.037498,3.102608,4.637103,0.373510,30417019.974729
140.924459,0.022633,0.343613,0.766314,58695509.779344
140.397786,2.389903,5.530727,0.108999,15804852.477117
140.704687,3.121764,0.831371,0.287401,26444395.373750
140.018749,1.153313,1.386055,0.416055,65960827.563059
140.272599,2.841014,0.211901,0.103003,26441403.376310
140.000425,0.767901,5.581110,0.057190,11313116.320325
140.347904,0.005771,5.016508,0.319986,16043838.272637
142.545767,3.136108,2.905391,0.767681,27012874.887353
140.099114,2.893008,1.478722,0.314445,27473642.493115
158.249891,3.137345,1.399600,1.030838,21417091.675184
140.268968,1.188238,3.603922,0.096788,31952662.660816
140.423608,3.130972,2.918743,0.383665,48466618.531295
141.685324,0.008992,5.725446,0.683440,19873594.995828
142.219232,0.001060,1.059629,0.391322,18541034.135991
148.224881,0.003126,4.894483,0.680193,53968527.823802
142.031276,0.015501,5.953802,0.348690,36380444.872358
140.036142,0.012750,1.946487,0.548854,20184762.729587
149.801424,0.007583,4.320374,0.991393,40010111.766775
140.032809,0.105177,0.915014,0.322897,23006964.314860
140.062167,0.490820,2.434039,0.396932,38450159.101487
140.363023,2.328112,2.487078,0.413518,45074441.433679
152.503353,0.005513,4.254260,0.533743,62891412.189284
143.972734,0.007756,0.698120,0.304436,30724073.712011
148.012000,0.008853,0.998791,0.520020,24971958.633583
149.040940,0.000756,3.883694,0.379776,33527575.313304
146.969001,0.002281,3.029578,0.386139,14529887.568000
141.260298,0.009459,0.363473,0.433887,32036064.589457
154.134478,3.140606,4.344084,0.513693,35946979.243235
140.488923,2.351944,0.258021,0.395151,27490098.479035
140.255403,1.128177,0.275400,0.595020,53237732.449078
141.689350,0.025998,2.744383,0.097373,29881452.432967
140.315523,2.752302,4.170194,0.643680,54549723.326524
145.436086,0.003618,3.670075,0.702124,67727602.051387
142.163289,3.137206,4.749158,0.220505,20386348.557106
140.219920,2.785659,3.189059,0.332611,34751302.266270
142.609427,0.007888,4.327094,0.435322,16679637.728635
140.748702,0.004541,5.461011,0.369628,50905096.444907
142.892650,3.130391,4.584191,0.452516,18733643.971190
140.202091,0.003527,5.285659,0.921136,47638209.240091
140.566731,3.138315,5.348366,0.566432,37353966.039402
140.205915,0.464397,1.298389,0.286484,51034126.334508
140.054973,0.868136,5.484180,0.151056,25215806.424944
140.155101,2.336883,5.664609,0.141534,27612022.374716
140.100214,0.798195,0.115453,0.043802,12316183.462085
149.588664,0.001066,4.877089,0.439967,24744940.827822
146.083683,3.140598,2.556054,0.799147,96586913.359021
142.155025,3.140038,3.166103,0.236067,23464365.923499
146.522730,3.141397,2.681533,0.892334,57197267.061257
143.259746,3.141047,6.009735,0.477368,37995375.490605
147.342798,0.000671,3.557994,0.916715,60247234.451672
149.761713,0.006844,0.267093,0.567945,20501166.458866
166.094386,3.139002,0.799901,0.954160,42252239.848386
143.393198,0.006536,3.919998,0.403422,71533048.795405
140.001764,1.425273,1.193770,0.182860,32702158.019540
145.710910,3.137811,1.396297,0.307032,24513809.025581
145.806500,3.136016,4.059589,0.585874,25120436.506544
140.032089,0.434835,4.119864,0.055492,14979435.183359
144.796861,0.005251,0.404496,0.607053,44013030.341834
161.502735,3.135977,4.160652,0.844225,23998437.466538
140.899282,0.009266,4.995336,0.733607,66528185.077622
140.074265,2.888452,1.847810,0.215889,25490322.190066
140.224406,1.872848,3.875831,0.144511,38586668.984688
140.731555,3.132894,1.964975,0.420474,20510142.451186
141.205684,0.006060,1.845962,0.294364,22511414.738861
143.403872,3.135607,4.055420,0.570847,26984076.911993
143.974045,3.141462,3.974754,0.552054,26454493.365110
140.255167,2.880503,0.266279,0.324398,25820189.907827
140.068647,0.310792,4.408441,0.139463,35379247.728993
143.389203,0.002841,4.189844,0.868544,19700807.143668
162.207733,3.140220,1.397916,0.698232,41619058.390143
140.596695,2.149049,4.784936,0.220378,36820268.496040
142.173941,3.135018,3.872249,0.234997,29582626.688645
154.498008,0.003116,2.335081,0.954354,36504986.765798
140.368730,2.168901,2.959013,0.258320,38340951.194927
140.072469,0.538534,3.311027,0.101682,21414473.677424
140.162485,1.811180,2.454074,0.149510,32129564.509457
140.473341,0.011904,6.102752,0.437677,19521287.297268
140.378704,0.009106,0.313637,0.270201,19413949.389109
140.035875,2.939993,6.252510,0.590831,50604400.702185
140.178716,1.049891,3.263224,0.178733,78788268.587760
140.017054,2.651045,4.161316,0.810865,78627448.725359
154.993837,0.012453,4.576526,0.772818,59418077.161108
141.775174,0.006611,5.321188,0.479236,60346344.366872
140.126441,0.958299,5.502122,0.252046,30466387.932489
140.009516,0.001593,3.607330,0.736606,41597740.408382
141.051527,3.129013,1.023468,0.621481,58645767.821904
141.875625,3.135997,5.879343,0.701637,35856471.320675
141.901751,3.140944,4.159320,0.437482,22310950.910382
141.369144,3.126892,4.313251,0.318630,27488228.480635
144.864881,0.014672,2.877420,0.326402,28978243.205762
147.883780,3.136461,3.054244,0.887510,31858788.741136
140.550717,1.445207,1.139219,0.464102,56176995.934212
142.199149,3.137102,2.208596,0.997763,82893289.075460
140.064174,2.092348,0.342673,0.082760,22412678.823342
140.017099,3.096389,5.599976,0.380850,45746144.858962
140.041708,0.133448,1.607502,0.481618,17666248.884473
142.797868,0.002521,3.599044,0.858911,29446490.805124
149.446849,0.003133,0.123343,0.484733,21187829.871345
147.477431,3.136831,6.128791,0.645375,35843381.331875
147.013634,0.001368,4.404775,0.827569,31985948.632337
140.205763,2.127981,3.796097,0.151687,48006598.924893
140.460689,3.134383,2.785229,0.423399,20617106.359666
140.338688,1.381274,1.417428,0.193151,43327862.928071
140.117167,2.599121,4.516343,0.050534,16611569.786875
141.546422,3.132736,1.975145,0.804346,28392933.706559
141.949015,3.136404,1.473706,0.719484,49172729.927139
168.979651,0.001946,4.456317,0.871965,40831041.064379
140.024391,1.183241,4.694747,0.261083,56531547.630854
140.316116,1.388751,0.117216,0.362897,42056264.016065
140.238111,3.104105,2.935549,0.169352,12652035.174724
140.055049,3.011079,5.191684,0.080749,17358821.147513
145.450310,0.003321,2.971253,0.950319,28235105.841599
145.802694,3.141070,0.306604,0.594451,69571794.473476
146.674285,3.132984,1.730872,0.666703,63862689.358249
144.585246,3.139745,1.402798,0.528353,19302123.484789
140.590083,3.131432,1.064088,0.143896,33456141.374424
140.248022,2.728393,3.161122,0.172135,18927375.805430
142.147358,3.140801,1.955299,0.310355,39587492.128373
140.134394,0.592874,0.003481,0.367559,34807402.218270
156.816755,3.133431,1.855653,0.605430,27122830.793273
141.015122,0.006918,3.294256,0.854801,20146240.762547
140.064285,2.558063,2.877054,0.113632,32292628.369938
163.264745,3.139791,4.599360,1.139543,36120889.094436
148.462638,0.004574,1.872401,0.711434,44900531.582478
148.390766,0.002279,2.247895,0.878055,22971060.345580
141.736293,0.007770,3.527932,0.633403,16683003.725755
160.865350,3.139827,3.146522,0.867277,52230551.310833
143.579109,3.139584,2.845404,0.374001,41874126.171904
148.560687,3.131208,2.596106,0.607907,39207882.453171
144.123789,3.135849,0.543578,0.734061,28889605.281602
140.479501,1.414815,4.661655,0.054307,21899177.262703
140.448841,1.842583,2.042044,0.278038,31605964.957455
140.989964,3.131347,5.363277,0.278189,20323890.610547
