# Run exit points.  Columns are r (AU), th (rad), ph (rad), ek (GeV), s (s).
# First line contains initial point of trajectory:
1.0,1.5707963267948966,0,6.16,0.0
212.356439,0.007701,5.003140,6.459207,185503.841280
153.749355,0.013768,4.140241,6.400760,70311.939840
305.368413,0.003706,4.077340,6.336919,61335.947520
155.313626,0.013237,4.845092,6.508140,170917.853760
361.594251,0.557798,4.965812,6.478480,146607.874560
145.576776,3.134595,0.384669,6.547484,312289.732800
142.453085,0.626351,1.533639,6.590050,316777.728960
223.902654,0.000175,5.365644,6.313448,124167.893760
145.767305,3.137102,1.465470,6.467974,293589.748800
293.697755,0.444458,0.760992,6.446615,213553.817280
271.391953,0.000008,2.170832,6.575537,253197.783360
199.724115,0.018595,1.659430,6.469207,64701.944640
236.476528,0.008421,5.131963,6.398593,115191.901440
167.213450,0.001133,4.660014,6.622558,439075.624320
218.300128,0.003888,3.999279,6.404899,78913.932480
230.977197,0.015433,1.192550,6.302385,46749.960000
185.313087,3.141510,5.412390,6.392994,110703.905280
143.855913,0.028292,6.277758,6.336631,178397.847360
143.109731,0.000813,3.923436,6.317871,81157.930560
250.152760,0.006361,2.958266,6.412052,182885.843520
163.216931,3.132246,5.029806,6.316350,50115.957120
291.232857,3.125900,2.718371,6.648617,538185.539520
174.361594,34.300516,1.361826,6.468109,129777.888960
156.289599,3.113701,0.873397,6.550833,480215.589120
247.922570,2.819349,1.224854,6.507358,210561.819840
169.132337,3.120736,5.810411,6.481511,320891.725440
143.929722,0.007506,3.556154,6.358875,135761.883840
243.974342,0.017189,0.277407,6.334326,65823.943680
163.930860,3.131501,1.278382,6.345728,155209.867200
145.959858,3.132591,0.931933,6.446079,98361.915840
141.341928,0.018232,3.716894,6.417890,95743.918080
246.965002,0.002597,5.957304,6.307385,139127.880960
166.514860,3.136880,1.863028,6.426085,114817.901760
326.137416,0.007378,1.452570,6.623723,1025881.122240
192.216240,3.138568,3.285834,6.353899,79287.932160
222.354603,0.000800,0.264078,6.524932,253571.783040
167.402508,0.000684,4.009687,6.521654,221033.810880
153.279548,3.132226,0.791360,6.348135,174657.850560
158.201963,0.008393,0.159478,6.472654,140249.880000
384.709508,3.120040,1.667767,6.284357,84149.928000
153.966577,0.005286,1.300232,6.723456,735657.370560
140.227820,3.065558,2.775943,6.381298,103597.911360
178.719498,0.001342,5.021459,6.911628,422619.638400
168.831377,0.006027,2.902305,6.625459,471239.596800
339.745216,0.017892,0.413449,6.509338,203829.825600
152.358641,3.137445,2.713077,6.528135,208317.821760
268.087580,0.005436,5.957804,6.385577,81531.930240
153.599779,3.136553,5.949110,6.588878,406537.652160
338.937286,3.120371,2.675293,6.383284,124167.893760
339.358443,3.140276,1.456498,6.643649,154461.867840
345.531321,3.135731,5.631368,6.370001,79661.931840
140.182473,0.019410,0.931210,6.427362,123045.894720
228.013099,3.132503,0.350158,6.437221,104719.910400
252.874809,3.106419,6.153043,6.528069,151095.870720
296.291844,0.003240,4.029929,6.522062,159323.863680
389.961568,0.518868,6.054610,6.367110,103971.911040
145.024641,3.138736,5.716244,6.786658,546039.532800
141.396104,0.008713,0.403900,6.496451,170543.854080
284.026031,0.017288,5.236065,6.443720,205325.824320
211.979352,3.131694,3.254521,6.823171,542673.535680
181.954920,3.139446,4.185938,6.479711,198593.830080
170.599582,0.009739,5.381743,6.565624,268157.770560
173.761829,0.005134,5.486478,6.496367,337347.711360
151.833357,3.134833,2.211223,6.272416,27301.976640
270.116976,0.000297,2.226214,6.358545,140997.879360
337.707571,3.124503,2.659318,6.353436,95369.918400
147.872990,3.136559,4.017700,6.676450,519859.555200
146.162943,0.000088,1.882884,6.771429,482833.586880
313.061990,0.011503,2.099083,6.489747,263669.774400
140.619250,0.001374,3.950320,6.432236,115939.900800
157.579483,3.115136,0.588264,6.431850,326501.720640
324.841493,0.006355,5.905648,6.296082,106963.908480
175.093257,3.141205,2.223836,6.468834,207195.822720
194.959615,3.132236,5.554652,6.656036,359413.692480
150.522898,3.134884,0.320453,6.609677,137257.882560
369.262698,3.130672,5.258553,6.584767,228513.804480
176.006456,0.010725,2.739819,6.487215,103597.911360
150.989003,3.138840,5.692864,6.780759,1110779.049600
191.516301,0.000351,2.002195,6.457409,489565.581120
160.071125,0.000057,0.763897,6.421232,156705.865920
141.577124,0.007589,4.363005,6.319485,67319.942400
163.670667,3.133766,5.185665,6.351340,77417.933760
150.698361,3.132416,4.745502,6.586883,321639.724800
280.388289,0.024070,0.586461,6.671425,144737.876160
167.562880,0.016378,5.096744,6.750276,170917.853760
161.792941,0.007992,1.225235,6.379557,68815.941120
149.935866,3.138362,1.189312,6.376048,442441.621440
188.621666,0.025594,0.177116,6.599294,178771.847040
186.516296,0.147263,3.308291,6.395994,163063.860480
231.714379,0.002622,2.359077,6.351316,121549.896000
232.661947,3.137507,4.391224,6.510783,275263.764480
144.016555,3.134016,3.867234,6.475325,280499.760000
143.813542,3.141210,1.188591,6.496352,275263.764480
209.662994,0.002473,2.176256,6.511154,130525.888320
167.694526,0.004985,5.688455,6.351208,123793.894080
296.980611,3.141140,5.469904,6.491960,266287.772160
219.306435,3.137011,5.887134,6.571156,283491.757440
157.783035,0.016460,5.134418,6.630924,500411.571840
140.719957,0.007955,2.983877,6.387793,128281.890240
153.343748,3.140594,4.157774,6.574356,285735.755520
186.120664,0.005539,1.595852,6.415483,132395.886720
184.265810,3.132881,5.365772,6.477939,160819.862400
205.358556,3.133774,5.285976,6.310615,60961.947840
148.360226,3.138209,4.667796,6.342559,113695.902720
290.195377,0.014247,0.229907,6.610941,708729.393600
166.939305,0.016436,2.467487,6.380689,87889.924800
146.152576,0.012319,3.342231,6.716515,396439.660800
347.137299,0.001650,4.327020,6.373479,130899.888000
159.963278,0.076762,3.107044,6.462894,278629.761600
236.263731,0.027443,5.740812,6.375185,231131.802240
215.934756,0.000631,1.362227,6.326015,75173.935680
142.510235,3.137836,5.422332,6.451158,220659.811200
202.573477,0.010535,3.007765,6.458169,256563.780480
156.771483,0.003620,5.423085,6.420577,111077.904960
286.691286,3.132220,5.302544,6.659004,492557.578560
172.062654,3.138199,0.293063,6.248790,31415.973120
208.277349,3.137202,4.698389,6.548203,162315.861120
186.615621,3.128769,1.649996,6.346970,92377.920960
168.485653,0.002165,2.796121,6.425142,157453.865280
158.636335,0.008397,4.165429,6.333217,107337.908160
143.817355,0.008149,1.625268,6.408518,90133.922880
175.344051,3.130218,6.207897,6.386270,179519.846400
167.778539,0.013510,5.546132,6.327044,90507.922560
320.110917,0.009316,2.898135,6.351106,206073.823680
209.653301,0.009398,4.304151,6.436349,159697.863360
151.047184,0.016538,4.087447,6.589152,277881.762240
307.172769,3.136351,3.886435,6.556015,239733.794880
148.934850,3.140619,2.159784,6.558773,186625.840320
440.371768,0.019550,3.923349,6.511738,236367.797760
171.183335,3.135873,3.016484,6.427390,167551.856640
142.024032,3.125821,0.844730,6.345053,206447.823360
205.988953,3.140642,3.958065,6.582470,526591.549440
145.651693,0.007558,4.536810,6.883222,433839.628800
144.642986,0.006431,1.594547,6.890978,401301.656640
153.073782,0.014728,4.713909,6.537589,169421.855040
159.175137,3.138732,5.091948,6.348282,105467.909760
384.843132,0.004159,5.718726,6.830196,276759.763200
262.358694,0.004308,0.476376,6.708472,716957.386560
141.461556,3.140911,2.308842,6.466747,178771.847040
239.510075,0.013150,1.762847,6.300649,55725.952320
315.639212,0.000808,2.328183,6.743628,329493.718080
153.496906,2.758551,6.155548,6.411784,117435.899520
208.573989,3.141018,3.524038,6.430141,156705.865920
174.000613,3.135887,1.822717,6.348582,133143.886080
141.574599,0.022238,4.494004,6.352112,242725.792320
275.246284,3.137868,2.619502,6.489344,468621.599040
290.118359,3.134829,1.827614,6.428619,124915.893120
175.699040,3.135516,2.772439,6.342348,94995.918720
163.190140,0.093385,6.205324,6.768740,385967.669760
