# Initial point: r = 1.0 AU, th = 1.5707963268 rad, ph = 0.0 rad, ek = 8.93, s = 0.0 s
250.885886,3.129531,0.678070,9.284476,203829.825600
267.589237,0.011367,1.818285,9.602785,515371.559040
311.772522,0.000007,4.452629,9.328676,335477.712960
177.410195,0.006335,5.279831,9.320594,188495.838720
183.033458,0.010167,5.063374,9.261051,166429.857600
146.468140,0.190840,0.623924,9.438172,136509.883200
214.825202,0.060777,3.608590,9.392826,160445.862720
155.108418,3.125976,0.086594,9.522519,129029.889600
333.417886,0.005077,0.176606,9.175975,40017.965760
300.888282,0.024460,5.245691,9.332839,69937.940160
177.974406,3.125750,1.053948,9.110961,59091.949440
197.248848,0.003983,3.147890,9.201084,70311.939840
190.409073,0.007180,4.364545,9.396984,129777.888960
304.600344,0.004096,4.629600,9.258109,116313.900480
142.575105,3.133533,6.275665,9.476230,567357.514560
161.575858,3.141382,5.877967,9.207150,96491.917440
360.558749,0.042569,5.082140,9.245158,290971.751040
232.598133,3.132051,5.124937,9.094008,47497.959360
211.256068,0.092068,4.601841,9.136196,46375.960320
354.232461,3.123466,2.644272,9.349763,136509.883200
212.447743,0.015042,5.077090,9.316917,152217.869760
258.068382,3.135558,0.442494,9.436096,204577.824960
143.719593,3.124773,3.008297,9.144691,67319.942400
168.592803,0.000320,3.429439,9.125542,62831.946240
188.863481,3.129194,2.476969,9.212961,105467.909760
167.131618,0.002019,5.506930,9.544909,701623.399680
158.387836,3.130512,0.983015,9.179495,129029.889600
242.407505,3.090925,0.911926,9.058265,23187.980160
182.755290,0.011434,0.354704,9.632188,581195.502720
236.380029,3.120346,3.337673,9.095934,76669.934400
187.691611,3.131136,5.845862,9.409563,293963.748480
264.948389,0.003138,5.973053,9.206337,117435.899520
172.528953,3.080789,0.123961,9.378263,288353.753280
222.442592,3.125640,1.041201,9.048836,28797.975360
143.331465,0.022150,0.336793,9.132482,64701.944640
278.647278,0.307412,2.252917,9.539388,271897.767360
148.971704,2.812883,3.225049,9.107659,111077.904960
195.276135,3.139434,3.174354,9.037925,48245.958720
165.171227,3.139821,1.651011,9.217197,99483.914880
227.918994,0.012003,2.546182,9.127413,48245.958720
298.320958,0.000875,1.029789,9.105620,45253.961280
235.213672,0.115589,4.324601,9.203192,132395.886720
161.397633,3.135386,4.219790,9.295433,111825.904320
147.257791,0.004097,1.510463,9.261800,271149.768000
285.778193,0.044656,5.577954,9.298226,312289.732800
184.292458,0.029698,1.723664,9.266981,188495.838720
161.654566,3.136484,6.071553,9.442942,150721.871040
305.106262,3.095750,2.586198,9.263912,46001.960640
144.655208,3.125491,1.097427,9.166627,97987.916160
230.343252,3.139766,0.587234,9.194141,40017.965760
143.690374,0.013421,4.633700,9.242317,176153.849280
171.009093,0.021944,2.778330,9.485600,263295.774720
279.759220,0.000783,6.136181,9.477521,428229.633600
235.476600,3.139334,4.379045,9.364843,147355.873920
200.333450,3.138567,0.727292,9.769500,605505.481920
151.937121,3.139578,0.635630,9.084038,47871.959040
405.444566,3.135728,5.939173,9.378537,166055.857920
157.798258,0.000156,2.846847,9.220935,96491.917440
149.863938,3.121167,1.152117,9.130826,62083.946880
146.578551,0.019881,4.281675,9.547685,433091.629440
152.764327,0.007177,1.216973,9.293855,180641.845440
268.299251,0.007715,0.335863,9.125215,40017.965760
142.432074,0.017452,4.877734,9.243938,121549.896000
152.705339,0.007414,3.057421,9.134675,109581.906240
285.497203,0.007993,5.511684,9.222276,91629.921600
142.681058,0.014415,5.334990,9.242052,267035.771520
211.823844,0.010841,4.156624,9.415335,404293.654080
308.047023,3.134434,5.942989,9.067331,48619.958400
311.375641,3.132925,2.993850,9.243535,97239.916800
159.407397,3.140152,5.848007,9.274316,146233.874880
170.450168,0.003834,1.030919,9.515233,281247.759360
321.382291,0.107469,4.639060,9.243079,56099.952000
