# Run exit points.  Columns are r (AU), th (rad), ph (rad), ek (GeV), s (s).
# First line contains initial point of trajectory:
1.0,1.5707963267948966,0,4.73,0.0
160.340117,0.020121,0.043153,5.264524,717331.386240
145.271603,0.002316,1.138781,4.915411,113321.903040
160.896650,0.004125,4.403065,4.927032,144737.876160
145.395775,0.015795,2.886454,5.033991,163437.860160
172.201416,3.139380,2.285161,4.818152,98735.915520
144.213758,3.141521,1.880325,5.115955,339591.709440
142.917956,0.000115,3.002986,4.879887,101727.912960
199.947001,3.140076,2.877220,5.027322,303687.740160
347.651546,3.138307,2.531456,4.958393,228513.804480
204.042963,3.140455,5.304844,5.106566,169047.855360
154.597476,3.141246,1.374038,4.929435,73677.936960
149.368424,3.128545,5.144938,4.896677,121923.895680
143.225368,0.015289,4.124996,5.261930,402423.655680
232.335614,3.077885,5.804974,5.090172,237863.796480
150.787680,3.134400,5.640745,4.945677,118183.898880
167.837012,0.000666,3.724163,4.940979,262173.775680
144.988124,3.125004,2.380711,4.879245,106215.909120
169.702142,3.118025,6.160660,5.180874,492183.578880
181.109665,0.011894,5.758245,5.162733,287605.753920
233.592978,0.005968,5.469687,4.847180,72929.937600
171.303989,3.129398,2.040684,5.167234,217293.814080
182.559258,3.139126,3.201410,4.870394,55725.952320
198.375438,3.137735,3.343659,4.849723,62831.946240
245.189440,3.133996,4.620679,4.891513,138753.881280
177.861193,3.139086,5.874284,5.234629,1037849.112000
181.140089,0.003370,5.462018,5.027534,158201.864640
203.310008,0.000661,3.006044,5.031824,552771.527040
165.374605,0.000205,3.180142,5.042768,207943.822080
182.757379,0.006785,1.628959,5.047388,235619.798400
159.873464,3.128719,4.866519,5.086309,214301.816640
151.798634,0.017175,0.360690,4.921021,156331.866240
337.169408,0.000650,4.419526,4.910644,134265.885120
293.457035,3.114091,2.519857,5.039659,305931.738240
224.279987,0.008324,3.751775,5.040899,356795.694720
246.091677,3.137568,0.578421,5.036969,206821.823040
230.453164,0.012718,1.270194,4.928366,119679.897600
199.914902,3.135106,0.607693,4.927130,66571.943040
161.358722,3.130879,4.163778,5.318489,427481.634240
151.185322,3.138236,1.337929,4.953495,301817.741760
146.510421,0.012189,1.036992,4.980416,267783.770880
261.341326,0.002509,3.259918,4.918658,282743.758080
166.026450,3.139649,3.547331,4.943588,139127.880960
143.886272,0.015652,5.378162,5.100420,192235.835520
224.184296,0.008370,5.478280,4.922438,123419.894400
151.002041,0.005054,3.254459,5.001380,102849.912000
152.481272,3.134906,1.785893,5.082879,741267.365760
211.632243,3.136360,3.764748,5.228875,612985.475520
142.464991,3.134993,4.479560,4.853875,73303.937280
245.797474,3.133221,2.431134,4.998669,156331.866240
142.056948,0.019480,2.905640,4.922391,229635.803520
236.092794,0.001273,5.863552,4.945651,102475.912320
169.824797,0.002337,0.624996,4.952116,177275.848320
298.972239,0.031625,4.570028,5.100530,716583.386880
144.151500,3.137983,1.725242,4.985853,151843.870080
152.771593,3.137683,1.510281,5.167165,318647.727360
140.067045,3.011869,1.991567,5.246526,333607.714560
274.765901,0.000896,5.739525,5.043370,362031.690240
