# Initial point: r = 1.0 AU, th = 1.5707963268 rad, ph = 0.0 rad, ek = 0.155, s = 0.0 s
143.003680,3.139715,1.011914,0.874370,12940014.928324
154.987345,3.114423,3.624492,0.791819,14062013.968321
140.162177,3.133680,4.493042,0.548248,15951086.351997
146.291872,0.005523,2.854070,0.387439,13758326.228162
151.510510,3.135295,5.979606,0.733571,33679793.183065
140.650343,3.126746,2.660713,0.388020,6567434.380799
141.575925,0.012486,0.996196,0.525802,10748376.803525
140.029077,3.130332,6.202486,0.392145,6408110.517119
140.631221,0.009452,5.995988,0.281731,3085497.360000
140.052643,3.137568,3.855569,0.591786,14694447.427200
140.900062,3.136084,1.582511,0.276112,3168525.288960
146.417998,3.137521,2.985387,0.666777,9005164.295042
152.588889,3.137164,2.282857,0.714915,13690632.286082
142.270939,0.004789,6.037018,0.505270,8233602.955201
146.897938,3.141136,5.611360,0.615765,11003818.584965
140.940203,0.017767,0.838753,0.410710,3919516.646400
140.171201,0.003070,2.813495,0.444109,7540955.547841
140.472834,3.141247,4.913108,0.529905,8521582.708802
141.232318,0.003302,1.403338,0.722176,23324490.043180
140.927886,3.101555,0.500047,0.431488,5461143.327359
142.073858,3.130047,0.364925,0.920288,12574243.241285
146.045268,3.137236,1.716625,0.470405,6669910.293120
142.754273,3.140093,4.768917,0.448963,28509995.606400
141.403693,0.007937,3.460722,0.627872,11294790.336005
145.557439,0.006802,5.712787,0.473952,12403325.387525
144.217525,0.007008,1.324702,0.389355,7055877.962880
154.431202,3.135981,5.763508,1.070936,5649265.166399
141.558802,0.014109,4.305350,0.366497,5511633.284159
147.848051,3.138646,1.833679,0.629158,19580379.246708
144.997150,3.134776,2.969616,0.497405,7129181.900160
140.102274,0.004458,3.484392,0.583550,22635582.632621
141.182397,3.132525,2.119428,0.458510,11999779.732806
141.721433,0.008531,2.693079,0.554031,4887427.818239
147.839049,3.140435,3.981245,0.508438,4353730.274880
141.366793,3.139313,1.833022,0.655154,6598476.354239
145.589607,3.133852,0.755867,0.736051,18462120.203511
151.088170,0.005755,3.518376,0.727266,8284092.912002
152.616428,0.010461,1.981420,0.563541,22048777.134703
154.649720,3.134340,6.109803,0.775225,14499219.594240
141.518095,0.010397,6.227920,0.991217,12187527.572166
140.850879,3.130470,1.345510,0.241845,2983021.447680
140.265693,0.052374,2.206629,0.346461,4502956.147200
141.022572,0.015565,3.210239,0.273054,2034558.259200
140.653576,3.132399,1.987090,0.676311,20391584.552626
140.732005,0.008682,3.355779,0.319190,8360014.847042
141.185208,0.012125,6.206391,0.371184,8160299.017921
140.687155,0.027096,2.927914,0.462324,11657570.025606
145.964168,3.137686,2.407974,0.849833,15588306.662398
148.190507,0.003641,0.586197,0.555597,6510586.429439
143.509900,0.007604,5.200988,0.316016,5311169.455679
140.756650,0.010208,0.355548,0.375989,5154463.589759
142.897547,0.012401,4.792786,0.499947,3942704.626560
