# Initial point: r = 1.0 AU, th = 1.5707963268 rad, ph = 0.0 rad, ek = 0.278, s = 0.0 s
142.016547,0.011791,5.679964,0.452447,2341985.996160
140.088575,0.522714,1.064509,0.610208,18851827.870070
143.419240,0.004634,2.094216,0.502344,8366746.841282
143.950258,3.134583,0.061893,0.467640,1661680.578240
140.035558,3.130006,0.032917,0.489203,2061860.235840
140.352538,3.131840,2.067933,0.406532,2360685.980160
146.212014,3.134640,2.978583,0.930834,7245869.800320
140.134554,0.012610,4.065672,0.548992,8334582.868802
150.687593,2.917859,0.587109,0.395913,2852495.559360
150.191309,0.005306,5.292458,0.584586,4480516.166400
143.564172,3.140561,2.331406,0.689609,4997383.724159
163.472743,0.002185,5.422315,0.835177,6959012.045760
141.002779,3.124531,0.384759,0.538559,1896552.377280
146.596400,0.007858,5.066221,0.389973,3090359.355840
157.220919,0.002593,2.034684,0.682006,4030220.551680
147.954147,0.004395,5.714551,0.876146,6208768.687679
145.250267,3.138206,2.377291,0.426529,3525320.983680
140.089279,3.133535,2.493747,0.868391,5625329.186879
148.016845,3.140430,3.996013,0.940836,5551277.250239
141.324163,3.136987,2.537712,0.354665,1503852.713280
142.139724,3.137469,3.152599,0.521397,6931710.069120
141.937446,3.133314,2.102611,0.531940,2081308.219200
167.021472,3.140218,3.982526,0.851615,5654875.161599
146.156903,3.137376,4.429777,0.705782,9658167.736323
142.620638,0.008533,3.640982,0.597739,4307728.314240
141.704745,3.130591,0.025493,0.589133,5840379.002879
143.174155,3.140636,3.199226,0.493198,5204205.547199
142.064049,3.136821,0.403859,0.678774,6310122.600959
140.919516,3.130637,5.249820,0.584129,2401077.945600
140.557283,0.002354,1.251256,0.615923,2736181.658880
144.186605,0.003012,0.777408,0.951312,13130006.765763
142.986116,3.131020,3.760647,0.532670,3671928.858240
144.378403,3.132678,5.294891,0.629154,2444835.908160
149.012190,3.137945,6.113676,0.519948,2991249.440640
148.932694,3.137137,3.676903,0.392012,1757424.496320
140.371972,0.011056,3.560514,0.492048,1962002.321280
147.066996,3.137689,0.807022,0.759564,11573046.097926
150.142599,0.006142,3.984555,0.654747,3979730.594880
141.220351,3.135054,2.080520,0.534916,2229412.092480
141.030424,0.014210,2.448608,0.360656,1215124.960320
142.234441,0.013998,0.714344,0.545054,4497720.151680
141.679302,3.134365,2.046893,0.574783,5039645.687999
156.827524,3.139336,5.366183,0.539775,4483134.164160
142.768540,3.135485,0.579850,0.560808,3238837.228800
147.823160,0.007326,5.515701,0.783829,3332337.148800
140.588285,3.131763,0.388844,0.476901,1019523.127680
146.055800,3.140752,5.126117,0.628074,3580672.936320
148.249280,0.003230,4.934937,0.700019,4555690.102080
157.084120,0.003421,3.356144,0.980048,20091636.809267
147.091028,3.134964,1.083327,0.561999,3423219.071040
152.368475,0.000269,0.924653,0.445140,3107937.340800
144.942570,0.004458,5.411517,0.554210,2076072.223680
141.679588,0.006376,4.029860,0.516725,3639390.886080
142.746681,3.134313,1.100166,0.637493,3091107.355200
140.750435,3.137779,3.567524,0.437489,2562645.807360
140.488798,3.124494,3.470833,0.464455,3362257.123200
145.357940,0.010733,1.535046,0.561582,5261427.498239
140.622845,3.133549,0.311014,0.408228,1751440.501440
155.775548,0.006892,5.512561,0.741974,3537662.973120
140.123272,3.132075,2.963892,0.666725,5805597.032639
141.455447,0.003599,5.951712,0.546497,3468847.032000
140.028441,3.133518,0.395456,0.683368,5030295.695999
140.148054,0.003222,0.903055,1.091383,6907400.089920
143.156496,0.008568,0.042754,0.591597,1868502.401280
145.514564,3.139839,3.825589,0.527067,2003516.285760
141.583516,0.000198,5.431599,0.459857,4471540.174080
140.697587,3.135127,4.536168,0.546957,1601840.629440
141.211499,0.014538,5.780613,0.496277,6931336.069440
140.621863,3.127568,5.322290,0.522567,2137408.171200
149.115488,0.005356,3.442853,1.084524,5270777.490239
146.760140,2.996001,3.159940,0.437758,3468473.032320
140.380277,0.133499,2.384376,0.958906,9327178.019523
144.999700,3.140337,0.771775,0.371611,1497868.718400
141.215835,3.132796,1.936527,0.609616,2886903.529920
140.496202,0.011004,3.349453,0.440981,1662054.577920
145.708497,0.010545,2.199128,0.590519,5622711.189119
140.765546,0.011665,5.654231,0.597550,1682624.560320
142.436910,3.136636,0.588080,0.610918,6318724.593599
160.371020,0.001943,5.909230,0.810232,5767823.064959
147.476122,3.133781,0.928829,0.456461,3553744.959360
148.375839,3.138727,3.797995,1.089116,5521731.275519
140.763707,0.008245,0.774756,0.617089,9977563.463044
145.256713,3.135392,2.598682,0.841183,11745085.950726
141.803814,0.004979,5.676905,0.412424,1936944.342720
148.710101,3.137650,4.718318,0.785098,5582693.223359
150.883855,3.138296,6.035614,1.024990,6286186.621439
141.643568,3.129334,0.376433,0.424716,1794450.464640
141.322119,3.140449,5.004902,0.435771,3547012.965120
143.475680,3.135130,1.344213,0.637541,5380359.396479
164.864534,3.138514,5.310561,0.718862,4271076.345600
141.761340,3.141544,4.826423,0.480176,4128582.467520
157.731497,0.005291,4.904341,0.759098,5969034.892799
142.748977,0.001251,6.089402,0.770512,4701175.977599
141.701559,0.004698,0.041514,0.451017,2114220.191040
153.776068,3.138096,2.591484,1.086804,11725637.967366
150.893814,0.000639,2.321239,0.528460,6870748.121280
142.721856,3.129446,5.976398,0.389812,2526367.838400
142.279312,0.006761,1.486825,0.474851,2529359.835840
158.214152,3.137838,5.331034,0.603665,2829307.579200
154.304317,3.136349,0.630055,0.811504,2830055.578560
142.947456,3.131534,3.353457,0.881109,5457777.330239
141.286972,0.010265,2.045013,0.737701,3290449.184640
142.121734,3.134874,3.264601,0.602683,4069490.518080
154.914685,3.140105,1.894268,0.837844,5900592.951359
140.757070,0.002692,1.621569,0.606297,1694592.550080
140.885890,3.139806,1.619315,0.423403,3090359.355840
140.831602,3.139705,3.675876,0.684380,2103000.200640
141.851560,3.137786,2.657268,0.690149,21615311.505584
143.869260,3.135512,1.832525,0.466796,1447004.761920
143.945716,3.136523,4.175501,0.416419,1202034.971520
145.678073,3.136739,3.264017,0.383313,965667.173760
140.605511,3.137221,3.302161,0.579022,2665869.719040
141.216023,0.007944,1.241191,0.463877,2548433.819520
141.314142,3.134648,1.506861,0.382360,1711048.536000
143.807569,3.137078,1.661248,0.827334,6090210.789119
155.395874,3.141232,3.058803,0.693830,4910615.798399
142.658511,0.005034,3.320499,0.474181,7324409.733120
158.414700,3.139435,1.356991,0.679490,7907475.234241
140.196552,0.036479,1.556093,0.547380,2245120.079040
142.707657,3.138363,3.551169,0.343633,1068517.085760
141.706557,3.137822,0.881138,0.644906,2358067.982400
140.895733,0.013618,4.562986,0.561656,3223877.241600
142.488612,0.002964,1.525801,0.402636,2676715.709760
144.772251,0.005628,4.827888,0.688263,9839183.581443
143.604028,3.140673,4.761615,0.583289,1906650.368640
163.544265,0.006908,1.526773,0.664786,5201213.549759
146.976162,3.134635,2.428792,0.658234,3546638.965440
140.661345,3.133484,1.583888,0.421261,1593238.636800
140.364504,3.134098,2.693500,0.422137,3122523.328320
146.028327,0.004371,4.216367,0.361832,796993.318080
150.575546,0.002380,2.410977,1.027774,5074801.657919
141.590068,0.000805,3.288019,0.627916,3484929.018240
153.166187,3.135468,2.221422,0.590537,4372804.258560
146.266751,0.003660,0.765157,0.750886,3607600.913280
147.083554,0.004475,4.918431,0.470008,1547610.675840
145.297179,0.004848,3.838378,0.532564,2027452.265280
150.017203,3.137829,5.592112,0.560939,5027677.698239
143.632125,0.008093,0.485562,0.458033,1738724.512320
140.824659,3.138078,4.001072,0.586238,3370485.116160
141.427746,3.135458,0.566850,0.435036,2092902.209280
149.901863,0.002570,1.778372,1.067385,6037476.834239
147.877522,0.000208,1.005227,0.619474,8763560.501762
153.319230,3.140607,2.322669,1.045156,16154168.178236
140.052810,0.006416,6.149071,1.287634,9599449.786563
144.007299,0.005304,6.224370,0.571062,3429951.065280
140.150928,3.130098,5.910885,0.570074,3318873.160320
152.931828,3.137841,1.138729,0.561742,4594212.069119
144.008290,0.000852,5.019312,0.349774,897599.232000
149.889996,0.001703,4.918443,0.584829,9605059.781763
141.226083,0.006519,4.401749,1.158995,9649565.743683
146.918207,3.139181,4.869556,0.456785,1383798.816000
166.160898,0.003938,0.956325,1.333545,6214378.682879
149.817299,3.137042,5.781299,0.581818,2451941.902080
141.543437,3.039130,2.973983,0.903918,9079216.231683
146.096041,3.136068,4.503311,0.552289,4250880.362880
169.800427,3.135810,0.102101,0.884912,4979057.739839
140.631076,3.131802,3.648704,0.586531,4200390.406080
156.335862,0.004285,5.582826,0.769694,5218417.535039
141.259499,3.131041,2.246541,0.566965,5082655.651199
149.643849,3.134265,1.946461,0.688156,3427333.067520
143.047450,3.140795,4.389928,0.418099,1508340.709440
145.257622,0.005447,4.043852,0.516422,3397787.092800
141.101511,0.001695,3.870453,0.442214,2040916.253760
146.183558,3.139829,0.223113,0.521933,3355899.128640
143.202182,0.005085,5.054995,0.590285,2127684.179520
144.851677,0.004686,3.299996,0.420919,2209590.109440
141.326025,0.008788,1.012701,0.512826,4008154.570560
142.259927,3.138341,2.889482,0.599251,3920638.645440
153.400760,3.133983,1.793955,0.421237,1550602.673280
144.649998,0.005805,1.215942,1.031623,8287458.909122
140.125132,3.132802,2.490214,0.483408,1802304.457920
142.725523,0.010138,1.607257,0.612563,10186629.284164
144.512738,0.001773,4.614605,0.858694,3113921.335680
150.823501,3.135799,0.017985,0.469616,2157978.153600
148.331082,0.003860,3.360218,0.427379,3380583.107520
140.354634,3.138518,3.862509,0.378000,1489266.725760
156.062335,3.138099,0.399544,1.032616,4999253.722559
140.298955,3.120881,4.730604,0.354211,1396514.805120
142.275317,0.008138,0.445185,0.608702,8578804.659842
140.212672,3.134422,5.678489,0.450725,3239211.228480
146.012828,0.001181,1.829457,0.867176,8702972.553602
140.462534,3.120844,4.460902,0.462912,2873813.541120
142.442725,0.007136,5.448640,0.723774,3572818.943040
141.001281,3.134443,4.546417,0.744822,3829008.723840
150.318443,3.137330,1.570437,0.566483,9672753.723843
153.271188,0.001010,5.304288,0.812524,7025209.989120
168.924529,0.001172,3.816888,1.068236,13071288.816003
158.393224,0.003861,5.205924,0.660520,3771038.773440
181.688241,0.009271,3.094804,1.146863,16315362.040316
140.103824,0.300074,3.180725,0.407867,2688309.699840
140.043143,3.137023,1.682634,0.471961,2247738.076800
141.398794,0.011313,1.387161,0.694241,2718977.673600
141.052393,0.004929,4.357459,0.724924,3002843.430720
141.452013,3.137724,0.179534,1.000154,4366446.264000
141.228057,0.016133,1.095164,0.501081,3180493.278720
142.567322,0.010384,2.726432,0.496487,5099485.636799
157.487047,0.005329,2.471152,0.556993,3370111.116480
142.337767,0.003278,3.665776,0.566392,2454933.899520
153.833495,0.002542,1.441307,0.837871,5901340.950719
144.732861,3.131527,1.138661,0.504009,4171218.431040
141.575340,3.132261,3.092509,0.922634,7360687.702080
146.326450,0.002862,4.419795,0.776201,5452167.335039
141.598118,0.000164,1.340389,0.614355,6942930.059520
146.071670,3.136900,2.531310,0.572099,4005536.572800
141.681480,3.135851,2.188173,0.517159,2045778.249600
146.421625,0.008859,1.849093,0.766938,2554791.814080
146.424770,0.007816,5.806858,0.503068,3224625.240960
142.404306,3.131764,1.718179,0.665310,4069864.517760
145.622470,0.002424,1.311774,0.668841,8421724.794242
151.144121,0.000554,4.101490,0.982793,3783006.763200
145.833184,3.135282,4.186236,0.568248,8513354.715842
140.674790,3.137874,0.384780,0.880836,8379836.830082
153.404152,0.004218,0.504026,0.644218,6796322.184960
140.309706,3.128028,4.690413,0.504158,6277210.629119
142.890988,0.002814,4.144721,0.550011,2666617.718400
152.718931,3.136649,5.032189,0.557617,3363753.121920
142.712470,3.133403,3.923475,0.663670,6378938.542079
156.197134,0.006323,1.533064,0.640428,4487248.160640
140.124116,0.010087,0.350306,0.597030,3869774.688960
150.680924,0.011530,0.678756,0.678401,2900367.518400
143.529137,0.006523,5.092946,0.737487,6138082.748159
142.875284,3.136799,1.989279,0.682342,4887427.818239
164.151706,0.014161,4.462376,0.786875,14971955.189759
143.908717,3.136908,5.413272,0.734183,4842173.856959
143.030774,0.007232,4.655209,0.488145,4505948.144640
149.538371,0.002339,0.763488,0.618130,3671554.858560
157.384563,0.001267,1.554124,0.752321,5319397.448639
160.358152,3.138475,4.875843,0.838793,6371832.548159
141.958221,3.130208,3.503892,0.592236,2517391.846080
140.450339,3.138104,2.105143,0.638124,3265391.206080
152.447891,3.138602,1.106004,0.549341,6067396.808639
140.827250,0.005374,4.346088,0.623183,3897450.665280
149.584662,0.010123,2.495216,0.585747,6473560.461119
140.023906,3.138003,1.399986,0.506302,2534969.831040
145.634377,3.129943,1.898883,0.727571,10142123.322244
140.776315,3.139311,3.280955,0.693224,3867530.690880
167.467418,3.138610,1.537215,0.944716,11814275.891526
141.982286,0.002969,4.796871,0.936218,3977486.596800
147.056232,0.008524,4.447185,1.124093,6297780.611519
145.451777,3.140201,3.491875,0.452188,2758995.639360
146.477715,0.009010,5.830719,0.803698,5225897.528639
145.227038,0.006124,2.021264,0.425084,2881293.534720
150.259114,3.138103,0.423118,0.894642,4126712.469120
144.451781,3.139149,4.346455,0.481613,1866258.403200
145.988175,0.006176,4.541366,0.784831,5798865.038399
