# Initial point: r = 1.0 AU, th = 1.5707963268 rad, ph = 0.0 rad, ek = 0.1, s = 0.0 s
1.0,1.5707963267948966,0.0,0.1,0.0
161.157325,0.002581,3.733670,1.105670,16615683.783355
145.417231,0.001349,1.491176,0.230022,10716960.830405
142.210222,0.003322,3.166221,0.316308,7388737.678080
140.158225,1.475674,3.221120,0.708042,67594458.165307
140.123562,1.269276,2.645511,0.176196,13006586.871364
141.771419,3.137068,2.239607,1.010952,24758030.816622
148.733226,3.141233,2.629379,0.830423,8487922.737602
149.657693,0.003088,5.825549,0.679641,13021546.858564
145.576380,0.004429,0.209401,0.449680,11801559.902406
142.455482,0.006290,5.228051,0.493543,7141897.889280
140.576018,3.130806,1.517741,0.302357,7417161.653760
140.211426,3.127061,4.233943,0.648162,12577609.238405
140.852513,0.088818,5.931049,0.352471,30787279.657931
142.709180,0.007788,2.697397,0.481255,6439900.489919
140.362852,3.133980,5.657784,0.482448,15524726.716798
163.429061,3.141247,0.630881,1.217534,13701478.276802
141.069904,0.004728,3.956120,0.242853,19417689.385909
140.618594,0.004016,2.167851,0.674352,7749647.369281
151.706916,0.004113,6.074174,1.054497,15404298.819838
140.443958,0.019835,4.756393,0.225509,8603488.638722
140.607690,3.133993,0.033568,0.679725,12421277.372165
148.011432,3.139778,2.525099,0.702139,22382758.848942
149.278834,0.000240,5.817365,0.643987,13324486.599363
148.071832,0.007060,5.323835,0.779201,19319327.470069
151.031912,3.135696,0.011240,0.400883,8398910.813762
140.072594,0.730209,4.761107,0.249547,27647552.344316
140.246820,0.007753,1.308847,0.316079,7342735.717440
142.636003,3.137390,2.706114,0.433015,16974723.476154
141.117066,3.134237,1.092338,0.537282,9023490.279362
141.391613,3.130290,4.086501,0.394994,9158130.164163
180.166065,0.005358,5.789130,1.098042,21812783.336623
142.418234,3.137664,0.409210,0.337109,11228218.392965
148.565198,0.001412,4.357365,0.932050,7327775.730240
147.372881,3.136846,2.897756,0.570874,9021246.281282
142.522807,3.140039,1.272858,0.567326,10074803.379844
141.677328,0.010660,5.469869,0.371422,23139734.201260
140.224575,0.021993,4.876165,0.403317,14352985.719360
157.351841,3.136783,5.000624,1.073186,36976974.361960
144.942037,3.139770,6.179927,0.572218,27986396.054397
140.006851,0.020995,2.056341,0.411648,14461071.626880
140.002298,0.215392,0.464956,0.180867,13416864.520323
140.260791,0.658397,5.718893,0.234162,16683377.725435
152.671781,3.136779,2.473060,0.474302,25813831.913267
152.657962,0.003436,1.533771,0.594408,10758474.794885
140.837083,3.130304,2.732008,0.286771,26878609.002232
141.325299,0.002080,0.084466,0.554005,13157682.742083
156.433290,3.131353,6.100888,0.552323,6522928.418879
143.263163,0.001791,3.716701,0.688100,30170554.185608
141.983897,0.011882,2.804752,0.318496,17892892.690552
143.523218,0.016931,0.723685,0.491164,6314984.596799
142.208789,3.138207,2.495775,0.295289,8282596.913282
165.642604,0.017535,1.076916,0.833691,19412453.390389
147.567245,0.007453,4.386559,0.967914,38838370.769329
140.016025,0.857644,5.870219,0.325768,20448432.503986
186.753775,3.137395,1.195409,1.118970,13634906.333762
140.075080,3.135937,1.105909,0.253132,4416562.221120
146.494542,0.001959,3.599664,0.766167,39649202.075573
140.448099,3.135219,3.760937,0.350292,11901791.816646
140.056480,1.532323,3.725761,0.228049,19239291.538549
140.164758,0.073058,2.439965,0.245975,6383800.537919
146.559776,0.006949,1.884697,0.404499,11087968.512965
154.253099,0.000373,3.209696,0.763633,17951610.640312
143.984742,0.001078,3.031057,0.488568,16791089.633275
151.575895,3.139558,4.056923,1.111430,29345510.891524
150.751142,0.001526,4.582704,0.632134,18598630.086711
140.717399,0.251873,4.577118,0.879417,14846291.297279
155.600872,3.133699,3.858059,0.980084,7838285.293441
141.330977,3.132344,2.099393,0.343850,27306838.635834
142.328819,0.009859,1.425113,0.418448,22009133.168623
140.066094,3.005840,4.952114,0.164750,8813302.459202
147.737638,3.136400,3.860963,1.468881,9967465.471684
146.066069,3.137246,2.263852,0.369416,7951233.196801
142.491058,3.132470,5.926513,0.352605,19841431.023348
140.622580,0.006608,0.595563,0.381188,7299351.754560
140.315626,3.134844,1.546063,0.369500,10138383.325444
143.261714,3.140043,4.603752,0.391262,21168755.887665
147.140836,0.001722,2.490746,0.678865,6788468.191680
140.550419,2.998998,3.298005,0.210601,20592048.381106
140.415436,1.039057,1.420650,0.494175,24940916.660143
142.435868,0.004190,6.001545,0.491824,14659665.456960
141.400685,3.124912,5.773532,0.579989,11558086.110726
140.014795,3.127334,6.133212,0.581473,9310722.033603
147.884387,0.001772,3.897575,0.893229,7259707.788480
143.342318,0.012810,4.681499,0.449406,10874040.696005
143.504939,0.003609,1.140425,0.484076,8523452.707202
143.521632,3.139387,1.878590,0.230946,8247066.943681
145.052923,0.006748,0.064164,0.481414,26360993.445110
144.258430,3.130337,0.708526,0.394643,19391135.408629
140.094569,0.015394,2.893930,0.753503,36133979.083236
142.647676,0.005548,0.404695,0.420639,14542977.556800
142.478733,0.014268,5.932696,0.519557,14909123.243519
145.042336,3.136294,0.181489,0.775945,10397191.104004
140.157362,3.136061,3.011265,0.454874,9229190.103363
141.072777,3.136168,2.205117,0.274065,14074729.957441
143.776493,3.119528,4.931038,0.679107,51055444.316268
141.791481,0.012331,2.770360,0.366511,6694220.272320
147.193177,3.136724,5.591846,0.681258,11772761.927046
140.837584,0.000311,1.363547,1.251352,8051465.111041
146.847365,0.002790,1.256019,0.453256,8040619.120321
141.135931,0.008080,1.548271,0.635060,16987065.465594
140.720537,3.130753,5.109533,0.499828,10688910.854404
140.852286,3.134200,4.069889,1.063288,10132025.330884
143.054360,0.003054,4.142092,0.573861,6252152.650559
151.785798,3.139299,3.057245,0.606496,29556072.711365
145.311995,0.007715,5.876830,0.391544,4670134.004159
143.804636,0.006357,2.646182,0.494544,7909345.232641
154.365559,0.005509,2.621367,0.829004,19361215.434229
153.873460,0.007435,3.541843,0.352460,9185806.140483
140.450903,3.135943,2.491357,0.280253,5128657.611839
140.653373,3.111127,3.171125,0.258493,7004266.007040
143.107447,3.133906,0.824988,0.403579,13588904.373122
140.546706,3.136289,3.361563,0.832900,13913536.095361
142.633578,0.011295,3.586209,0.317053,13183488.720003
143.779790,0.002335,2.768985,0.601960,27279910.658874
140.818399,3.132275,1.913603,0.370141,7600047.497281
145.337358,0.007140,5.011787,0.407077,17035685.423994
141.915366,0.002789,0.844354,0.238689,9900893.528644
147.240151,0.004576,4.697928,0.668151,8441546.777282
142.133036,0.008956,2.658865,0.567651,7959087.190081
140.602034,0.006813,0.161516,0.942732,28628553.504961
160.056887,3.132387,1.992005,0.479127,11978835.750726
150.309012,3.140866,3.548759,0.361572,10304813.183044
142.494909,0.004571,2.632710,0.493935,19167109.600309
142.705397,3.137852,2.024331,0.462117,33545527.297944
142.288752,0.005282,4.281106,0.514111,11566314.103686
140.240052,3.135928,5.550221,0.358762,8973374.322242
177.761567,0.004890,2.545070,0.944694,15863944.426557
