# Initial point: r = 1.0 AU, th = 1.5707963268 rad, ph = 0.0 rad, ek = 1.44, s = 0.0 s
206.221995,3.139144,4.710949,1.824551,1581270.647040
188.316839,3.137804,0.342219,1.620392,298077.744960
156.482379,0.042544,4.749913,1.628493,224025.808320
144.608601,3.131848,1.583947,1.587607,403545.654720
149.111578,3.134697,2.819718,1.983666,902087.228160
143.907649,0.005206,0.448545,1.854101,1229710.947840
148.674586,3.137653,3.934320,1.701314,380357.674560
141.212692,0.002389,0.109687,1.903020,1740220.511040
203.163182,0.001528,2.452917,1.922287,1299648.888000
167.522902,3.141348,5.674145,1.621729,263669.774400
148.660687,0.006269,5.625120,1.618136,401675.656320
201.942633,0.002246,5.758742,2.006785,820181.298240
159.369245,3.140470,0.592469,1.753560,681801.416640
151.386351,0.005139,4.455253,1.739108,808587.308160
204.215170,3.126576,6.038101,1.657932,331363.716480
147.579338,0.001931,2.657999,1.665562,226269.806400
184.442878,0.006169,3.329472,1.665886,341087.708160
174.444720,2.303383,0.212078,1.934764,881143.246080
145.154080,3.138333,4.069994,1.707178,431595.630720
193.888904,0.012138,1.923262,1.651429,519485.555520
140.523498,0.001932,1.823322,1.852616,1302266.885760
142.595915,3.134758,0.088395,1.635746,253571.783040
183.283876,3.138916,5.549239,1.597516,191861.835840
200.924265,0.005172,5.095394,1.766936,548657.530560
183.376730,3.140526,4.826956,1.622149,680305.417920
164.524112,3.137288,5.522693,1.639949,464133.602880
167.109773,3.138886,3.670025,1.751808,345949.704000
149.112211,0.012414,2.790727,1.558266,197097.831360
188.104637,0.005759,0.345707,1.839930,760715.349120
172.119063,0.008550,5.354007,1.577721,240107.794560
169.170167,3.137585,1.746585,1.585194,244969.790400
187.130488,0.004874,4.140233,2.112183,1746952.505280
203.007943,3.129313,4.333216,1.920613,992969.150400
168.755053,0.004322,0.945295,2.291718,2503179.858240
162.757120,0.003610,0.700049,1.767314,531079.545600
175.276874,0.019066,5.024797,1.952833,1818760.443840
156.788934,3.139744,2.821336,1.582112,180641.845440
165.390354,3.140846,2.285099,1.871302,1031491.117440
184.234823,0.008066,5.429126,1.875436,872541.253440
155.062700,0.001231,6.067367,1.944090,976887.164160
146.913964,3.130977,4.240274,1.752621,447303.617280
157.301342,3.136005,2.948125,1.649869,339965.709120
177.401685,0.002841,1.933820,1.836317,1097315.061120
168.238486,3.141418,5.305337,1.992615,1655322.583680
171.710766,0.023385,1.032815,1.723031,383723.671680
165.898872,0.009401,5.644043,1.615813,340713.708480
178.186611,3.132808,6.090603,1.685395,915177.216960
179.833926,3.139766,3.122371,1.622073,462263.604480
155.620461,0.007647,2.384769,2.053539,1433166.773760
143.323885,3.139747,2.005698,1.701521,406537.652160
148.821548,0.002679,0.640990,1.652871,237489.796800
186.228328,3.133582,2.567732,1.600906,217667.813760
158.819337,0.004539,4.808856,1.638563,276759.763200
155.181570,3.134930,5.164373,1.569359,200837.828160
169.010545,0.008588,3.911714,1.670686,430099.632000
141.622142,3.136681,1.172736,1.722634,419253.641280
195.164957,3.135948,6.163620,1.681003,420375.640320
203.964520,3.134867,0.908804,1.785297,620091.469440
165.965639,0.001263,5.022531,1.761127,600643.486080
168.881988,0.001691,4.935265,1.707190,666841.429440
151.533431,0.008964,0.552589,1.565026,136135.883520
