# Initial point: r = 1.0 AU, th = 1.5707963268 rad, ph = 0.0 rad, ek = 4.12, s = 0.0 s
154.057905,0.009475,5.202425,4.553571,234871.799040
190.650675,3.129346,1.187080,4.363842,111077.904960
207.484970,0.002797,3.072870,4.436888,578951.504640
150.857918,3.136892,1.800262,4.401702,236741.797440
143.824678,3.134150,2.397297,4.332182,305931.738240
191.502409,0.008076,1.818290,4.373546,174657.850560
158.105953,0.014367,5.161070,4.480960,360535.691520
149.914816,0.005942,3.188569,4.219758,90133.922880
239.024020,3.138370,4.684755,4.661472,584187.500160
198.337738,0.002534,5.818934,4.299763,145111.875840
232.635727,0.008826,3.950405,4.598408,307801.736640
144.572385,0.012551,6.138675,4.383403,320517.725760
212.258651,3.140186,4.476439,4.335268,244221.791040
166.868693,3.139315,5.768896,4.316700,119679.897600
174.972928,0.008923,5.154984,4.382813,243847.791360
153.057849,3.140402,1.073649,4.232460,38895.966720
142.551075,0.013060,3.852521,4.258547,79661.931840
154.888358,3.140503,3.236034,4.280040,75173.935680
190.302566,3.137497,2.129056,4.331515,173909.851200
279.421647,0.003528,2.929453,4.830509,587179.497600
199.880927,3.128551,4.803441,4.925009,1259256.922560
208.552715,3.140227,2.621466,4.675083,781659.331200
169.442235,3.139262,0.265254,4.331193,146233.874880
175.590234,0.017632,0.231494,4.466777,365023.687680
185.199914,0.000275,5.226394,4.349703,210935.819520
177.134384,0.015634,0.860330,4.365093,504899.568000
193.179850,0.004340,1.750467,4.526611,206073.823680
263.763100,0.002572,0.721082,4.300544,126785.891520
148.886164,3.125628,3.237379,4.409327,172787.852160
264.480583,0.011801,6.023324,4.259029,48993.958080
218.773168,0.004489,0.236309,4.305327,241229.793600
152.104342,3.141454,4.633746,4.580960,163063.860480
163.347478,0.009311,0.726806,4.708819,996335.147520
140.496767,0.015403,5.955879,4.314064,89385.923520
180.301568,3.138007,2.126248,4.502801,461515.605120
269.772162,3.137480,0.090117,4.335808,93125.920320
216.181265,0.019183,0.822031,4.685652,547161.531840
216.705460,0.014829,0.049726,4.635915,431969.630400
142.130836,0.002365,3.410181,4.587390,1605954.625920
181.749761,3.129272,0.930161,4.423419,375121.679040
203.822980,0.001424,2.010026,4.340813,123045.894720
