# Initial point: r = 1.0 AU, th = 1.5707963268 rad, ph = 0.0 rad, ek = 7.85, s = 0.0 s
165.824161,3.138944,4.533407,8.174009,79287.932160
283.237162,0.002036,3.160376,8.077277,67693.942080
195.559226,0.013342,1.830848,8.185260,139127.880960
140.880242,0.023046,1.320254,8.054679,149973.871680
246.125700,0.014498,0.768778,8.185490,230009.803200
269.686230,0.029327,4.150291,8.466202,139501.880640
159.118095,3.140162,4.650855,8.209968,298451.744640
230.729465,3.124098,1.426662,8.279956,292841.749440
177.702412,3.136721,2.549010,8.541899,249831.786240
299.797468,3.135527,0.977046,8.124310,96865.917120
402.041298,3.117686,4.854316,8.042810,59465.949120
141.145660,3.136279,0.018447,8.386405,811579.305600
356.995308,3.140934,5.390544,8.185652,155957.866560
163.501917,3.138937,3.454962,8.042198,89385.923520
246.959600,0.007473,4.888545,8.154420,131273.887680
148.525459,3.132201,2.903333,8.084166,95369.918400
337.676270,3.135048,3.395505,8.109782,72181.938240
174.508360,3.139663,5.836564,8.114382,97987.916160
248.710774,3.104781,4.095847,8.450110,384471.671040
314.855583,3.137194,6.046741,8.408419,322387.724160
188.231160,3.140937,2.495435,8.129277,107337.908160
225.944429,0.008013,5.410922,8.945097,371755.681920
336.436156,0.000961,1.452240,8.000282,75547.935360
275.736392,3.139239,1.674295,8.065308,59839.948800
207.765729,3.139794,5.563529,8.265617,179519.846400
140.503224,3.131677,0.659665,8.004002,40017.965760
182.950677,3.140973,2.297454,8.097454,247587.788160
183.302352,3.132924,2.017551,8.057534,59839.948800
155.562488,3.136349,1.171257,8.023303,81905.929920
228.411663,2.978086,5.480772,7.927692,21317.981760
304.022379,3.124021,2.880203,8.183320,128655.889920
297.373166,3.139770,1.576407,8.563635,485077.584960
141.682666,0.005309,1.492818,8.141677,105093.910080
152.511902,3.138266,2.109467,8.039076,77417.933760
359.270800,3.134538,3.481594,8.038055,49367.957760
398.338461,3.141190,3.941764,7.988496,84523.927680
304.703617,0.005696,0.828299,8.055976,35903.969280
249.585972,0.006820,2.030847,8.096882,93873.919680
171.179880,3.130678,4.119277,8.292310,249457.786560
262.096622,0.005874,5.682259,8.128155,90507.922560
202.713481,2.680737,2.627791,8.128507,148851.872640
204.461094,2.951848,5.870847,8.173878,112199.904000
179.788715,3.139277,4.318857,8.175406,290597.751360
285.784954,0.040612,3.077392,8.127954,67693.942080
153.164964,3.133764,2.455267,8.146511,103597.911360
146.042093,0.015986,3.360925,8.180250,136883.882880
206.469890,0.003525,5.140923,7.969525,62457.946560
207.914192,3.138333,2.276657,8.015709,55351.952640
142.231388,0.026948,5.180072,8.110182,73303.937280
148.696591,3.135975,5.566757,8.676239,1173984.995520
190.499354,3.140240,1.777231,7.997627,80409.931200
283.050836,0.003746,2.881654,8.348327,155957.866560
258.256200,0.009112,1.026065,7.989246,117435.899520
146.127898,0.004454,4.944126,8.292956,189243.838080
173.291543,0.001753,6.174523,8.062622,104345.910720
223.953015,3.122406,0.153022,8.074390,130899.888000
210.431297,0.020919,0.613765,7.998276,41887.964160
235.383972,0.000838,4.702682,8.051183,135013.884480
344.078883,0.001243,3.782888,7.986003,41139.964800
227.016049,3.123722,5.096443,8.304374,799237.316160
142.905229,3.136756,3.331877,8.224800,106589.908800
286.217755,2.935066,3.143642,7.929795,9723.991680
202.884349,3.140428,4.150980,8.089387,89385.923520
145.202795,3.136732,2.972297,7.981101,69563.940480
371.494398,0.002770,0.579676,8.369735,276385.763520
166.360830,3.130899,3.517680,8.149440,151095.870720
189.033310,0.002987,2.528327,7.961959,22439.980800
157.512754,0.013081,2.367817,8.137897,113321.903040
186.336024,0.013773,0.852578,8.155669,99857.914560
150.966106,0.012429,5.876288,8.345250,298451.744640
173.766397,3.140623,0.029685,8.109084,84897.927360
151.818891,3.058260,3.147256,7.997010,62831.946240
175.865320,0.022075,5.056309,7.909829,10471.991040
236.892031,3.127663,3.857816,8.064855,142493.878080
189.689081,3.138768,5.054859,8.521651,229635.803520
228.904629,3.135196,2.822173,8.030160,55725.952320
219.946904,0.008978,1.247949,8.189719,135761.883840
214.164537,3.140512,0.534150,8.114379,154087.868160
140.970618,0.158490,3.938800,8.125769,87515.925120
161.042223,3.127344,0.617587,8.188524,197845.830720
242.138929,3.133797,2.202108,8.110859,118931.898240
184.977557,3.134028,5.118905,7.970391,44131.962240
141.948093,0.008516,5.164781,8.170046,320143.726080
147.870389,0.007903,4.556542,8.309324,243473.791680
142.710845,3.139516,6.045678,8.380577,146233.874880
181.633265,0.003093,0.196997,8.276958,154461.867840
150.276408,0.003961,1.668998,8.205313,263669.774400
283.468473,0.007042,0.656562,8.078078,152591.869440
248.512664,0.017825,4.801130,8.181840,244595.790720
231.412927,0.005136,2.362539,8.106344,83775.928320
155.971421,3.140749,1.633487,8.275691,188869.838400
274.263259,3.134731,4.516032,8.589482,328745.718720
157.885687,3.133146,1.517887,8.280530,528461.547840
143.136322,0.008956,4.291328,8.161063,65823.943680
145.651351,3.137234,5.483352,8.128825,122671.895040
150.346689,0.001453,0.050631,8.124587,95369.918400
275.413732,3.135064,1.459616,8.040184,65823.943680
140.477962,2.190345,4.775560,8.864646,1590994.638720
151.086786,3.135836,2.006170,8.312529,265913.772480
172.799294,0.063784,0.791184,8.254088,178023.847680
381.563475,0.008815,6.264954,8.153959,134639.884800
515.389987,0.205928,3.167082,8.073976,59465.949120
233.135226,3.107575,5.495725,8.077001,85271.927040
175.477159,3.125978,4.081103,8.144053,61709.947200
238.050290,3.137514,5.004339,8.049076,114443.902080
221.571713,3.141459,0.752547,8.011758,50489.956800
411.201113,3.134999,6.243168,8.007468,68441.941440
234.446703,3.139186,5.367238,8.581222,476101.592640
193.863328,0.005488,0.932755,8.074329,76295.934720
146.573495,0.004127,2.253217,8.130533,180641.845440
300.339586,0.025866,3.970473,8.092237,191113.836480
154.250131,0.004754,1.345664,8.140895,109955.905920
383.671900,3.139901,0.821892,8.417691,185129.841600
273.833908,0.003157,2.811015,8.044832,43009.963200
283.128693,0.021877,2.393506,8.043300,202333.826880
333.302501,3.132333,0.263009,8.110291,100231.914240
248.774066,0.116841,6.124640,8.217560,95369.918400
172.392400,3.119705,5.568900,8.246167,86393.926080
214.421718,0.089437,0.952808,8.153750,66571.943040
205.267203,0.005011,1.560628,8.181173,166055.857920
207.813831,2.994491,4.107844,8.253738,133891.885440
342.830319,3.133082,5.440308,8.121407,127159.891200
147.752846,0.029806,2.581985,8.167831,206821.823040
300.392779,0.004887,0.751782,8.431588,324631.722240
174.309373,0.014840,4.933880,8.214136,157453.865280
230.698122,0.003981,2.748750,8.195982,172039.852800
243.965471,0.010241,0.627805,7.989965,34407.970560
