# Run exit points.  Columns are r (AU), th (rad), ph (rad), ek (GeV), s (s).
148.469479,0.006635,1.710856,1.308754,2049144.246720
156.056530,0.005882,0.728759,0.835035,1288054.897920
163.307263,0.001291,2.355862,0.670605,1075623.079680
168.558170,0.017177,0.962522,1.153033,6633258.324480
141.836735,0.001035,4.769524,1.004054,5634305.179199
146.889479,3.134905,4.623976,0.737687,1525544.694720
146.193742,3.131197,1.105837,1.244679,5286111.477119
142.671638,0.005066,3.075078,1.145825,4515298.136640
151.789231,3.140344,3.380931,0.656376,695639.404800
148.075723,3.138779,1.451452,0.673616,967163.172480
144.847234,0.007040,2.546772,0.717054,943227.192960
156.214196,0.002246,3.570594,1.541827,5288355.475199
142.664618,3.136414,2.004698,0.741633,1566684.659520
143.225039,0.009094,1.558361,0.629230,518737.556160
141.492207,3.135836,0.396040,0.734309,2435859.915840
147.447354,3.137097,0.537639,0.743247,1188944.982720
140.561484,0.005770,3.136696,0.676353,1156407.010560
140.549200,3.132668,0.596199,0.688624,593537.492160
160.530481,0.006172,1.375454,0.804196,2156482.154880
151.721463,3.135622,4.843412,1.304473,4703419.975679
146.037586,3.133653,4.921087,1.106157,3382079.106240
156.221516,3.138214,3.586336,0.866895,1862518.406400
170.919967,0.002892,4.245324,1.000497,2851373.560320
145.129466,0.005102,0.033424,0.865497,2170694.142720
140.269937,3.136907,1.428888,1.231206,7751891.367361
146.831728,3.137410,2.904404,0.765886,1184830.986240
163.955652,3.134368,0.508813,0.910296,2742913.653120
154.979273,3.137751,6.029497,0.668890,1442516.765760
145.911764,0.007698,2.895598,0.781722,1778742.478080
154.782940,0.002811,3.362313,0.908757,1255142.926080
149.811004,3.139717,3.899462,1.005223,3840228.714240
147.908229,3.137280,1.310309,0.870566,4035456.547200
146.731747,3.131840,0.494905,0.627360,887127.240960
142.069283,0.008238,2.340258,0.621718,877403.249280
140.770155,3.131010,1.008302,0.796926,3259781.210880
163.204103,3.135017,6.050712,0.774217,1285436.900160
142.947260,3.136928,3.381844,0.841432,1917122.359680
155.209141,0.009887,5.417868,0.788573,1629142.606080
140.718440,0.007938,1.103505,0.724384,2638193.742720
165.622922,0.008210,4.803289,0.986986,3005461.428480
142.376681,3.134445,4.568562,0.696066,925275.208320
146.117239,3.141421,2.601687,0.715659,785773.327680
146.517639,3.134050,1.887201,1.048726,4972325.745599
152.675873,3.135350,0.758391,0.604628,342209.707200
140.027330,3.137985,4.898730,0.746379,1519186.700160
148.563072,3.138185,2.919463,0.747387,1650834.587520
164.890592,3.137954,1.266711,0.985270,1249906.930560
142.774792,3.139731,3.018880,0.823171,1385668.814400
152.198885,3.139165,3.206062,0.701463,1371830.826240
143.888793,3.137647,2.286270,0.654887,1191562.980480
145.678299,3.138263,2.699599,0.610674,472361.595840
158.376242,3.140200,2.270236,0.880505,2432493.918720
140.148897,0.003744,0.449884,0.562729,391203.665280
141.735967,0.003330,4.490511,0.765043,1361732.834880
152.287358,3.136338,5.392943,0.865913,2789289.613440
145.288943,3.138762,4.730947,0.734141,1560326.664960
150.549828,0.006278,3.896643,0.649179,1593986.636160
155.988667,0.002124,3.882771,0.814690,4627124.040959
172.341660,0.003508,5.341139,0.885360,4234424.376960
149.178629,0.003502,4.589129,0.893749,1484778.729600
141.153290,3.134502,2.558618,0.923392,4465556.179200
144.923259,3.138568,4.049962,0.646951,1390156.810560
142.390441,0.002565,5.968906,0.586437,512005.561920
142.687720,3.138225,0.056207,0.733911,1568180.658240
141.149626,3.133913,5.797801,0.939091,4249384.364160
145.437668,3.135443,0.694071,0.693045,1019523.127680
147.157128,0.005430,3.287065,0.590302,664597.431360
141.935169,3.135724,5.632578,0.805921,2302342.030080
149.530030,0.001407,6.045320,0.914099,8821904.451842
151.179419,3.133920,4.794029,0.862718,2050266.245760
142.182790,3.134118,2.774288,0.883876,2984517.446400
