# Run exit points.  Columns are r (AU), th (rad), ph (rad), ek (GeV), s (s).  Made with my code. 
170.770036,0.023479,6.075513,0.871695,29652938.628485
140.489997,3.129734,1.555062,0.229100,14290901.772481
142.228540,0.009389,2.386359,0.460142,21658695.468463
142.209468,3.134213,4.205914,0.450765,28181623.887358
144.734571,0.007080,2.273562,0.434823,41450010.534782
140.324358,2.595699,4.899731,0.466873,37923941.551725
140.025515,1.106759,6.070232,0.056420,23712327.711339
156.466864,3.141306,2.893201,0.903104,75544195.363425
141.844873,3.128722,0.297245,0.227253,24395625.126700
142.316327,3.141207,2.355219,0.563650,74075872.619738
142.135072,0.012582,4.828683,0.521036,30167936.187848
143.538828,3.132871,3.977793,0.682892,38987596.641650
141.881832,0.012228,2.172640,0.672438,75342609.535904
140.442715,2.453107,5.163755,0.053070,28709337.435841
140.180931,1.154813,1.463760,0.079516,43849966.481353
141.867440,0.003053,0.779995,0.520365,17534974.996793
150.097887,0.002720,0.383284,0.571217,26887584.994552
141.360187,3.139637,4.248701,0.315790,39282308.389491
140.857715,0.008108,4.793109,0.386947,38301681.228527
146.122324,0.003899,1.617610,0.411130,20814578.190705
146.977657,3.132097,2.605114,0.510750,68306927.555710
140.139671,1.243773,1.860783,0.051981,18427338.233271
140.036548,0.640022,5.041718,0.120448,27246998.687034
140.098705,2.630413,5.532920,0.437896,32227178.425938
140.153923,1.004687,4.076416,0.450976,57077213.163976
140.319178,0.008753,3.172848,0.324671,21498997.605104
140.414057,0.481324,4.955774,0.395138,54221351.607483
140.040145,2.582374,2.000076,0.286300,26403255.408950
143.778202,3.132293,0.564642,0.549302,64487642.823532
144.963442,0.004436,3.495872,0.499567,54382919.469244
140.157897,1.064175,4.461427,0.184653,47445599.404890
142.950055,0.013522,4.909581,1.058356,21633263.490224
141.011345,0.012132,2.926683,0.389336,27383134.570555
142.619974,0.007165,2.529785,0.685513,24520915.019501
144.005028,0.000642,0.894876,0.907422,33913168.983386
142.514307,0.005252,3.820758,0.382853,30270412.100168
154.349613,0.000683,0.692708,0.798352,74162640.545498
140.088938,1.367896,4.372203,0.100239,22441850.798382
151.529803,3.139452,2.001023,0.620908,24951762.650863
142.074462,0.000926,3.734560,0.743644,49779731.407782
141.428218,0.011619,3.632051,0.402127,26787353.080312
158.091413,3.138264,2.277015,0.806832,85396842.933392
147.807980,0.007354,5.479430,0.810782,36933964.398760
140.068239,2.223983,1.643792,0.390966,45557275.020561
140.577131,3.139954,4.651258,0.365338,46513966.202006
143.701907,0.001645,1.221500,0.368593,10954450.627205
140.042645,2.103274,0.778551,0.238045,37889533.581165
140.026912,0.684870,0.511373,0.587985,47986028.942493
142.402447,0.005182,1.377608,0.545837,17250735.239994
140.004526,2.244424,0.399539,0.174746,28144223.919358
156.332534,3.137863,2.602916,0.743164,42776587.399748
151.474264,3.138673,5.838181,0.609873,75603661.312545
144.194820,3.129569,3.195087,0.359046,20148484.760627
146.716858,0.003792,2.865861,0.443253,30747261.692171
143.653506,3.126982,5.852874,0.531884,15776428.501437
152.966463,3.136616,3.949069,0.850329,41748462.279423
146.429099,0.003132,3.272688,0.902908,35703879.451234
144.100946,3.138062,1.726321,0.773012,25939869.805428
144.635925,3.136344,0.206306,0.601260,22898504.407661
140.169586,2.557280,3.306206,0.049281,12080189.664006
155.048834,3.132234,0.092341,0.704341,36316864.926757
140.562498,3.127232,5.816464,0.535782,33932242.967066
145.886687,0.002119,0.391679,0.478382,28775909.378881
140.349022,0.808338,4.762187,0.485339,46222620.451285
153.019854,3.140647,1.319148,0.838227,16663181.742715
146.753752,0.008732,5.285214,0.564255,34501470.480029
146.199577,0.003033,4.424838,0.418644,17267939.225274
145.392526,3.137556,5.546420,0.735132,56839723.367175
148.134966,0.005491,2.385343,0.713269,48477464.522015
143.488378,3.140607,3.007073,0.611347,22709634.569261
143.179007,3.137806,1.022982,0.367591,34230694.711707
159.917778,3.139794,4.617685,0.903257,32964705.794901
142.109609,3.128345,1.828333,0.348698,64437152.866732
148.104373,3.135749,1.887846,0.396850,30127544.222408
152.386710,0.003457,1.567690,0.727961,61328841.526237
140.560475,0.873955,3.436013,0.367430,76618322.444390
140.624332,0.008107,0.670582,0.238615,19522035.296628
157.481226,0.005790,1.938050,1.053194,30575221.839370
140.159541,2.608820,4.678861,0.167713,51148196.236908
140.283726,0.589352,1.978564,0.072888,15205704.989758
140.677303,0.006259,4.157363,0.598036,79263996.180722
154.852457,3.138383,5.947214,0.454169,30434971.959369
140.121523,3.137883,2.415565,0.245642,46905917.866648
145.387134,3.136206,0.459776,0.465906,35077803.986911
141.003819,0.011596,3.057281,0.247084,26831859.042232
152.084202,3.136837,5.081591,0.348823,14502959.591040
140.529790,2.880652,6.225920,0.221952,25349698.310385
140.696690,1.011000,3.347991,0.093619,31108171.383372
140.074836,0.391048,3.672840,0.042405,9001424.298242
150.180852,3.140711,2.154343,0.742740,49961495.252262
145.613720,3.140939,3.954876,0.797047,23787875.646698
146.872584,3.132189,5.647132,0.707340,44057162.304074
141.519407,0.003599,0.019363,0.386264,45949226.685203
140.054378,1.681600,5.315178,0.218903,51322854.087469
140.128317,2.930762,1.300547,0.398475,33350299.464983
148.750827,0.001732,2.518567,0.632400,52390997.173554
142.511691,0.002441,1.042652,0.470751,46747716.002007
152.291298,3.116459,4.717767,0.339893,42208855.885505
140.003275,1.355632,2.542005,0.174101,49213869.891939
140.194706,2.272598,3.914830,0.231407,30808597.639691
140.163910,3.131675,2.474076,0.502549,19662285.176628
140.239589,2.629419,0.807049,0.192874,36758558.548839
142.425954,3.133596,3.540436,0.561461,26331447.470390
147.789837,0.011790,4.298606,0.359205,19485757.327669
144.928915,0.001389,4.177735,0.533496,17747032.815353
141.128688,3.129758,5.180432,0.523368,24653310.906222
140.277536,3.135858,4.607695,0.428420,15816446.467197
147.488813,0.005888,3.998085,0.801766,35960443.231716
140.054491,0.399314,2.947275,0.698315,65888271.625138
145.749126,3.139527,1.820187,0.464569,21969115.202863
140.216066,2.830684,2.775850,0.323483,57673368.653899
148.726498,0.003838,4.261577,0.640140,23219022.133420
140.233759,1.009288,5.563055,0.073197,26120137.651189
145.376654,3.087125,5.002586,0.657586,20578958.392306
140.086920,3.129565,0.875190,0.330740,46613076.117206
143.361403,0.012174,0.145437,0.362590,34062768.855386
140.360894,0.004098,0.904967,0.788936,41203918.745341
140.275641,0.139241,4.266660,0.096897,28779649.375681
143.954129,3.137285,1.793313,0.315003,21848313.306223
140.496732,3.090883,5.182111,0.181534,27814730.201277
140.231261,1.694664,0.672507,0.126370,46266378.413845
144.046276,3.136206,2.769953,0.636632,39181702.475571
142.230496,0.004231,1.615767,0.353468,21218497.845104
142.071948,3.135486,4.570453,0.401600,39867991.888374
142.289447,0.010592,3.060018,1.052244,55929034.146371
141.091427,0.010374,1.207379,0.405398,25678070.029426
140.304720,3.122548,3.692731,0.524283,23375353.999659
140.248756,2.812832,0.872985,0.158188,55944742.132931
148.311082,0.006961,0.197536,0.386785,33440807.387544
142.269906,0.008294,0.628009,0.676121,22714870.564781
142.853457,0.011112,6.041122,0.840605,37305346.081002
166.137101,3.140237,6.177117,0.898907,30261810.107528
141.365299,3.132143,1.117919,0.364232,13897454.109122
140.557926,3.134615,5.709967,0.275665,32451578.233939
140.114698,0.332324,5.834483,0.103884,37983033.501165
141.948150,3.136096,5.406022,0.538852,17957220.635512
140.298345,0.163172,3.773899,0.330193,14577011.527680
143.391699,0.004683,5.047583,0.611001,58940853.569425
140.120732,1.486633,5.826393,0.127711,37756015.695404
140.499241,0.020390,2.249308,0.182061,25973903.776308
140.373854,3.133423,0.618303,0.495156,26340049.463030
140.209257,3.135050,1.110519,0.337515,65851619.656498
141.003914,0.016493,0.385376,0.588590,22164343.035822
140.183026,1.100226,2.950830,0.265450,35534457.596194
141.221658,3.139290,6.131813,0.247799,27880180.145277
141.567375,3.128252,2.333507,0.359990,43690642.617672
140.097619,1.366754,1.795986,0.069126,18128138.489272
140.229779,1.924113,4.717422,0.179385,34833956.195550
140.092390,0.405737,2.651318,0.124545,47595947.276251
140.932546,0.008544,0.430156,0.815282,40044145.737655
141.925128,0.004952,0.710491,0.493509,30507901.896970
140.000141,0.715332,5.522828,0.068324,25304444.349105
142.006791,3.136934,3.901390,0.500526,59281567.277907
152.845895,3.127542,6.012755,0.648339,25623466.076146
156.637440,0.003987,6.033670,0.816452,40807853.084219
143.069754,3.139056,3.377100,0.821198,20538192.427186
141.591465,3.124556,4.173113,0.214636,22701780.575981
142.537849,0.007410,4.667394,0.752053,32690938.029140
151.839413,0.005168,4.463464,0.546386,71394668.913805
144.372142,3.138406,4.257888,0.721465,25805229.920627
151.052372,0.005123,0.909603,0.578991,55867324.199171
146.762398,0.001728,3.956004,0.598327,18665576.029430
148.006338,3.138201,5.878147,1.059276,41071148.858940
140.138733,1.493815,6.111851,0.087191,33461751.369624
150.306786,3.137023,6.108320,0.704114,43782646.538953
141.181363,3.129793,1.865114,0.837842,79495875.982323
140.016217,0.020325,4.886564,0.497807,37207358.164842
143.385298,0.000732,1.928193,0.848557,33022675.745302
142.940482,3.129389,1.794035,0.418269,80315309.281207
140.235609,0.007027,1.543162,0.346306,33717567.150745
141.018201,3.132207,1.654405,0.496385,39934563.831415
143.997298,0.003871,0.935594,0.711688,59551221.047188
142.015883,0.003150,0.067815,0.236248,33906810.988826
140.428553,0.031434,3.318424,0.526144,57131069.117897
154.308313,3.140671,3.721282,0.953921,29335412.900164
141.501646,3.131037,4.695128,0.306253,19172345.595829
140.003327,2.577208,5.484413,0.060781,18294942.346551
140.033216,0.514805,5.139484,0.107429,16521435.863995
148.759875,3.140941,3.436458,0.436866,19984298.901107
141.699853,0.009280,3.878041,0.449468,24041821.429419
144.188518,3.140701,0.924562,0.552285,27645308.346236
141.422904,3.128479,2.700275,0.578745,19380663.417589
175.878495,0.018911,4.179955,0.917114,36257398.977637
140.293039,0.069888,2.255107,0.404996,34268094.679707
140.499146,2.074922,4.780364,0.061111,22573498.685741
140.300667,3.134283,1.118867,0.924216,57340134.939018
140.373011,0.964154,3.690673,0.156170,24533257.008941
140.604852,0.002959,1.366611,0.784705,43133757.094150
140.107008,2.795597,1.778535,0.297021,50849370.492587
140.889440,3.139828,4.084266,0.371030,63028296.072165
140.025271,0.260729,2.359256,0.042952,17094777.373434
147.642469,0.001953,4.248898,0.565096,79607327.886964
143.061612,3.128286,5.624215,0.661520,32864473.880661
141.156191,3.125468,2.203663,0.415013,38143479.363886
146.421487,3.138909,2.214120,0.717290,42794913.384068
148.334016,0.002849,3.372622,1.235197,57618764.700619
140.076687,1.680907,0.294216,0.057370,22434370.804782
147.679570,3.133055,4.435052,0.580936,35532961.597474
140.946018,3.137979,5.857928,0.366015,14670511.447680
142.028785,3.131717,3.327722,0.354663,18594142.090551
147.589891,0.001652,2.084853,0.260690,20615984.360626
140.813465,0.344947,0.807596,0.184854,26584271.254071
140.333612,3.137283,6.021614,0.961601,38786010.814129
140.832414,3.133840,0.276980,0.325113,47067485.728409
