1.000000,1.570796,1.308997,0.880486
0.005000,1.570796,0.523599,0.996592
3.141416,1.570796,0.523599,2.564613
0.501771,1.570796,1.305474,0.797488
1.000000,1.570796,1.308997,0.880486
0.005000,1.570796,0.523599,0.996592
0.501771,1.570796,1.305474,0.797488
0.750884,1.570796,1.307820,0.802223
1.000000,1.570796,1.308997,0.880486
0.626327,1.570796,1.306880,0.790101
0.501771,1.570796,1.305474,0.797488
0.750884,1.570796,1.307820,0.802223
0.626327,1.570796,1.306880,0.790101
0.564049,1.570796,1.306255,0.791356
0.501771,1.570796,1.305474,0.797488
0.626327,1.570796,1.306880,0.790101
0.595188,1.570796,1.306584,0.790115
0.564049,1.570796,1.306255,0.791356
0.610758,1.570796,1.306736,0.789954
0.626327,1.570796,1.306880,0.790101
0.595188,1.570796,1.306584,0.790115
0.610758,1.570796,1.306736,0.789954
0.618542,1.570796,1.306809,0.789989
0.626327,1.570796,1.306880,0.790101
0.610758,1.570796,1.306736,0.789954
0.614650,1.570796,1.306772,0.789962
0.618542,1.570796,1.306809,0.789989
0.610758,1.570796,1.306736,0.789954
0.612704,1.570796,1.306754,0.789956
0.614650,1.570796,1.306772,0.789962
