# Format: pObs, pObsTheta, pObsPhi, pExit, thetaExit, phiExit.  Units: GeV and radians.
800,2.97855665169502,2.4533545325840667,800.0497244999991,0.24430050140897772,-0.3282745382777272
800,2.2733370912253603,2.7889960513284056,800.0267139584815,1.0227726915409412,-0.31710819299496357
800,2.219488653215941,1.0732048089824913,800.0287071794685,0.9768174260095701,-2.0145048383309136
800,2.9389635540936005,0.8811048688258225,800.0507087484594,0.14154325107645777,-1.9731393614044812
800,2.2629967563981745,0.13341486076472098,800.0314747851327,0.9083721284475478,3.1353788287476747
800,0.8666048747375079,3.1379636863803704,800.0019112114322,2.1581894166425237,-0.008063139269416193
800,0.7883481758483013,4.910972767111042,800.0048042969024,2.2116398609990315,1.712818300765026
800,0.8858350759437483,4.768303300863439,799.9999989775642,2.1123573022320117,1.588008789488966
800,1.963055916499604,4.819231629361065,800.0103523128253,1.3831451409685582,1.637672571186807
800,2.999078385727742,0.34850222157184785,800.0511403376884,0.06083284721481976,-3.1097006338438637
800,2.5728293109522555,1.2517899709415063,800.0425241433802,0.5923616584220872,-1.7697431093811398
800,2.4422961322933405,1.0353672452319902,800.0385244714979,0.7205378288464322,-2.0310729051181444
800,3.0537870783278898,1.676319734651786,800.050919136937,0.11488622280521348,-0.49891263317902934
800,1.225579949983448,1.9382341297450054,799.9852252214416,1.8005602563756635,-1.2044404961612623
800,1.7116954675812863,3.619236226135561,800.0031539730121,1.494733817615796,0.47340966056497563
800,2.092139570648426,5.92295517006562,800.0164191050998,1.2437104052061283,2.6198345425749032
800,0.9610597835922361,0.5697244988317758,800.0087404606222,2.1267468034418004,-2.5845426389614308
800,3.0429750537954847,1.6879965005860305,800.050850361765,0.12353696977172361,-0.579111130061067
800,0.46028128892477893,5.382122778615212,800.0200098169496,2.601555443956062,2.084581833499455
800,2.7041476300361182,0.9662332471604547,800.0469397828521,0.41408906618268193,-2.0562441594602947
800,0.9950674711561396,4.951539972107502,799.9944040377854,1.9898876936036793,1.7757028108464903
800,1.6924020686965955,0.9985242373249372,800.0076781523096,1.468085597777087,-2.126662152950401
800,2.562836672032346,5.757388606969711,800.0406887934206,0.6548165960165181,2.413525938309425
800,1.43281032433564,1.5765680268173776,799.993615650786,1.6764182962722671,-1.5620039098165963
800,0.4003300652756314,4.305822970531972,800.0196286288457,2.639083420522167,1.080975260948031
800,1.423817492680607,1.1386409341688237,799.9971366548759,1.6668853621182032,-1.9939583950887063
800,1.0063459465813827,2.235600492476644,799.9963982412646,2.0062420935541203,-0.8964497649299253
800,0.8375244364186645,1.931419896702872,800.0068746405527,2.180504065831827,-1.1740887862769083
800,0.33522297766943243,0.695977658078176,800.0265475655544,2.828308791279863,-2.3795301066318415
800,2.0497648186731325,1.783709044614767,800.0177711360739,1.2166333477017313,-1.3119873851870452
800,1.9335467481418762,5.28209699223714,800.0097944738304,1.4160636766112435,2.0837060899431155
800,2.4353484014804394,4.985565355135458,800.0331545368166,0.867435943379682,1.7327313233656771
800,1.9856546452848285,3.410436143959636,800.0119630690416,1.3351144550673923,0.2697850045125063
800,0.30001418117376843,5.643855342798901,800.0249890820819,2.81323329375523,2.263133041922766
800,0.6953046381802039,4.862313402137081,800.0091005820032,2.31524680331011,1.6538723913677507
800,0.44726466419024025,4.594573912107798,800.0184553192196,2.590929002615635,1.356729388666447
800,1.1492563319853915,0.3587280985058161,800.0019911686044,1.9426982289684303,-2.859135211072095
800,0.2799125907093596,0.9042131564663984,800.0270177032176,2.879914627600994,-2.0937911015180966
800,0.07215690452103729,1.6085489159458009,800.0275468175754,3.0508314994425527,-0.7160683676976075
800,1.2337443421836323,3.9025311187311775,799.9924475821293,1.8038498021695233,0.7509235165563157
800,3.039647783829162,3.1970275055408166,800.0500984361576,0.21091754532728493,0.2414830840197782
800,2.158929379648569,2.9470260258986993,800.0211008506482,1.1466249559371013,-0.17282239417480086
800,1.2862962068330948,3.494628017395497,799.9938840721211,1.7753678562825101,0.34621334897841793
800,2.468653635034469,1.7541832668163284,800.037257266458,0.7569093434612411,-1.2827545641267144
800,2.897547582894129,3.815655129588304,800.0477098862051,0.373639307735658,0.6233026438214936
800,0.4774173343598602,2.091843949464163,800.0198701715199,2.5750123807075513,-0.9634288732671706
800,2.538277860530445,0.20143138578782782,800.0426620139364,0.5880166430067066,-3.0565330777507973
800,1.316014348434904,1.0494646838217054,799.9969879762016,1.7154111271182237,-2.0759658195039377
800,0.8392001662009241,4.58028509657826,800.0023428433244,2.167417298466166,1.401970880407079
800,2.646329887783713,5.390052405944802,800.042517317257,0.592323287190506,2.042445192286793
800,1.6434521260982304,4.151253881754744,800.0012183052274,1.5447943412257865,1.000400719908069
800,1.0091639252254598,4.92723219396432,799.9937570847771,1.977154332207117,1.7537589792496548
800,2.8194070310880335,1.4343685655604164,800.048500596624,0.3285933523127966,-1.4522445474431995
800,0.43491901015966095,5.608496784355983,800.0216374272158,2.647784281658239,2.2910991015826325
800,1.6210070235727079,4.678306421165765,800.0006749445643,1.5632166828876208,1.525424744479078
800,1.8417500670141367,2.647234158282682,800.0084276560457,1.4010050549953263,-0.4798757031817042
800,1.5454466613647764,3.267552235722203,799.9987109412233,1.610176742309316,0.12403378959030802
800,2.440172211186564,3.2519863329521996,800.0334282414296,0.8603608261175409,0.13035086581690744
800,2.6665918315731485,5.973783061706634,800.0449907143076,0.49938407132303636,2.604118324557244
800,0.6570686687873919,3.756115876804815,800.0102410798,2.3669198731084893,0.592249560645621
800,0.9603320204758123,1.0268045153885046,800.0069822044809,2.0852731441443235,-2.078195110115427
