# Format: pObs, pObsTheta, pObsPhi, pExit, thetaExit, phiExit.  Units: GeV and radians.
800,0.10226844334049767,4.3052415388301775,799.9739294498738,3.049998643259234,1.0713733996947916
800,2.6014303636423755,3.911660566975222,800.0376639327607,0.685609613220222,0.7364032046677079
800,1.1226075008038396,0.7086648018118353,799.9969266629632,1.9774367073957255,-2.4267095846244713
800,2.336076503589009,5.779367825760556,800.032536465118,0.9201063854864453,2.4743140308401586
800,0.3303448868949941,6.27137095584135,799.9784375897921,2.779047118928362,-3.1320209382539965
800,2.5994415240945443,6.024113824624269,800.0430806874115,0.5734267468003416,2.676458433552555
800,2.834182800360124,5.739806289267225,800.0484745182932,0.3299986786624221,2.2600699453300614
800,1.8899301612075412,4.537957077657058,800.0106344229853,1.326046898187707,1.3755616369889965
800,2.514235503814187,5.495460649979263,800.0377858183153,0.7434671172974685,2.179423663030932
800,1.2594766741605152,1.8798690776559308,799.9864752228161,1.8651769171719728,-1.2679173944577828
800,1.7452459680650483,2.21270611234314,800.0061348753358,1.4340327396834405,-0.9131316680334246
800,2.466278638734229,6.113845831929151,800.0384929605525,0.7218242585690503,2.791872965756533
800,0.39741387954492247,0.29573818550379727,799.983729783179,2.7064631917691266,-2.8242770395427956
800,0.4387009769273651,5.8097074308032255,799.9692993309365,2.649468281040774,2.6783688895618236
800,3.1196188318219704,2.515766631956927,800.050911718831,0.11538423534862827,0.2857102925852603
800,2.688040028976845,3.145260563995155,800.0420225623205,0.5896954936820947,0.05506552295269665
800,1.430718582171128,1.7327713067785098,799.9935094684113,1.7087875129187435,-1.4065016624494424
800,2.429359084041452,5.474112450792772,800.0344979404148,0.8441514096219049,2.1791499919206667
800,1.850100033090687,3.8548399090292005,800.0074193252311,1.3538630191387968,0.7054719253164409
800,0.0894416194994907,0.806276234812656,799.9733740045613,3.0204947355353378,-2.177684809827645
800,2.297020734124815,1.9406485269783964,800.0299615970171,0.9197599025041305,-1.1338381722634345
800,2.8914203748112586,6.142783497177918,800.0500197718704,0.218069911503643,2.637234337350466
800,0.10546940379293712,6.038412076820949,799.972902846365,3.0273971873924643,3.1025244381836288
800,1.6132651004701675,5.339024519806097,800.0005935307817,1.5806816424289287,2.1861560632805204
800,1.2206505349169205,5.519652776181081,799.9692813749765,1.8873197461880689,2.4051405157103543
800,1.9662243873135665,1.10989704824794,800.0214777041898,1.1920161159493672,-1.9978155951802412
800,2.869283399907502,3.307668567934611,800.0471977799049,0.39992662182950944,0.22573420107711606
800,3.0718062188543946,0.9654015537261635,800.0511601338816,0.049018511113185614,-0.3606370258794509
800,3.092667108021886,5.515639468044419,800.050981888015,0.1039537462296049,1.0585919424562258
800,3.1232420734140316,5.422434777099253,800.050959131869,0.1013436261672013,0.7047218232009088
800,2.440413129305405,1.7666533532879,800.0362077411206,0.7750255971193526,-1.2787167960453965
800,0.8264436097245764,0.4898555670869369,799.9905528224198,2.2511300223542214,-2.659766938541093
800,2.2439620569186323,3.591690093329186,800.0220140638755,1.0031674809507587,0.44787545391772376
800,2.8212680770766374,4.545389941390269,800.0463051739719,0.4424035842777887,1.2296070039780789
800,1.6966997970537117,4.390864969974624,800.0030929498258,1.492511829588632,1.237243257267786
800,2.3927189402162865,1.3699679519741874,800.0360655579904,0.7978774013163156,-1.6841128794950342
800,0.5762301195042783,1.47895938942637,799.9760107890083,2.4618431756027856,-1.654266015099704
800,1.3922240174148799,0.40695525195097915,799.9995291909952,1.7882406381306075,-2.762532493551222
800,2.2190880592843323,1.1001604988358507,800.031069984565,0.9513921265083074,-1.9878104873927926
800,1.4524067339134765,3.550502614954624,799.9965456830842,1.7040483175504484,0.403801392246246
800,0.5617063936544557,0.4208740560712272,799.9875206513044,2.5254356685430226,-2.712991873620335
800,3.0100559574762054,5.633598588960659,800.0506638979875,0.1513353722782806,1.756886502862611
800,1.096670452785415,5.977603796229905,799.9535093994886,1.904131539654115,2.7913766030127225
800,1.872889571712098,4.942568692842411,800.0122956046293,1.348479680637069,1.7723419223316843
800,1.8303878636937352,4.668165504146927,800.008920628411,1.3798419587324537,1.5063315768282968
800,0.8943606220926821,2.9057375402503975,799.9850366768691,2.2046852446673713,-0.2515130455023631
800,2.0179376346770512,0.5097850521779463,800.0269541334958,1.0902961495807548,-2.6691345859723365
800,1.6966359884377864,5.99869580904385,800.0107892932215,1.610500988964924,2.7489719197393923
800,1.7627451314905853,6.137127044194559,800.0212650141806,1.5257062856476244,2.7405305485610487
800,1.4473712138365116,0.9478845299065934,799.9969363710991,1.6688339315272915,-2.186052104050638
800,0.43228574235313477,4.662032690011646,799.9756752317253,2.675675839629895,1.5151600397643148
800,1.5271397069896366,0.17655790877819655,800.0151721582107,1.8901073115542164,-2.9872003930328286
800,2.088465216279528,1.7774636166556679,800.0226155603862,1.109661413583718,-1.3176483042721738
800,0.8896043574255534,3.29474057962201,799.9868207759389,2.2108277337706617,0.1388817833037275
800,1.037292345124456,2.3728562567322236,799.9836425293964,2.07296179028507,-0.7821300171631156
800,3.127711110977109,3.9045591039005583,800.0508945085766,0.11802061410074288,0.5276466397707812
800,1.2389657931515927,0.6078729048300566,799.997890339744,1.883122668512035,-2.5375275598915272
800,0.3931329934159917,0.12597654493188948,799.981615472739,2.7107030981763316,-3.0058804398934584
800,1.236879805594679,2.4798664075818184,799.9895055099122,1.8930689385011685,-0.6673360454091142
800,0.96658459225754,0.08837970723815936,799.985336861232,2.10345403269139,3.130640343764078
800,0.2176020129514411,5.631016805656783,799.9715521262938,2.9090709345089527,2.556822598814452
