# r (AU), th (rad), phi (rad)
182.205440407062, 0.00372739335720203, 4.89752945627218
132.480415680068, 0.000784288744083263, 4.18202026700395
121.58061412723, 0.00571744029829677, 3.38663958419273
107.619582110196, 0.00685998313000187, 0.475026018006666
84.1674995981566, 0.00162837244441612, 3.32165143354649
74.3805527857813, 0.00777371438147189, 0.977974057585719
61.8786594946481, 0.00170036344943667, 0.111541800658802
57.1261318540611, 0.00558895821231681, 5.44223293272875
48.8413220403404, 0.0018560951061573, 0.0863220259550177
43.0753734669481, 0.00147233364592303, 5.27180904780737
41.8548199603342, 0.00708302872620293, 4.99477325086519
42.7979157449633, 0.00820792340594458, 3.4678444229982
37.4902448315514, 0.00515114850645693, 4.17855619646374
35.7437136545358, 0.0156127906983806, 6.03227907351662
37.3231356850918, 0.0204249441128326, 4.15395564882999
34.4557508414451, 0.0302087584068247, 0.774311590524033
33.1721822153274, 0.0245006307323774, 2.43557992928226
34.316787998024, 0.0336468254605801, 1.56064014929942
33.918256841189, 0.0394659809023099, 2.29927753116281
35.3485827974745, 0.0491187742604454, 0.853792487724973
35.4916130859421, 0.0510650053635617, 0.607965483123944
35.1475943684284, 0.050805120171788, 1.22282847594565
33.8008878020026, 0.0553962081712045, 2.50538304722163
34.5562509950579, 0.0618087572963067, 1.75316153993215
33.7757786469501, 0.0589465074712689, 2.34500789285824
33.7129669662964, 0.0564700444824436, 2.74588476558922
31.9572841104652, 0.0587555277280835, 4.48341947487003
31.8126449572352, 0.0619526807420755, 4.90164066183898
31.9416235886181, 0.067228612637231, 4.51644382730703
31.2165149991261, 0.0740999374625075, 5.29223275310491
30.9850913553967, 0.0809738926804185, 5.87536802495606
30.4864081447849, 0.0692875775862738, 0.257822837609729
30.2247608311719, 0.0654270548538738, 0.574162123004365
29.7877060597922, 0.0694677605688644, 0.878210610935741
29.1034722143644, 0.0729570691046027, 1.78627225527759
29.2336714282601, 0.0819942896290487, 2.2610041134029
28.9237551877575, 0.0823227995448083, 2.5068976390945
